genotype	cell_line	genotype_geo	stk11	keap1	closest_to_user_KL	n_tumors	tumors	n_cells	n_epithelial	n_host_epithelial	n_tnk	n_t	n_nk_not_t	frac_tnk	n_cldn4_pos	n_myeloid	n_caf	n_endo	n_b	n_other	Cldn4_all_n	Cldn4_all_mean	Cldn4_all_pctpos	Cldn4_epithelial_n	Cldn4_epithelial_mean	Cldn4_epithelial_pctpos	Cldn4_host_epithelial_n	Cldn4_host_epithelial_mean	Cldn4_host_epithelial_pctpos	Cldn4_tnk_n	Cldn4_tnk_mean	Cldn4_tnk_pctpos	ifn_isg_epithelial_mean	ifn_isg_all_mean	mhc1_epithelial_mean	mhc1_all_mean	ifn_core6_epithelial_mean	ifn_core6_all_mean	frac_tnk_sample_mean	Cldn4_all_sample_mean	Cldn4_epithelial_sample_mean
K	LKR13K	KrasG12D	WT	WT	False	2	LKR13-K-1,LKR13-K-2	3090	207	3	1172	1085	87	0.37928802588996763	3	878	203	187	175	265	3090	0.004530744161456823	0.0970873786407767	207	0.06280193477869034	0.966183574879227	3	0.0	0.0	1172	0.0	0.0	0.28842878341674805	0.2226727306842804	1.1145336627960205	0.7710036635398865	0.5368026494979858	0.45737510919570923	0.37142523487417983	0.004056480131112039	0.05118110403418541
KK	LKR13KK	KrasG12D, KEAP1 knockout	WT	KO	False	2	LKR13-KK-1,LKR13-KK-2	2853	102	0	411	358	53	0.1440588853838065	1	1136	441	380	14	369	2853	0.00035050822771154344	0.03505082369435682	102	0.0	0.0	0	nan	nan	411	0.0	0.0	0.3939533233642578	0.28577232360839844	1.1789443492889404	0.7816797494888306	0.6428322792053223	0.48736196756362915	0.11678977941116818	0.0002302025823155418	0.0
KLK	LKR13KLK	KrasG12D, KEAP1/LKB1 knockout	KO	KO	True	2	LKR13-KLK-1,LKR13-KLK-2	2013	71	0	211	193	18	0.10481867858917039	2	721	559	196	26	229	2013	0.000993542023934424	0.09935419771485346	71	0.0	0.0	0	nan	nan	211	0.0	0.0	0.4950316548347473	0.28425851464271545	1.2335103750228882	0.7099707722663879	0.8234691023826599	0.45157483220100403	0.09500754527162979	0.001280409749597311	0.0
