genotype	compartment	n_cells	frac_of_genotype	Cldn4_mean	Cldn4_pctpos
K	epithelial	207	0.06699029126213592	0.06280193477869034	0.966183574879227
K	host_epithelial	3	0.000970873786407767	0.0	0.0
K	tnk	1172	0.37928802588996763	0.0	0.0
K	myeloid	878	0.2841423948220065	0.0011389522114768624	0.11389521640091116
K	caf	203	0.0656957928802589	0.0	0.0
K	endo	187	0.06051779935275081	0.0	0.0
K	b	175	0.05663430420711974	0.0	0.0
K	other	265	0.08576051779935275	0.0	0.0
KK	epithelial	102	0.035751840168243953	0.0	0.0
KK	host_epithelial	0	0.0	nan	nan
KK	tnk	411	0.1440588853838065	0.0	0.0
KK	myeloid	1136	0.39817735716789343	0.0008802816737443209	0.08802816901408451
KK	caf	441	0.15457413249211358	0.0	0.0
KK	endo	380	0.1331931300385559	0.0	0.0
KK	b	14	0.004907115317209955	0.0	0.0
KK	other	369	0.12933753943217666	0.0	0.0
KLK	epithelial	71	0.03527074018877298	0.0	0.0
KLK	host_epithelial	0	0.0	nan	nan
KLK	tnk	211	0.10481867858917039	0.0	0.0
KLK	myeloid	721	0.3581718827620467	0.0	0.0
KLK	caf	559	0.2776949826130154	0.003577817464247346	0.35778175313059035
KLK	endo	196	0.09736711376055639	0.0	0.0
KLK	b	26	0.012916045702930949	0.0	0.0
KLK	other	229	0.1137605563835072	0.0	0.0
