interaction_name	pathway_name	ligand	receptor	lr_class	split	score	k_units	n_patients	mean_delta	median_delta	se	p_meta	p_wilcoxon_patients	i2	units
Q9HDB5_CLSTN1	NRXN	NRXN3	CLSTN1	other	median	cellchat_hill	1	2	0.00013023531569198742	0.00013023531569198742	1.4949885725029699e-05	2.999884482412579e-18	0.5	0.0	GSE123902
CXCL12_CXCR4	CXCL	CXCL12	CXCR4	other	median	cellchat_hill	1	3	0.03329463511774746	0.029178514246574097	0.004116120871173363	6.023660041753135e-16	0.5	0.0	GSE131907
RETN_CAP1	RESISTIN	RETN	CAP1	other	median	cellchat_hill	1	3	0.018713231746369633	0.01623885835004719	0.002475994455245133	4.0973908471092805e-14	0.25	0.0	GSE131907
LAMA5_CD44	LAMININ	LAMA5	CD44	other	median	cellchat_hill	2	30	0.10786283774789637	0.08654642122319608	0.016041798148426708	1.769699917095328e-11	9.313225746154785e-09	0.0	GSE123902+GSE131907
CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	median	cellchat_hill	2	29	0.08976790752223929	0.058680512097006365	0.014396234236220449	4.502995952548496e-10	3.725290298461914e-08	0.0	GSE123902+GSE131907
ICAM1_SPN	ICAM	ICAM1	SPN	other	median	cellchat_hill	2	24	0.07871577430403899	0.05759945271747972	0.013701034461274682	9.17889935998484e-09	1.1920928955078125e-07	3.484191353583531	GSE123902+GSE131907
LAMC1_CD44	LAMININ	LAMC1	CD44	other	median	cellchat_hill	2	31	0.05359623366315746	0.03816953004531848	0.009994157613573274	8.196146270042609e-08	1.5350058674812317e-05	0.0	GSE123902+GSE131907
LGALS9_CD44	GALECTIN	LGALS9	CD44	inhibitory	median	cellchat_hill	2	26	0.06360591280465712	0.060488004043825344	0.011968183555604325	1.0690145850769547e-07	5.756328369396694e-05	0.0	GSE123902+GSE131907
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	median	cellchat_hill	2	26	0.08097627609298846	0.059816616032856984	0.017653557195939605	4.497327345365118e-06	5.756328369396694e-05	0.0	GSE123902+GSE131907
LAMB2_CD44	LAMININ	LAMB2	CD44	other	median	cellchat_hill	2	28	0.07234102738982855	0.04774217878005231	0.01584944593190546	5.012539403579717e-06	6.556510925292969e-07	0.0	GSE123902+GSE131907
