interaction_name	pathway_name	ligand	receptor	lr_class	split	score	k_units	n_patients	mean_delta	median_delta	se	p_meta	p_wilcoxon_patients	i2	units
ICAM1_ITGAL	ICAM	ICAM1	ITGAL	other	q4q1	liana_mean	2	18	0.203383679812392	0.22499667084775865	0.023708240888590786	9.602901301186944e-18	7.62939453125e-06	0.0	GSE123902+GSE131907
ICAM1_SPN	ICAM	ICAM1	SPN	other	q4q1	liana_mean	2	25	0.2116078943181216	0.22433564066886902	0.025777924129729825	2.2326060992050337e-16	5.960464477539063e-08	0.0	GSE123902+GSE131907
HLA-A_CD8A	MHC-I	HLA-A	CD8A	other	q4q1	liana_mean	2	30	0.2054198890119635	0.1655990481376648	0.029746851541086156	4.99913107329956e-12	2.7623027563095093e-06	0.0	GSE123902+GSE131907
CDH1_KLRG1	CDH1	CDH1	KLRG1	barrier|inhibitory	q4q1	liana_mean	2	12	0.26978784725378874	0.2768740374594927	0.04044353452729119	2.5453634794538525e-11	0.00048828125	0.0	GSE123902+GSE131907
HLA-E_CD94:NKG2A	MHC-I	HLA-E	CD94:NKG2A	inhibitory	q4q1	liana_mean	1	8	0.23278399077909334	0.228460818529129	0.03636586412918776	1.5419320973835023e-10	0.0078125	0.0	GSE131907
CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	q4q1	liana_mean	2	31	0.22890084731405516	0.21057714521884918	0.03745521434343629	9.880963477097513e-10	9.313225746154785e-09	0.0	GSE123902+GSE131907
HLA-A_CD8B	MHC-I	HLA-A	CD8B	other	q4q1	liana_mean	2	26	0.20429386205703526	0.15810856223106384	0.033438621251809936	9.993241739468567e-10	2.6941299438476562e-05	0.0	GSE123902+GSE131907
THBS3_CD47	THBS	THBS3	CD47	other	q4q1	liana_mean	2	15	0.1428997399773055	0.17062014993280172	0.02423290228128887	3.7032580029305045e-09	0.0001220703125	0.0	GSE123902+GSE131907
LAMB2_CD44	LAMININ	LAMB2	CD44	other	q4q1	liana_mean	2	29	0.2534358713527074	0.2580018765293062	0.04537230703091912	2.3276735612254547e-08	1.862645149230957e-08	0.0	GSE123902+GSE131907
HLA-E_KLRC1	MHC-I	HLA-E	KLRC1	inhibitory	q4q1	liana_mean	1	9	0.2101961993612349	0.21223562955856323	0.038756488186284216	5.843996018608434e-08	0.00390625	0.0	GSE131907
COL1A1_CD44	COLLAGEN	COL1A1	CD44	other	q4q1	liana_mean	2	29	0.24747001169149616	0.18476516008377075	0.04984098015226673	6.863330766311866e-07	2.4273991584777832e-05	0.0	GSE123902+GSE131907
LAMC1_CD44	LAMININ	LAMC1	CD44	other	q4q1	liana_mean	2	31	0.2318185290078601	0.06123144179582596	0.04709079315868475	8.531488818339198e-07	1.0244548320770264e-07	0.0	GSE123902+GSE131907
LAMA3_CD44	LAMININ	LAMA3	CD44	other	q4q1	liana_mean	2	14	0.32295454630865184	0.4010725128464401	0.06597503831401093	9.825472037658742e-07	0.0001220703125	0.0	GSE123902+GSE131907
MDK_SDC4	MK	MDK	SDC4	other	q4q1	liana_mean	1	8	0.3691158507551466	0.33461185544729233	0.07622298413850083	1.281644121463741e-06	0.0078125	0.0	GSE123902
HLA-F_CD8A	MHC-I	HLA-F	CD8A	inhibitory	q4q1	liana_mean	2	28	0.07656505804505871	0.04724824271397665	0.016072992530958563	1.901839174686471e-06	6.735324859619141e-06	0.0	GSE123902+GSE131907
TGM2_ADGRG1	ADGRG	TGM2	ADGRG1	other	q4q1	liana_mean	1	8	0.1754293487008129	0.16473442036658525	0.038389864826023704	4.884724396590882e-06	0.0078125	0.0	GSE131907
HLA-F_CD8B	MHC-I	HLA-F	CD8B	inhibitory	q4q1	liana_mean	2	25	0.07988614283744885	0.047593407332897186	0.017795109608603137	7.148480152574481e-06	5.3882598876953125e-05	0.0	GSE123902+GSE131907
HLA-DPB1_CD4	MHC-II	HLA-DPB1	CD4	other	q4q1	liana_mean	2	18	0.06978385417756418	0.07584224408492446	0.015840203612609065	1.0554515774983145e-05	0.0047454833984375	0.0	GSE123902+GSE131907
HLA-C_CD8A	MHC-I	HLA-C	CD8A	other	q4q1	liana_mean	2	30	0.2098456502371125	0.17715808749198914	0.04796451674434128	1.2142215524980316e-05	2.366676926612854e-05	25.335513958675104	GSE123902+GSE131907
APP_SORL1	APP	APP	SORL1	other	q4q1	liana_mean	2	20	0.20021742776930912	0.17340118531137705	0.04693894982434684	1.9946762819956258e-05	5.7220458984375e-06	55.40617293550486	GSE123902+GSE131907
THBS1_CD47	THBS	THBS1	CD47	other	q4q1	liana_mean	2	16	0.10978032381504857	0.13412342040101066	0.026041193064430188	2.4906960176390672e-05	0.00042724609375	0.0	GSE123902+GSE131907
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	barrier|inhibitory	q4q1	liana_mean	1	10	0.13795399912633002	0.10477179661393166	0.03313902668935788	3.142499136317582e-05	0.001953125	0.0	GSE123902
GDF15_TGFBR2	GDF	GDF15	TGFBR2	other	q4q1	liana_mean	2	11	0.30613559296385745	0.31928932666778564	0.07598728629671953	5.606851881716728e-05	0.0009765625	19.405988790798652	GSE123902+GSE131907
HLA-B_CD8A	MHC-I	HLA-B	CD8A	other	q4q1	liana_mean	2	30	0.19927144878355707	0.18733566999435425	0.05199183706634503	0.00012672133849784328	1.0609626770019531e-05	40.233898522266635	GSE123902+GSE131907
FN1_CD44	FN1	FN1	CD44	other	q4q1	liana_mean	2	27	0.1651065593346729	0.07265195995569229	0.044587590956904594	0.0002130891909135016	0.00038070976734161377	3.0858558544749686	GSE123902+GSE131907
PVR_TIGIT	PVR	PVR	TIGIT	barrier|inhibitory	q4q1	liana_mean	2	16	0.1317980009687191	0.07586805318715051	0.035824688168755066	0.00023417658114971245	0.000152587890625	48.671331313316244	GSE123902+GSE131907
COL6A1_CD44	COLLAGEN	COL6A1	CD44	other	q4q1	liana_mean	2	23	0.19291930163401325	0.0631784200668335	0.05260991607609587	0.00024543578407611806	7.319450378417969e-05	0.0	GSE123902+GSE131907
CD99_CD99	CD99	CD99	CD99	other	q4q1	liana_mean	2	33	0.12148573151641065	0.08041846752166748	0.033333386142703994	0.0002678432186004572	0.0002449189778417349	3.74420314290463	GSE123902+GSE131907
HLA-DRA_CD4	MHC-II	HLA-DRA	CD4	other	q4q1	liana_mean	2	18	0.0993109722516956	0.10337155312299728	0.029493104624740613	0.0007591888131489768	0.0047454833984375	0.0	GSE123902+GSE131907
IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	other	q4q1	liana_mean	2	20	0.14679842658836506	0.127961705904454	0.04429418925669777	0.0009191595138436319	0.000850677490234375	0.0	GSE123902+GSE131907
APP_CD74	APP	APP	CD74	other	q4q1	liana_mean	2	33	0.17384941085826816	0.15344372391700745	0.05346189129002557	0.0011466134502634664	7.147900760173798e-08	75.92859188653776	GSE123902+GSE131907
LPAR1_ADGRE5	ADGRE	LPAR1	ADGRE5	other	q4q1	liana_mean	2	12	0.11381513590050553	0.09239803731907159	0.03565486073385892	0.0014122521305558436	0.01220703125	0.0	GSE123902+GSE131907
COL6A2_CD44	COLLAGEN	COL6A2	CD44	other	q4q1	liana_mean	2	17	0.23223595457994237	0.07083263248205185	0.07509319042682097	0.0019838685813970197	0.0013427734375	0.0	GSE123902+GSE131907
LGALS9_CD44	GALECTIN	LGALS9	CD44	inhibitory	q4q1	liana_mean	2	27	0.14828290307785885	0.08857309236191213	0.048165750796888694	0.002079782869760139	0.00042723119258880615	0.0	GSE123902+GSE131907
LPAR2_ADGRE5	ADGRE	LPAR2	ADGRE5	other	q4q1	liana_mean	2	24	0.12878752069949065	0.08324638241901994	0.0420097714259561	0.0021719281974991672	2.2649765014648438e-06	72.07189790566638	GSE123902+GSE131907
CXCL16_CXCR6	CXCL	CXCL16	CXCR6	recruit	q4q1	liana_mean	2	20	0.09009272157441656	0.07074474170804024	0.02945213469072844	0.0022211134355526506	1.9073486328125e-06	55.39835655707488	GSE123902+GSE131907
HLA-G_CD8A	MHC-I	HLA-G	CD8A	inhibitory	q4q1	liana_mean	2	15	0.05076819711154464	0.03263812139630318	0.01723390302026021	0.003220864333312733	0.041259765625	0.0	GSE123902+GSE131907
HLA-G_CD8B	MHC-I	HLA-G	CD8B	inhibitory	q4q1	liana_mean	2	13	0.03768362769054364	0.03658775263465941	0.012979018866826212	0.0036910356464105124	0.03271484375	0.0	GSE123902+GSE131907
LAMB3_CD44	LAMININ	LAMB3	CD44	other	q4q1	liana_mean	2	31	0.32633167174099564	0.1569555327296257	0.1166065471556591	0.005132932358861404	9.313225746154785e-10	78.55760948998764	GSE123902+GSE131907
LAMC2_CD44	LAMININ	LAMC2	CD44	other	q4q1	liana_mean	2	26	0.3940195351463916	0.38092597119975835	0.14205640359900504	0.005542553326803157	2.9802322387695312e-08	90.62149561482163	GSE123902+GSE131907
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	q4q1	liana_mean	2	27	0.1859674430118976	0.08857309236191213	0.06799600831168427	0.006238484621204481	0.000667765736579895	0.0	GSE123902+GSE131907
COL9A2_CD44	COLLAGEN	COL9A2	CD44	other	q4q1	liana_mean	2	14	0.4428928764128084	0.4276952473446727	0.16379298553183397	0.006851451430763251	0.000244140625	86.53844857016607	GSE123902+GSE131907
BAG6_NCR3-PS	BAG	BAG6	NCR3	other	q4q1	liana_mean	2	11	0.08794144641031197	0.08655873313546181	0.03268266463178811	0.007128789292734931	0.0009765625	44.12047809554049	GSE123902+GSE131907
LAMA5_CD44	LAMININ	LAMA5	CD44	other	q4q1	liana_mean	2	31	0.2918071003119486	0.18201455753296614	0.11296434860968536	0.009789459983226587	2.7939677238464355e-09	84.04044351769613	GSE123902+GSE131907
SPP1_CD44	SPP1	SPP1	CD44	other	q4q1	liana_mean	2	28	0.1197343590569597	0.02534644305706024	0.04724403936009645	0.011264642957661804	0.008859716355800629	0.0	GSE123902+GSE131907
HLA-E_CD8A	MHC-I	HLA-E	CD8A	inhibitory	q4q1	liana_mean	2	30	0.14585335194138827	0.17857370525598526	0.05765282365044454	0.011410929096289962	2.366676926612854e-05	64.87596020149562	GSE123902+GSE131907
