unit	patient_id	n_mal	n_tnk	mean_cldn4_mal	eligible_allmal	eligible_q4q1	n_high_q4q1	n_low_q4q1	eligible_median	n_high_median	n_low_median	eligible_tertile	n_high_tertile	n_low_tertile
GSE123902	LX255B	228	1583	0.6296208500862122	1	1	57	148	1	80	148	1	76	148
GSE123902	LX653	145	49	1.120678186416626	1	1	37	41	1	72	73	1	49	49
GSE123902	LX661	117	3726	0.8766599297523499	1	1	30	48	1	58	59	1	39	48
GSE123902	LX666	786	177	0.5365508794784546	1	1	197	258	1	393	393	1	262	262
GSE123902	LX675	618	1336	0.45904749631881714	1	1	155	424	1	194	424	1	618	424
GSE123902	LX676	147	2606	0.8125919699668884	1	1	37	85	1	62	85	1	49	85
GSE123902	LX679	497	625	0.6691076755523682	1	1	125	282	1	215	282	1	166	282
GSE123902	LX680	258	344	1.4166302680969238	1	1	65	69	1	129	129	1	86	86
GSE123902	LX681	1207	86	0.877030074596405	1	1	302	443	1	603	604	1	403	443
GSE123902	LX682	421	2558	0.3985236883163452	1	1	421	342	1	79	342	1	421	342
GSE123902	LX684	173	92	1.0047460794448853	1	1	44	47	1	86	87	1	58	58
GSE123902	LX699	46	2263	0.28082096576690674	1	1	46	39	0	0	0	1	46	39
GSE123902	LX701	90	322	0.2421078383922577	1	1	90	80	1	10	80	1	90	80
GSE131907	BRONCHO_11	203	809	1.392881155014038	1	1	51	51	1	101	102	1	68	68
GSE131907	BRONCHO_58	460	1546	0.9481318593025208	1	1	115	128	1	230	230	1	154	154
GSE131907	EBUS_06	1186	611	1.2913167476654053	1	1	297	342	1	593	593	1	396	396
GSE131907	EBUS_10	367	1530	1.2945740222930908	1	1	92	92	1	183	184	1	123	123
GSE131907	EBUS_12	257	328	1.3514907360076904	1	1	65	65	1	128	129	1	86	86
GSE131907	EBUS_13	376	1150	0.0006799165275879204	1	1	376	375	0	0	0	1	376	375
GSE131907	EBUS_15	256	479	0.8119832873344421	1	1	64	135	1	121	135	1	86	135
GSE131907	EBUS_19	217	1427	1.74746572971344	1	1	55	55	1	108	109	1	73	73
GSE131907	EBUS_28	4640	232	2.2467188835144043	1	1	1160	1160	1	2320	2320	1	1547	1547
GSE131907	EBUS_49	114	1126	0.7394811511039734	1	1	29	58	1	56	58	1	38	58
GSE131907	EBUS_51	1285	1143	1.1968406438827515	1	1	322	322	1	642	643	1	429	429
GSE131907	NS_02	181	977	0.8218572735786438	1	1	46	75	1	90	91	1	61	75
GSE131907	NS_03	2713	145	1.9987878799438477	1	1	679	679	1	1356	1357	1	905	905
GSE131907	NS_04	1229	131	1.3547914028167725	1	1	308	308	1	614	615	1	410	410
GSE131907	NS_06	83	383	1.161139965057373	1	1	21	33	1	41	42	1	28	33
GSE131907	NS_07	5108	166	1.7547770738601685	1	1	1277	1277	1	2554	2554	1	1703	1703
GSE131907	NS_12	2811	22	1.687066912651062	1	1	703	703	1	1405	1406	1	937	937
GSE131907	NS_13	1352	1780	1.2590223550796509	1	1	338	373	1	676	676	1	451	451
GSE131907	NS_16	79	385	0.07498374581336975	1	1	79	70	0	0	0	1	79	70
GSE131907	NS_17	1112	410	2.1043753623962402	1	1	278	278	1	556	556	1	371	371
GSE131907	NS_19	755	370	1.018040657043457	1	1	189	248	1	377	378	1	252	252
