interaction_name	pathway_name	ligand	receptor	lr_class	split	score	k_units	n_patients	mean_delta	median_delta	se	p_meta	p_wilcoxon_patients	i2	units
ICOSL_ICOS	ICOS	ICOSLG	ICOS	other	tertile	cellchat_hill	2	4	0.0012550580003121968	0.0012550555774564027	8.089777211279552e-06	0.0	0.125	0.0	GSE123902+GSE131907
LPAR3_ADGRE5	ADGRE	LPAR3	ADGRE5	other	tertile	cellchat_hill	1	3	0.00637380294713403	0.00660430137316665	0.0005660570972914552	2.0675858447219616e-29	0.25	0.0	GSE131907
CXCL12_CXCR4	CXCL	CXCL12	CXCR4	other	tertile	cellchat_hill	2	4	0.050202528615194475	0.04827857145925483	0.006629706833985165	3.665033524061966e-14	0.25	0.0	GSE123902+GSE131907
LAMC1_CD44	LAMININ	LAMC1	CD44	other	tertile	cellchat_hill	2	31	0.07517601103717922	0.06734616261098259	0.012710901041250888	3.3330124499896158e-09	1.3811513781547546e-06	0.0	GSE123902+GSE131907
LGALS9_CD44	GALECTIN	LGALS9	CD44	inhibitory	tertile	cellchat_hill	2	27	0.07786992865206448	0.09372255959463799	0.013281884338114195	4.5494111958043525e-09	1.5929341316223145e-05	0.0	GSE123902+GSE131907
RETN_CAP1	RESISTIN	RETN	CAP1	other	tertile	cellchat_hill	1	4	0.014922092076425038	0.012526779269773532	0.0025521088715590385	5.006218100572482e-09	0.25	0.0	GSE131907
LAMB3_CD44	LAMININ	LAMB3	CD44	other	tertile	cellchat_hill	2	30	0.15004646174006386	0.10003103010334671	0.025777186973525185	5.853112040799889e-09	2.5630832507250074e-06	0.0	GSE123902+GSE131907
LAMA5_CD44	LAMININ	LAMA5	CD44	other	tertile	cellchat_hill	2	32	0.121273593701553	0.07654679369093337	0.021425816308477882	1.5123006762264584e-08	3.259629011154175e-09	0.0	GSE123902+GSE131907
CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	tertile	cellchat_hill	2	31	0.09548858721306377	0.07160170099902996	0.017009300013046864	1.9781132630084095e-08	1.0244548320770264e-07	0.0	GSE123902+GSE131907
ICAM1_SPN	ICAM	ICAM1	SPN	other	tertile	cellchat_hill	2	25	0.09012488976146169	0.06377941508195303	0.016800292898289586	8.118129468309158e-08	5.960464477539063e-08	0.0	GSE123902+GSE131907
HLA-A_CD8A	MHC-I	HLA-A	CD8A	other	tertile	cellchat_hill	2	30	0.03356066955350588	0.0252881569419518	0.006580849940872529	3.401078315232169e-07	3.2391399145126343e-06	0.0	GSE123902+GSE131907
LAMC2_CD44	LAMININ	LAMC2	CD44	other	tertile	cellchat_hill	2	26	0.0961031653156109	0.05834825798019136	0.019270813602596932	6.133035711521522e-07	8.940696716308594e-08	0.0	GSE123902+GSE131907
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	tertile	cellchat_hill	2	27	0.09397471714162915	0.09324839120114303	0.018875844596526616	6.405571512603263e-07	3.0234456062316895e-05	0.0	GSE123902+GSE131907
COL1A1_CD44	COLLAGEN	COL1A1	CD44	other	tertile	cellchat_hill	2	29	0.09736674850881706	0.0784231319230382	0.020088897501514463	1.2547257308938798e-06	5.5246055126190186e-06	0.0	GSE123902+GSE131907
LAMB2_CD44	LAMININ	LAMB2	CD44	other	tertile	cellchat_hill	2	31	0.07181369667639804	0.04774485598256016	0.015415380577875509	3.1840679448995616e-06	4.0046870708465576e-08	0.0	GSE123902+GSE131907
CCL3_CCR1	CCL	CCL3	CCR1	recruit	tertile	cellchat_hill	1	2	0.01776462534229816	0.01776462534229816	0.003973682070684249	7.801126845703902e-06	0.5	0.0	GSE131907
APP_SORL1	APP	APP	SORL1	other	tertile	cellchat_hill	2	20	0.04766528957904479	0.02503807033989988	0.011543394766356753	3.639859694642753e-05	1.9073486328125e-06	0.0	GSE123902+GSE131907
HLA-E_CD94:NKG2A	MHC-I	HLA-E	CD94:NKG2A	inhibitory	tertile	cellchat_hill	1	8	0.06387807198751135	0.06143301957694953	0.01667409336141813	0.000127635318474004	0.0078125	0.0	GSE131907
MDK_SDC1	MK	MDK	SDC1	other	tertile	cellchat_hill	1	3	0.040515547801846755	0.02935711970247809	0.011158428099368668	0.00028239427879657425	0.5	0.0	GSE123902
Q9HDB5_CLSTN1	NRXN	NRXN3	CLSTN1	other	tertile	cellchat_hill	1	3	9.968354323416325e-05	7.201050740552811e-05	2.767303582863513e-05	0.0003155471373145836	0.25	0.0	GSE123902
LAMA3_CD44	LAMININ	LAMA3	CD44	other	tertile	cellchat_hill	2	15	0.08023196465506455	0.0699312864883216	0.022663294975072548	0.00039986617872182735	0.00030517578125	0.0	GSE123902+GSE131907
PVR_TIGIT	PVR	PVR	TIGIT	barrier|inhibitory	tertile	cellchat_hill	2	17	0.027368348690216485	0.013065950193108987	0.008005124153463423	0.0006288551766942151	1.52587890625e-05	0.0	GSE123902+GSE131907
ICAM1_ITGAL	ICAM	ICAM1	ITGAL	other	tertile	cellchat_hill	2	18	0.03671647803998472	0.016730484178490906	0.011666859565713422	0.0016491284987967551	7.62939453125e-06	0.0	GSE123902+GSE131907
LGALS9_P4HB	GALECTIN	LGALS9	P4HB	inhibitory	tertile	cellchat_hill	2	26	0.03664285263510589	0.027574983950229927	0.011854171358801074	0.001993924667379291	5.1647424697875977e-05	54.34289285250888	GSE123902+GSE131907
THY1_ADGRE5	ADGRE	THY1	ADGRE5	other	tertile	cellchat_hill	1	3	-0.05567593335481318	-0.03744396148877789	0.01823197186603529	0.0022599829384631434	0.25	0.0	GSE123902
APP_CD74	APP	APP	CD74	other	tertile	cellchat_hill	2	33	0.16938747024534678	0.08785389317443815	0.05641054902348311	0.002675413024692401	2.935994416475296e-07	69.70902188256815	GSE123902+GSE131907
HLA-E_CD94:NKG2C	MHC-I	HLA-E	CD94:NKG2C	inhibitory	tertile	cellchat_hill	1	4	0.08109831065015552	0.07967835362151274	0.027393879666167176	0.0030718635501747337	0.125	0.0	GSE131907
HLA-DRB5_CD4	MHC-II	HLA-DRB5	CD4	other	tertile	cellchat_hill	2	14	0.005912595525198491	0.0034941812208437797	0.0020261082120339945	0.0035205481614765	0.0784912109375	0.0	GSE123902+GSE131907
COL6A1_CD44	COLLAGEN	COL6A1	CD44	other	tertile	cellchat_hill	2	23	0.06012644049741422	0.04863416030959766	0.020747966121450724	0.003756178495876671	0.00018143653869628906	14.887117856880588	GSE123902+GSE131907
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	barrier|inhibitory	tertile	cellchat_hill	1	10	0.08236677503844392	0.04592405667262314	0.028545284499083598	0.0039082044498424656	0.001953125	0.0	GSE123902
HLA-A_CD8B	MHC-I	HLA-A	CD8B	other	tertile	cellchat_hill	2	26	0.03009139446679109	0.02345949785197929	0.010480718098202514	0.004090208244145695	3.7550926208496094e-05	35.26767763358814	GSE123902+GSE131907
CD99_CD99	CD99	CD99	CD99	other	tertile	cellchat_hill	2	33	0.07112429827039733	0.028421613060551604	0.025612712406365246	0.005487770622724785	0.0033213288988918066	7.371504736614311	GSE123902+GSE131907
CD86_CTLA4	CD86	CD86	CTLA4	inhibitory	tertile	cellchat_hill	1	3	-0.0015306587369723701	-0.000974138901006182	0.0005565198359661881	0.005952040820574419	0.5	0.0	GSE123902
COL6A3_SDC4	COLLAGEN	COL6A3	SDC4	other	tertile	cellchat_hill	1	2	-0.0009031188716425693	-0.0009031188716425693	0.0003288900917034532	0.006033421130583202	0.5	0.0	GSE123902
ANXA1_FPR3	ANNEXIN	ANXA1	FPR3	other	tertile	cellchat_hill	1	2	0.03941591787860575	0.03941591787860575	0.014447849309738374	0.006369040116999916	0.5	0.0	GSE123902
CEACAM6_CEACAM6	CEACAM	CEACAM6	CEACAM6	barrier	tertile	cellchat_hill	1	4	0.07742171823328953	0.058301384185134635	0.028821371847187846	0.007225668827564614	0.125	0.0	GSE123902
FN1_CD44	FN1	FN1	CD44	other	tertile	cellchat_hill	2	30	0.06083247617134443	0.038524613745297684	0.023585067025106682	0.009900668859010022	0.0023674946278333664	35.99245207683466	GSE123902+GSE131907
COL6A3_CD44	COLLAGEN	COL6A3	CD44	other	tertile	cellchat_hill	1	2	-0.08977862163021298	-0.08977862163021298	0.03523439084129727	0.010833018662345786	0.5	0.0	GSE123902
HLA-E_KLRC1	MHC-I	HLA-E	KLRC1	inhibitory	tertile	cellchat_hill	1	9	0.046197065635023224	0.03654986583423463	0.01815494528805208	0.010940312165790127	0.00390625	0.0	GSE131907
THBS3_CD47	THBS	THBS3	CD47	other	tertile	cellchat_hill	2	15	0.021598953696696444	0.01252944019481143	0.008629867491983866	0.012321025596432748	0.0001220703125	62.58195578533877	GSE123902+GSE131907
SPP1_CD44	SPP1	SPP1	CD44	other	tertile	cellchat_hill	2	28	0.048514304249855235	0.015920320672802857	0.01999570048730462	0.01525631228974109	0.004060737788677216	0.0	GSE123902+GSE131907
THBS2_SDC4	THBS	THBS2	SDC4	other	tertile	cellchat_hill	1	2	-0.0005206245475679961	-0.0005206245475679961	0.00021481589086472843	0.01536816092081513	0.5	0.0	GSE123902
CD48_CD244A	CD48	CD48	CD244	other	tertile	cellchat_hill	1	2	0.0044662040379409625	0.0044662040379409625	0.0018714816632486783	0.01701175677597557	0.5	0.0	GSE131907
