interaction_name	pathway_name	ligand	receptor	lr_class	split	score	k_units	n_patients	mean_delta	median_delta	se	p_meta	p_wilcoxon_patients	i2	units
COL6A3_SDC4	COLLAGEN	COL6A3	SDC4	other	q4q1	cellchat_hill	1	2	-0.0013133448540852085	-0.0013133448540852085	8.133589073918617e-05	1.1888315176841825e-58	0.5	0.0	GSE123902
THBS2_SDC4	THBS	THBS2	SDC4	other	q4q1	cellchat_hill	1	2	-0.0006833941280968748	-0.0006833941280968748	5.204631033584971e-05	2.20194993246466e-39	0.5	0.0	GSE123902
CCL3_CCR1	CCL	CCL3	CCR1	recruit	q4q1	cellchat_hill	1	2	0.01997656982005181	0.01997656982005181	0.0023644556146943194	2.945710598471274e-17	0.5	0.0	GSE131907
RETN_CAP1	RESISTIN	RETN	CAP1	other	q4q1	cellchat_hill	1	4	0.015115421432037887	0.013108753509111844	0.002289590398306208	4.0619103436066603e-11	0.25	0.0	GSE131907
LGALS9_CD44	GALECTIN	LGALS9	CD44	inhibitory	q4q1	cellchat_hill	2	27	0.09292090854409363	0.11687143617566857	0.014300488743238316	8.153363122006423e-11	6.660819053649902e-06	0.0	GSE123902+GSE131907
CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	q4q1	cellchat_hill	2	31	0.10967285953024376	0.09645177483763467	0.01769332426311763	5.698765876858585e-10	3.073364496231079e-08	0.0	GSE123902+GSE131907
LAMA5_CD44	LAMININ	LAMA5	CD44	other	q4q1	cellchat_hill	2	31	0.13488986647698248	0.07943993170692583	0.02285698626830877	3.6027238279088717e-09	1.862645149230957e-09	0.0	GSE123902+GSE131907
ICAM1_SPN	ICAM	ICAM1	SPN	other	q4q1	cellchat_hill	2	25	0.1033444681086172	0.08340871220519044	0.017967992076036762	8.840960872434304e-09	5.960464477539063e-08	0.0	GSE123902+GSE131907
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	q4q1	cellchat_hill	2	27	0.11124265436426338	0.1287867224970593	0.019374266135032615	9.368990018239921e-09	1.1354684829711914e-05	0.0	GSE123902+GSE131907
LAMC1_CD44	LAMININ	LAMC1	CD44	other	q4q1	cellchat_hill	2	31	0.08252110775920311	0.06768298057036667	0.014889899647878055	2.9888905156323606e-08	1.5739351511001587e-07	0.0	GSE123902+GSE131907
CCL20_CCR6	CCL	CCL20	CCR6	other	q4q1	cellchat_hill	2	8	0.004159587082534185	0.004308731893149299	0.0007649099171628041	5.387922643047579e-08	0.0078125	16.091481139561996	GSE123902+GSE131907
LAMB3_CD44	LAMININ	LAMB3	CD44	other	q4q1	cellchat_hill	2	31	0.17353968759123636	0.10555420044758201	0.032582360559229535	1.0029685299653213e-07	2.5630832507250074e-06	0.0	GSE123902+GSE131907
HLA-A_CD8A	MHC-I	HLA-A	CD8A	other	q4q1	cellchat_hill	2	30	0.042280533031200336	0.030957779237442334	0.007958351377226296	1.0799790147092779e-07	1.6838312149047852e-06	0.0	GSE123902+GSE131907
LAMC2_CD44	LAMININ	LAMC2	CD44	other	q4q1	cellchat_hill	2	26	0.1068730470874197	0.06459469222780756	0.020856770275334436	2.9889608294016436e-07	2.9802322387695312e-08	0.0	GSE123902+GSE131907
LAMB2_CD44	LAMININ	LAMB2	CD44	other	q4q1	cellchat_hill	2	29	0.08958498209580577	0.053092791414384076	0.01751921561475527	3.161985329694117e-07	9.313225746154785e-08	0.0	GSE123902+GSE131907
ICOSL_ICOS	ICOS	ICOSLG	ICOS	other	q4q1	cellchat_hill	2	4	0.0008045932853093207	0.0008033610198253738	0.0001632949910469758	8.340014306278804e-07	0.125	0.0	GSE123902+GSE131907
LGALS9_P4HB	GALECTIN	LGALS9	P4HB	inhibitory	q4q1	cellchat_hill	2	26	0.0481844700301719	0.03802864503899642	0.010846362292103897	8.893848071622484e-06	1.9073486328125e-05	19.864284268744374	GSE123902+GSE131907
CDH1_KLRG1	CDH1	CDH1	KLRG1	barrier|inhibitory	q4q1	cellchat_hill	2	12	0.062108629195528155	0.05101090698524728	0.014087484072728643	1.0395417758657938e-05	0.00048828125	0.0	GSE123902+GSE131907
HLA-E_CD94:NKG2A	MHC-I	HLA-E	CD94:NKG2A	inhibitory	q4q1	cellchat_hill	1	8	0.07201915206249418	0.07657893657155213	0.016463391603619593	1.2170958160737323e-05	0.0078125	0.0	GSE131907
PVR_TIGIT	PVR	PVR	TIGIT	barrier|inhibitory	q4q1	cellchat_hill	2	16	0.02926804728153351	0.024570476973134817	0.007133766608264044	4.0827170891701534e-05	0.000152587890625	0.0	GSE123902+GSE131907
LAMA3_CD44	LAMININ	LAMA3	CD44	other	q4q1	cellchat_hill	2	14	0.08219320438933787	0.06515107001465209	0.020360924696349092	5.418268863201735e-05	0.0014737808438751421	0.0	GSE123902+GSE131907
APP_SORL1	APP	APP	SORL1	other	q4q1	cellchat_hill	2	20	0.06461958480013226	0.028512522009274247	0.01614936603463329	6.297685731006379e-05	9.5367431640625e-06	0.0	GSE123902+GSE131907
CD48_CD244A	CD48	CD48	CD244	other	q4q1	cellchat_hill	1	2	0.003956373912089514	0.003956373912089514	0.0010005627236603844	7.680759389874154e-05	0.5	0.0	GSE131907
THBS3_CD47	THBS	THBS3	CD47	other	q4q1	cellchat_hill	2	15	0.016351945389572336	0.009298263460968233	0.00429335724449676	0.0001397209515291497	0.0001220703125	0.0	GSE123902+GSE131907
HLA-A_CD8B	MHC-I	HLA-A	CD8B	other	q4q1	cellchat_hill	2	26	0.03970737065229077	0.030216139436559847	0.010726841152651708	0.0002141736972990301	1.3321638107299805e-05	25.472993045670812	GSE123902+GSE131907
HLA-E_CD94:NKG2C	MHC-I	HLA-E	CD94:NKG2C	inhibitory	q4q1	cellchat_hill	1	4	0.0922043568874292	0.09831307082026683	0.025410738942843368	0.0002850079935716043	0.125	0.0	GSE131907
HLA-F_CD8A	MHC-I	HLA-F	CD8A	inhibitory	q4q1	cellchat_hill	2	28	0.04475004209922546	0.021835602108042584	0.012795157240582333	0.00046978113920329863	2.7544796466827393e-05	1.0589908345623555	GSE123902+GSE131907
LPAR1_ADGRE5	ADGRE	LPAR1	ADGRE5	other	q4q1	cellchat_hill	2	12	0.0027001638645228736	0.002388882154572924	0.0007954631297261244	0.0006876531903408534	0.01220703125	0.0	GSE123902+GSE131907
FN1_CD44	FN1	FN1	CD44	other	q4q1	cellchat_hill	2	27	0.0809684024543647	0.051417302068344564	0.024530108500970295	0.0009641770122257821	0.002707734704017639	18.19738538443465	GSE123902+GSE131907
ICAM1_ITGAL	ICAM	ICAM1	ITGAL	other	q4q1	cellchat_hill	2	18	0.038608182952865285	0.018826763944837108	0.012165923999595471	0.0015062897432530859	7.62939453125e-06	0.0	GSE123902+GSE131907
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	barrier|inhibitory	q4q1	cellchat_hill	1	10	0.09595073729379752	0.05263621239232781	0.0302536561537292	0.0015163200629298508	0.001953125	0.0	GSE123902
LPAR3_ADGRE5	ADGRE	LPAR3	ADGRE5	other	q4q1	cellchat_hill	1	3	0.011190927194500084	0.008039976440634984	0.0036641297344228415	0.002256734603390661	0.25	0.0	GSE131907
HLA-DPB1_CD4	MHC-II	HLA-DPB1	CD4	other	q4q1	cellchat_hill	2	18	0.0065028806873559985	0.004434313573087833	0.0021893048546260227	0.002975141540953049	0.0736846923828125	0.0	GSE123902+GSE131907
CLDN3_CLDN3	CLDN	CLDN3	CLDN3	barrier	q4q1	cellchat_hill	1	3	0.08097251981339615	0.07792005157518386	0.028057117343352478	0.0039018633389944243	0.25	0.0	GSE131907
ICOSL_CTLA4	ICOS	ICOSLG	CTLA4	other	q4q1	cellchat_hill	1	3	0.0035816182806964	0.002335476163627332	0.0012461421170690675	0.004050970381744581	0.25	0.0	GSE123902
TNF_TNFRSF1A	TNF	TNF	TNFRSF1A	attack	q4q1	cellchat_hill	1	2	0.007480043048592184	0.007480043048592184	0.0026143975086004847	0.004221787882792846	0.5	0.0	GSE131907
APP_CD74	APP	APP	CD74	other	q4q1	cellchat_hill	2	33	0.1934884309760477	0.14045737583578982	0.06777136904767007	0.0043034484886501885	3.4528784453868866e-07	76.23247954801946	GSE123902+GSE131907
HLA-E_KLRC1	MHC-I	HLA-E	KLRC1	inhibitory	q4q1	cellchat_hill	1	9	0.052313613957933436	0.04069813199833272	0.018588977903713364	0.004889460266236403	0.00390625	0.0	GSE131907
COL6A1_CD44	COLLAGEN	COL6A1	CD44	other	q4q1	cellchat_hill	2	23	0.06686639068142113	0.04647007664484992	0.02453686448800243	0.006427422838893325	0.00034928321838378906	0.0	GSE123902+GSE131907
COL9A2_SDC4	COLLAGEN	COL9A2	SDC4	other	q4q1	cellchat_hill	1	4	0.008792710645294641	0.0055587663979198565	0.0033011705279757204	0.007732942186407473	0.125	0.0	GSE123902
COL4A4_CD44	COLLAGEN	COL4A4	CD44	other	q4q1	cellchat_hill	2	13	0.04633130987411033	0.033234038337257354	0.017467182349554328	0.0079903430080457	0.001220703125	46.06294939658361	GSE123902+GSE131907
ANXA1_FPR3	ANNEXIN	ANXA1	FPR3	other	q4q1	cellchat_hill	1	2	0.039407492918602384	0.039407492918602384	0.014898778087430939	0.00816872731989429	0.5	0.0	GSE123902
CD99_CD99	CD99	CD99	CD99	other	q4q1	cellchat_hill	2	33	0.08274064536129694	0.03697606518598906	0.031423394193082294	0.008461176185846006	0.0007593201007694006	13.207466611984033	GSE123902+GSE131907
HLA-E_KLRC2	MHC-I	HLA-E	KLRC2	inhibitory	q4q1	cellchat_hill	1	4	0.0730781809371985	0.07022178624480602	0.0277756090200763	0.008512904327387367	0.125	0.0	GSE131907
COL1A1_CD44	COLLAGEN	COL1A1	CD44	other	q4q1	cellchat_hill	2	29	0.10649406160035392	0.07591401927559384	0.040840910137113384	0.009119701424121556	5.336105823516846e-05	41.93139690745842	GSE123902+GSE131907
SPP1_CD44	SPP1	SPP1	CD44	other	q4q1	cellchat_hill	2	28	0.05543279758694685	0.0249275637845478	0.02215936870248923	0.012365052684780983	0.0061654517319545046	0.0	GSE123902+GSE131907
TGM2_ADGRG1	ADGRG	TGM2	ADGRG1	other	q4q1	cellchat_hill	1	8	0.049089121931838405	0.02199070083331235	0.01985994453659946	0.013444774784328779	0.0078125	0.0	GSE131907
CEACAM6_CEACAM6	CEACAM	CEACAM6	CEACAM6	barrier	q4q1	cellchat_hill	1	4	0.0928359288412947	0.06034931549013338	0.038442126288766594	0.015737239514368437	0.125	0.0	GSE123902
TNFSF15_TNFRSF25	VEGI	TNFSF15	TNFRSF25	other	q4q1	cellchat_hill	2	6	0.005134590359664382	0.004907829875820288	0.0021301071656447774	0.01593134715445318	0.03125	0.0	GSE123902+GSE131907
HLA-C_CD8A	MHC-I	HLA-C	CD8A	other	q4q1	cellchat_hill	2	30	0.04383356360260281	0.03879881623402853	0.018376148557773458	0.01706283463793016	3.904104232788086e-05	51.37886652326629	GSE123902+GSE131907
MDK_SDC1	MK	MDK	SDC1	other	q4q1	cellchat_hill	1	3	0.05075203635490247	0.02935711970247809	0.021394916652424375	0.017684719699763266	0.25	0.0	GSE123902
HLA-B_CD8A	MHC-I	HLA-B	CD8A	other	q4q1	cellchat_hill	2	30	0.03593181737750056	0.03392878837512242	0.0176602727915908	0.04188984667690558	7.994472980499268e-06	76.29769590124825	GSE123902+GSE131907
LPAR2_ADGRE5	ADGRE	LPAR2	ADGRE5	other	q4q1	cellchat_hill	2	24	0.014280922153473583	0.009915939663445342	0.007068606986882703	0.04334911912704292	2.9802322387695312e-06	83.6324275405381	GSE123902+GSE131907
COL9A2_CD44	COLLAGEN	COL9A2	CD44	other	q4q1	cellchat_hill	2	14	0.07001374336789969	0.0295791417868964	0.03467849307077048	0.043493616259482074	0.000244140625	0.0	GSE123902+GSE131907
HLA-DRB5_CD4	MHC-II	HLA-DRB5	CD4	other	q4q1	cellchat_hill	2	14	0.0050576992038026255	0.002153777571566206	0.002585722360144206	0.050463957421673575	0.067626953125	0.0	GSE123902+GSE131907
COL1A2_SDC4	COLLAGEN	COL1A2	SDC4	other	q4q1	cellchat_hill	1	3	-0.0017236629014351454	-0.0025203553585276127	0.0008851561397449498	0.051499002002570175	0.5	0.0	GSE123902
MDK_SDC4	MK	MDK	SDC4	other	q4q1	cellchat_hill	1	8	0.0395991755486421	0.011636220873384917	0.02081824703022936	0.05715313594399977	0.0078125	0.0	GSE123902
HLA-E_CD8A	MHC-I	HLA-E	CD8A	inhibitory	q4q1	cellchat_hill	2	30	0.06008407968664578	0.044889661321633245	0.03283195426832219	0.06724263662115323	1.597777009010315e-05	79.83090196562144	GSE123902+GSE131907
ANGPTL4_SDC4	ANGPTL	ANGPTL4	SDC4	other	q4q1	cellchat_hill	1	7	0.0019020676175975587	0.0011590922936956314	0.0010395686384384259	0.0672992898448644	0.078125	0.0	GSE123902
HLA-F_CD8B	MHC-I	HLA-F	CD8B	inhibitory	q4q1	cellchat_hill	2	25	0.031220615079346287	0.016840219337113514	0.017142539583409153	0.06857094725294077	4.5418739318847656e-05	57.70643438037535	GSE123902+GSE131907
TNFSF12_TNFRSF12A	TWEAK	TNFSF12	TNFRSF12A	other	q4q1	cellchat_hill	2	9	0.0008811365612987417	0.0007049030757764949	0.0005037114479833268	0.08024119092482035	0.12890625	0.0	GSE123902+GSE131907
COL4A3_SDC4	COLLAGEN	COL4A3	SDC4	other	q4q1	cellchat_hill	1	4	0.008633763776794038	0.008518763484867324	0.004940065972889874	0.08051562143225215	0.125	0.0	GSE123902
HLA-DPA1_CD4	MHC-II	HLA-DPA1	CD4	other	q4q1	cellchat_hill	2	18	0.0057563486596244546	0.003145764825909768	0.003318333036692743	0.08279201553836556	0.04827880859375	0.0	GSE123902+GSE131907
NECTIN3_TIGIT	NECTIN	NECTIN3	TIGIT	barrier	q4q1	cellchat_hill	1	3	0.011379124107915563	0.0075035517846512145	0.006608453749198055	0.08508687837619237	0.25	0.0	GSE123902
CXCL12_CXCR4	CXCL	CXCL12	CXCR4	other	q4q1	cellchat_hill	2	4	0.0263512321260598	0.02874954851803638	0.015307691342519185	0.08517148556975158	0.375	0.0	GSE123902+GSE131907
COL1A1_SDC4	COLLAGEN	COL1A1	SDC4	other	q4q1	cellchat_hill	1	8	0.008258524491081214	0.002735747908154137	0.004878312539077467	0.09047336405696552	0.0546875	0.0	GSE123902
IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	other	q4q1	cellchat_hill	2	20	0.04479226752707269	0.03136997040521893	0.026769935880530324	0.09428196994635275	0.0005855560302734375	62.47437526348053	GSE123902+GSE131907
TNF_TNFRSF1B	TNF	TNF	TNFRSF1B	attack	q4q1	cellchat_hill	1	6	0.01140156400383662	0.0031334746352439952	0.006884254374054165	0.09768538413241148	0.3125	0.0	GSE131907
COL4A4_SDC4	COLLAGEN	COL4A4	SDC4	other	q4q1	cellchat_hill	1	6	0.003982504235053223	0.0006663923925666608	0.0024639754182583682	0.10603115371581943	0.15625	0.0	GSE123902
HLA-C_CD8B	MHC-I	HLA-C	CD8B	other	q4q1	cellchat_hill	2	26	0.03708267636649098	0.03362410626377957	0.023421448297377877	0.11335799293537038	0.00010919570922851562	71.4461125506146	GSE123902+GSE131907
PVR_CD226	PVR	PVR	CD226	barrier|inhibitory	q4q1	cellchat_hill	2	5	0.004871114351606561	0.0008101943810115922	0.003153070445068427	0.12237537768757488	0.1875	0.0	GSE123902+GSE131907
MDK_NCL	MK	MDK	NCL	other	q4q1	cellchat_hill	2	34	0.1391772980197678	0.055271321309673105	0.09086667376954624	0.1256051394446914	1.7264392226934433e-07	89.41398923232376	GSE123902+GSE131907
HLA-B_CD8B	MHC-I	HLA-B	CD8B	other	q4q1	cellchat_hill	2	26	0.0323525049702388	0.029424273607826373	0.02172250941863208	0.13639419092910984	7.024407386779785e-05	82.53610974172952	GSE123902+GSE131907
CCL5_CCR1	CCL	CCL5	CCR1	recruit	q4q1	cellchat_hill	1	2	0.006608660314607303	0.006608660314607303	0.004438930374369716	0.13654118326019024	0.5	0.0	GSE131907
THBS1_SDC4	THBS	THBS1	SDC4	other	q4q1	cellchat_hill	1	7	0.009408451774068615	0.00016280898546497657	0.0063316437949543685	0.13729461636246815	0.15625	0.0	GSE123902
CX3CL1_CX3CR1	CX3C	CX3CL1	CX3CR1	other	q4q1	cellchat_hill	1	4	0.009417294911086066	0.004440176559147145	0.006339471143418449	0.13741098382627287	0.125	0.0	GSE131907
FN1_SDC4	FN1	FN1	SDC4	other	q4q1	cellchat_hill	1	7	0.010323824070638853	0.0012603913474387354	0.0070327170301159375	0.14211212286484207	0.296875	0.0	GSE123902
HLA-DRA_CD4	MHC-II	HLA-DRA	CD4	other	q4q1	cellchat_hill	2	18	0.01043392453633036	0.005476509518417393	0.007127463116503402	0.14322007411114165	0.0431671142578125	21.917837089502772	GSE123902+GSE131907
THBS3_SDC4	THBS	THBS3	SDC4	other	q4q1	cellchat_hill	1	4	0.0019163185760042419	0.001120692168078289	0.0013118634421771004	0.1440811211540725	0.125	0.0	GSE123902
C3_C3AR1	COMPLEMENT	C3	C3AR1	other	q4q1	cellchat_hill	1	5	0.005628439604001813	0.005466603468021037	0.003858955039618813	0.14469180654245342	0.3125	0.0	GSE123902
COL6A1_SDC4	COLLAGEN	COL6A1	SDC4	other	q4q1	cellchat_hill	1	6	0.002081359208463523	0.0011071102514507189	0.0014298420086187296	0.14548752436254722	0.15625	0.0	GSE123902
