interaction_name	pathway_name	ligand	receptor	lr_class	split	score	k_units	n_q1	n_q4	n_compared	mean_delta	se	p_meta	i2	units
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	inhibitory	between_q4q1_given_pct	liana_mean	1	3	2	5	0.18786555927363224	0.03209766050941395	4.829694220071534e-09	0.0	GSE131907
LAMB2_CD44	LAMININ	LAMB2	CD44	other	between_q4q1_given_pct	liana_mean	2	8	7	15	-0.15836316184959248	0.03683732636776009	1.715810672763088e-05	33.153632606083114	GSE123902+GSE131907
HLA-G_CD8B	MHC-I	HLA-G	CD8B	inhibitory	between_q4q1_given_pct	liana_mean	1	3	2	5	-0.3879586758557707	0.13244855641905076	0.003399152341074748	0.0	GSE123902
APP_SORL1	APP	APP	SORL1	other	between_q4q1_given_pct	liana_mean	2	6	4	10	0.19637399453853294	0.0687991187255053	0.004313045773079786	0.0	GSE123902+GSE131907
CDH1_KLRG1	CDH1	CDH1	KLRG1	barrier|inhibitory	between_q4q1_given_pct	liana_mean	1	3	2	5	0.2626778054982424	0.09426853435212784	0.005328317375514398	0.0	GSE131907
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	between_q4q1_given_pct	liana_mean	2	7	6	13	-0.25512828568938417	0.09452976799482006	0.00695648873086601	43.64465834940581	GSE123902+GSE131907
GDF15_TGFBR2	GDF	GDF15	TGFBR2	other	between_q4q1_given_pct	liana_mean	1	2	3	5	0.1578736223746091	0.059480812920996745	0.007949808465108657	0.0	GSE123902
HLA-DMB_CD4	MHC-II	HLA-DMB	CD4	other	between_q4q1_given_pct	liana_mean	2	6	4	10	0.09103820891425651	0.0346573072816936	0.008618909698614534	0.0	GSE123902+GSE131907
HLA-G_CD8A	MHC-I	HLA-G	CD8A	inhibitory	between_q4q1_given_pct	liana_mean	1	3	2	5	-0.43167439685203135	0.19275689156842324	0.025124973222280054	0.0	GSE123902
HLA-F_CD8A	MHC-I	HLA-F	CD8A	inhibitory	between_q4q1_given_pct	liana_mean	2	7	7	14	-0.29534501228068283	0.13355550586894901	0.027007959936278466	24.150344405013886	GSE123902+GSE131907
LAMC1_CD44	LAMININ	LAMC1	CD44	other	between_q4q1_given_pct	liana_mean	2	8	7	15	-0.14759840392274348	0.06936180947727563	0.033341299368219314	57.81046942136939	GSE123902+GSE131907
HLA-F_CD8B	MHC-I	HLA-F	CD8B	inhibitory	between_q4q1_given_pct	liana_mean	2	7	6	13	-0.29188080463381244	0.13964682640565348	0.03660561968362094	65.34121046225067	GSE123902+GSE131907
TGM2_ADGRG1	ADGRG	TGM2	ADGRG1	other	between_q4q1_given_pct	liana_mean	1	4	2	6	-0.104345433996059	0.0524127075417068	0.04649822990417495	0.0	GSE131907
HLA-B_CD8B	MHC-I	HLA-B	CD8B	other	between_q4q1_given_pct	liana_mean	2	8	6	14	-0.3287245756439756	0.17166662271031438	0.055505139080307256	0.0	GSE123902+GSE131907
HLA-DMA_CD4	MHC-II	HLA-DMA	CD4	other	between_q4q1_given_pct	liana_mean	2	7	5	12	0.23472334279414692	0.1255949973385862	0.061637999963935326	0.0	GSE123902+GSE131907
SPP1_CD44	SPP1	SPP1	CD44	other	between_q4q1_given_pct	liana_mean	2	10	5	15	-0.21721678979438905	0.11897621187659001	0.06789303137148811	0.0	GSE123902+GSE131907
FN1_SDC4	FN1	FN1	SDC4	other	between_q4q1_given_pct	liana_mean	1	2	3	5	-0.16461271620937623	0.10021674695553846	0.10047256389365515	0.0	GSE123902
HLA-DPB1_CD4	MHC-II	HLA-DPB1	CD4	other	between_q4q1_given_pct	liana_mean	2	7	5	12	0.2119427162174758	0.14793175935515732	0.15194187990311048	0.0	GSE123902+GSE131907
LGALS9_P4HB	GALECTIN	LGALS9	P4HB	inhibitory	between_q4q1_given_pct	liana_mean	2	7	6	13	0.07125392165317326	0.05002104962569554	0.15430793559887865	7.013904114968303	GSE123902+GSE131907
C3_C3AR1	COMPLEMENT	C3	C3AR1	other	between_q4q1_given_pct	liana_mean	1	2	3	5	0.0781239087227732	0.05820347684026645	0.17951332367017148	0.0	GSE123902
BAG6_NCR3-PS	BAG	BAG6	NCR3	other	between_q4q1_given_pct	liana_mean	1	4	3	7	0.04339985270053148	0.03290834478103647	0.18723265530379973	0.0	GSE131907
COL1A1_SDC4	COLLAGEN	COL1A1	SDC4	other	between_q4q1_given_pct	liana_mean	1	2	3	5	-0.22076797965564765	0.16941401149716928	0.19253139285636645	0.0	GSE123902
HLA-DQB1_CD4	MHC-II	HLA-DQB1	CD4	other	between_q4q1_given_pct	liana_mean	2	7	5	12	0.11310735748793183	0.08881953778248838	0.20285793684652176	0.0	GSE123902+GSE131907
PVR_TIGIT	PVR	PVR	TIGIT	barrier|inhibitory	between_q4q1_given_pct	liana_mean	1	4	3	7	0.060561992693692446	0.048176368026590324	0.20872133180602526	0.0	GSE131907
MIF_CD74_CD44	MIF	MIF	CD74_CD44	other	between_q4q1_given_pct	liana_mean	2	10	8	18	-0.3322177643290624	0.2826899978778906	0.23991403275738798	71.15144722825735	GSE123902+GSE131907
MIF_CD74_CXCR4	MIF	MIF	CD74_CXCR4	other	between_q4q1_given_pct	liana_mean	2	10	8	18	-0.40140278924759537	0.3440739492461085	0.24336475695251014	72.45788611053227	GSE123902+GSE131907
THBS1_SDC4	THBS	THBS1	SDC4	other	between_q4q1_given_pct	liana_mean	1	2	2	4	0.031646651012124494	0.027458637197786316	0.2491071200169609	0.0	GSE123902
THBS1_CD47	THBS	THBS1	CD47	other	between_q4q1_given_pct	liana_mean	1	3	2	5	0.015929841378238052	0.014220840483320518	0.262638853954265	0.0	GSE123902
HLA-A_CD8B	MHC-I	HLA-A	CD8B	other	between_q4q1_given_pct	liana_mean	2	8	6	14	-0.16459814716294194	0.1489130470055096	0.26901636454696964	0.0	GSE123902+GSE131907
HLA-DQA2_CD4	MHC-II	HLA-DQA2	CD4	other	between_q4q1_given_pct	liana_mean	1	2	2	4	-0.03093726292718202	0.029186366995875634	0.2891490587229736	0.0	GSE123902
IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	other	between_q4q1_given_pct	liana_mean	1	3	4	7	-0.25678090867586434	0.24470262429973008	0.29401290665266544	0.0	GSE131907
HLA-DPA1_CD4	MHC-II	HLA-DPA1	CD4	other	between_q4q1_given_pct	liana_mean	2	7	5	12	0.17864480336030658	0.17406939601139468	0.3047572838028233	0.0	GSE123902+GSE131907
ICAM1_SPN	ICAM	ICAM1	SPN	other	between_q4q1_given_pct	liana_mean	2	6	6	12	0.0902277965370064	0.09130226744656064	0.3230391780762354	0.0	GSE123902+GSE131907
COL6A2_CD44	COLLAGEN	COL6A2	CD44	other	between_q4q1_given_pct	liana_mean	1	4	2	6	-0.060501642525196075	0.06456622486151742	0.34873394228838195	0.0	GSE131907
ICAM1_ITGAL	ICAM	ICAM1	ITGAL	other	between_q4q1_given_pct	liana_mean	2	5	4	9	0.0908426643584073	0.09941340546192295	0.3608288483324895	0.0	GSE123902+GSE131907
HLA-E_CD8B	MHC-I	HLA-E	CD8B	inhibitory	between_q4q1_given_pct	liana_mean	2	8	6	14	-0.23124656493512913	0.25930249186738136	0.37249889569295636	75.31893018840023	GSE123902+GSE131907
ANGPTL4_SDC4	ANGPTL	ANGPTL4	SDC4	other	between_q4q1_given_pct	liana_mean	1	2	2	4	-0.004811954713659361	0.005749766306135411	0.4026511960383945	0.0	GSE123902
HLA-C_CD8B	MHC-I	HLA-C	CD8B	other	between_q4q1_given_pct	liana_mean	2	8	6	14	-0.1259816116811024	0.1527394266235745	0.4094772185302905	0.0	GSE123902+GSE131907
CLEC2B_KLRB1	CLEC	CLEC2B	KLRB1	other	between_q4q1_given_pct	liana_mean	2	10	5	15	0.10497837979208258	0.13153655047505447	0.4248166132452208	0.0	GSE123902+GSE131907
MDK_NCL	MK	MDK	NCL	other	between_q4q1_given_pct	liana_mean	2	10	8	18	0.24432336302982174	0.32772777063108227	0.45596525165080815	88.14633553134837	GSE123902+GSE131907
COL1A1_CD44	COLLAGEN	COL1A1	CD44	other	between_q4q1_given_pct	liana_mean	2	8	8	16	-0.16087068527128245	0.2171440201845217	0.45878568519561447	1.5824013389047067	GSE123902+GSE131907
LAMB3_CD44	LAMININ	LAMB3	CD44	other	between_q4q1_given_pct	liana_mean	1	4	5	9	0.08783033303916454	0.1261669376563481	0.48633877087609234	0.0	GSE131907
CLEC2D_KLRB1	CLEC	CLEC2D	KLRB1	other	between_q4q1_given_pct	liana_mean	2	8	5	13	0.09544262531904185	0.1388515765130736	0.491848612180964	51.32622162072976	GSE123902+GSE131907
HLA-DRA_CD4	MHC-II	HLA-DRA	CD4	other	between_q4q1_given_pct	liana_mean	2	7	5	12	0.2063514057362126	0.3064036808187566	0.5006530632480806	0.0	GSE123902+GSE131907
HLA-DRB1_CD4	MHC-II	HLA-DRB1	CD4	other	between_q4q1_given_pct	liana_mean	2	7	5	12	0.1162206764915261	0.17855309582504533	0.5151093550972662	0.0	GSE123902+GSE131907
LAMA5_CD44	LAMININ	LAMA5	CD44	other	between_q4q1_given_pct	liana_mean	2	9	8	17	-0.07796827066388903	0.12178554655635254	0.5220363711555028	70.17077918285752	GSE123902+GSE131907
MDK_SDC4	MK	MDK	SDC4	other	between_q4q1_given_pct	liana_mean	1	2	3	5	0.01568117630085908	0.02478426694593776	0.5269250738680025	0.0	GSE123902
PPIA_BSG	CypA	PPIA	BSG	other	between_q4q1_given_pct	liana_mean	2	10	8	18	0.03691881655943598	0.059846444919917245	0.5373057053082628	0.0	GSE123902+GSE131907
HLA-E_CD8A	MHC-I	HLA-E	CD8A	inhibitory	between_q4q1_given_pct	liana_mean	2	9	7	16	-0.25051396667840076	0.4624563752681361	0.5880231811076877	90.26189067636065	GSE123902+GSE131907
HLA-DQA1_CD4	MHC-II	HLA-DQA1	CD4	other	between_q4q1_given_pct	liana_mean	2	7	5	12	0.037922513419093994	0.07146332657568676	0.5956564991288495	43.806847860182145	GSE123902+GSE131907
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	barrier|inhibitory	between_q4q1_given_pct	liana_mean	1	3	2	5	-0.0627513900399208	0.13681326936614877	0.6464751093636507	0.0	GSE123902
HLA-E_KLRC1	MHC-I	HLA-E	KLRC1	inhibitory	between_q4q1_given_pct	liana_mean	1	3	3	6	-0.08773359633050859	0.20039566236533024	0.6615299130803589	0.0	GSE131907
THBS3_CD47	THBS	THBS3	CD47	other	between_q4q1_given_pct	liana_mean	1	3	3	6	-0.02699456922709942	0.06551690730839099	0.6803214853436377	0.0	GSE131907
CXCL16_CXCR6	CXCL	CXCL16	CXCR6	recruit	between_q4q1_given_pct	liana_mean	2	6	5	11	0.037859344313054294	0.09367123477787755	0.6860858182147547	40.701489530040774	GSE123902+GSE131907
HLA-B_CD8A	MHC-I	HLA-B	CD8A	other	between_q4q1_given_pct	liana_mean	2	9	7	16	-0.16397722335622253	0.4224075118442513	0.697870437939308	81.98898263887968	GSE123902+GSE131907
LPAR2_ADGRE5	ADGRE	LPAR2	ADGRE5	other	between_q4q1_given_pct	liana_mean	1	6	4	10	0.024219720042310655	0.06375393974624374	0.7040243242633716	0.0	GSE131907
CD55_ADGRE5	ADGRE	CD55	ADGRE5	other	between_q4q1_given_pct	liana_mean	2	9	7	16	0.045849035057570424	0.137437951801851	0.7386828770684049	31.55166324821772	GSE123902+GSE131907
LGALS9_CD44	GALECTIN	LGALS9	CD44	inhibitory	between_q4q1_given_pct	liana_mean	2	7	6	13	-0.05839829987687845	0.17867462716990207	0.7437876984345966	84.49845584682652	GSE123902+GSE131907
HLA-A_CD8A	MHC-I	HLA-A	CD8A	other	between_q4q1_given_pct	liana_mean	2	9	7	16	-0.08525140593774579	0.2916195098653557	0.7700283602644729	68.7704808033447	GSE123902+GSE131907
COL6A1_CD44	COLLAGEN	COL6A1	CD44	other	between_q4q1_given_pct	liana_mean	1	4	2	6	0.04707423970103264	0.17156725129218828	0.783794325201747	0.0	GSE131907
HLA-C_CD8A	MHC-I	HLA-C	CD8A	other	between_q4q1_given_pct	liana_mean	2	9	7	16	-0.0825264089333499	0.34422082709455765	0.8105252742556237	80.63992190104418	GSE123902+GSE131907
HLA-E_CD94:NKG2A	MHC-I	HLA-E	CD94:NKG2A	inhibitory	between_q4q1_given_pct	liana_mean	1	3	2	5	-0.02841195921724321	0.2405323664722351	0.905971667212495	0.0	GSE131907
HLA-DRB5_CD4	MHC-II	HLA-DRB5	CD4	other	between_q4q1_given_pct	liana_mean	1	3	3	6	-0.020539475604891777	0.2009783856083487	0.9185999632548529	0.0	GSE123902
FN1_CD44	FN1	FN1	CD44	other	between_q4q1_given_pct	liana_mean	2	9	7	16	-0.009351447522026057	0.10187915561871067	0.9268652026567678	0.0	GSE123902+GSE131907
APP_CD74	APP	APP	CD74	other	between_q4q1_given_pct	liana_mean	2	10	8	18	-0.011179572671603822	0.12618140107739428	0.9294004345639519	0.0	GSE123902+GSE131907
LAMC2_CD44	LAMININ	LAMC2	CD44	other	between_q4q1_given_pct	liana_mean	1	5	4	9	0.008053398225456476	0.09356176037975185	0.9314062047594175	0.0	GSE131907
CD99_CD99	CD99	CD99	CD99	other	between_q4q1_given_pct	liana_mean	2	10	8	18	0.01013534148343677	0.1939132758849496	0.9583156340568372	32.27858956333027	GSE123902+GSE131907
