unit	interaction_name	pathway_name	lr_class	score	n	mean	sd	se	median	wilcoxon_p
GSE123902	AGRN_DAG1	AGRN	other	cellchat_hill	1	0.0033228135551172967			0.0033228135551172967	
GSE123902	AGRN_DAG1	AGRN	other	liana_mean	1	0.16531836986541748			0.16531836986541748	
GSE123902	ANGPTL4_SDC2	ANGPTL	other	cellchat_hill	1	0.0020470009973328133			0.0020470009973328133	
GSE123902	ANGPTL4_SDC2	ANGPTL	other	liana_mean	1	0.04964639991521835			0.04964639991521835	
GSE123902	ANGPTL4_SDC4	ANGPTL	other	cellchat_hill	6	0.0019020676175975587	0.0025464127167739983	0.0010395686384384259	0.0012774332002105395	0.09375
GSE123902	ANGPTL4_SDC4	ANGPTL	other	liana_mean	6	0.04517309845929655	0.04657729647095944	0.019015101658697714	0.04572886461392045	0.0625
GSE123902	ANXA1_FPR1	ANNEXIN	other	cellchat_hill	1	0.004994303675201855			0.004994303675201855	
GSE123902	ANXA1_FPR1	ANNEXIN	other	liana_mean	1	0.21912026405334473			0.21912026405334473	
GSE123902	ANXA1_FPR3	ANNEXIN	other	cellchat_hill	2	0.039407492918602384	0.021070054034031917	0.014898778087430939	0.039407492918602384	0.5
GSE123902	ANXA1_FPR3	ANNEXIN	other	liana_mean	2	0.22859157621860504	0.2063508227953674	0.1459120661020279	0.22859157621860504	0.5
GSE123902	APP_CD74	APP	other	cellchat_hill	13	0.26575048964518094	0.19021618261790327	0.05275647691168248	0.21769286455989614	0.000244140625
GSE123902	APP_CD74	APP	other	liana_mean	13	0.23336089946902716	0.16162277925818072	0.04482609368448987	0.26729652658104897	0.000244140625
GSE123902	APP_SORL1	APP	other	cellchat_hill	8	0.06510205286701035	0.06388353578541103	0.022586240680018806	0.03121060117737307	0.0078125
GSE123902	APP_SORL1	APP	other	liana_mean	8	0.25679337000474334	0.15169661407883	0.053632852249089695	0.27624386362731457	0.0078125
GSE123902	AREG_EGFR	EGF	other	cellchat_hill	1	0.003626979471824346			0.003626979471824346	
GSE123902	AREG_EGFR	EGF	other	liana_mean	1	0.1553337499499321			0.1553337499499321	
GSE123902	BAG6_NCR3-PS	BAG	other	cellchat_hill	2	0.004637764560463183	0.0025706582799529683	0.00181772990186809	0.004637764560463183	0.5
GSE123902	BAG6_NCR3-PS	BAG	other	liana_mean	2	0.14409031649120152	0.07712649800414824	0.054536669747903936	0.14409031649120152	0.5
GSE123902	C3_C3AR1	COMPLEMENT	other	cellchat_hill	5	0.005628439604001813	0.00862888579070306	0.003858955039618813	0.005466603468021037	0.3125
GSE123902	C3_C3AR1	COMPLEMENT	other	liana_mean	5	0.07196989301592112	0.11747612238415987	0.052536919076813224	0.041229293681681156	0.3125
