gene	in_gocc_go0005923	in_reactome_r_hsa_420029	in_canonical_additions	a9_slide_gene	OncoSG_LUAD_present	OncoSG_LUAD_rho	OncoSG_LUAD_log2FC	OncoSG_LUAD_welch_fdr	OncoSG_LUAD_call	CPTAC_LUAD_RNA_present	CPTAC_LUAD_RNA_rho	CPTAC_LUAD_RNA_log2FC	CPTAC_LUAD_RNA_welch_fdr	CPTAC_LUAD_RNA_call	GSE31210_LUAD_present	GSE31210_LUAD_rho	GSE31210_LUAD_log2FC	GSE31210_LUAD_welch_fdr	GSE31210_LUAD_call	n_cohorts_tested	n_cohorts_pass	recur_2of3	recur_3of3
CLDN4	True	True	False	True	True	0.5046094177315896	1.0449526315789472	9.757751630845557e-07	pass	True	0.39186837561767496	0.650483783783784	0.0038639027185813136	pass	True	0.47054227905344825	1.0387945907730138	3.482816750727768e-10	pass	3	3	True	True
MICALL2	True	False	False	False	True	0.4974880025161337	1.1368035087719297	1.2236137585541202e-09	pass	True	0.34175865545661466	0.4556486486486513	0.014127891424169819	pass	True	0.31464452328044384	0.45724730784819023	0.0001060660586136813	pass	3	3	True	True
PARD6B	True	True	False	False	True	0.25242404654169365	0.5117210526315789	0.014555785743652273	pass	True	0.3760510361293218	0.5326972972972985	0.0038639027185813136	pass	True	0.24302782217717311	0.47712222685103534	0.0033166090327828314	pass	3	3	True	True
AMOT	True	False	False	False	True	0.05754313559743424	0.0790859649122807	0.7476057700577418	no-call	True	0.4048319981286604	1.1410405405405406	0.0038639027185813136	pass	True	0.3063100853767884	0.471786773252596	0.00010464280805240253	pass	3	2	True	False
ANK3	True	False	False	False	True	-0.016535736994519254	-0.008224561403508706	0.9756039793177753	no-call	True	0.3839443306870356	0.6840027027027062	0.0038639027185813136	pass	True	0.2305433186490455	0.3824481748415032	0.01612834461961999	pass	3	2	True	False
CGN	True	False	False	False	True	0.2819103972950127	0.5706771929824561	0.008533375197990373	pass	True	0.25319868359917086	0.3950594594594605	0.13129796953351183	no-call	True	0.4548724546151547	0.9184381382568905	3.0804317104431193e-09	pass	3	2	True	False
CLDN1	True	True	False	True	True	0.3736263736263737	0.813159649122807	0.00012684682019724572	pass	True	0.3459746407517824	0.5298108108108082	0.13129796953351183	no-call	True	0.3812295816927215	0.8758474026919991	6.637284339483824e-06	pass	3	2	True	False
CLDN12	True	True	False	False	True	0.289738743235692	0.7011	0.000877940140986955	pass	True	0.2324251947085027	0.3918999999999997	0.05867823006869178	no-call	True	0.2772887346822086	0.3716521209876227	0.001895651569221453	pass	3	2	True	False
CLDN3	True	True	False	False	True	0.38266123017254244	0.8418087719298246	9.980941505149473e-05	pass	True	-0.03577804627487512	0.010218918918917907	0.9956508236777412	no-call	True	0.37896742167296926	0.9464252564015201	9.02016668326494e-06	pass	3	2	True	False
CLDN6	True	True	False	False	True	0.1670220722626886	0.5093228070175438	0.010414188973016	pass	True	0.236681348706043	1.5266000000000002	0.06566930880368725	no-call	True	0.17408080256780112	0.4181190974793827	0.03683987942647034	pass	3	2	True	False
CLDN7	True	True	False	True	True	0.48894665167495627	1.1387228070175437	9.190437180253912e-08	pass	True	0.13783029546937858	0.2942810810810812	0.16195147387727885	no-call	True	0.3153472899042272	0.6115513690595709	2.762279989403151e-05	pass	3	2	True	False
CRB3	False	True	False	False	True	0.4153920739893591	1.016759649122807	2.0628520106579646e-06	pass	True	0.2708153471278918	0.36362162162162015	0.10750186053844868	no-call	True	0.2727228308188115	0.42832092455271287	0.00012568484537825293	pass	3	2	True	False
CXADR	True	False	False	False	True	0.42080008552576587	0.8657561403508773	7.281884977130677e-05	pass	True	0.08291837330694793	-0.023140540540540044	0.9956508236777412	no-call	True	0.32942965186542433	0.6157672143720205	1.0415571217668924e-05	pass	3	2	True	False
CYTH3	True	False	False	False	True	0.12062055591467358	0.15174912280701755	0.49882956104794585	no-call	True	0.31704732985464995	0.5118243243243228	0.02811265317860477	pass	True	0.27353891336270186	0.4487234301458969	0.0012174441763541698	pass	3	2	True	False
EPCAM	True	False	False	False	True	0.4562702003878475	0.9552263157894737	1.8638670789410657e-05	pass	True	0.03323986078435663	0.21346756756756946	0.2866681498340524	no-call	True	0.38263095655789897	0.30424503891862464	1.670878604421369e-05	pass	3	2	True	False
F11R	True	True	False	True	True	0.11667495400527077	0.3318175438596491	0.14618566558513477	no-call	True	0.29697354958061084	0.28210540540540663	0.021249627065001324	pass	True	0.4282026691616961	0.2670313309009771	3.1053876877890114e-08	pass	3	2	True	False
MARVELD3	True	False	False	False	True	0.4587812639848839	1.0293456140350878	9.757751630845557e-07	pass	True	-0.06621808960421909	-0.10276756756756811	0.6640656499421147	no-call	True	0.33750523046534897	0.5109348099238176	1.7987473845393555e-05	pass	3	2	True	False
OCLN	True	False	False	False	True	0.11040475361742332	0.2495122807017544	0.2834695345993175	no-call	True	0.37125583829255177	0.5904945945945972	0.03077012172028834	pass	True	0.33826933322937375	0.6224293413540458	7.499255692499346e-05	pass	3	2	True	False
PATJ	True	True	False	False	True	0.36162943266716285	0.7428245614035087	0.00034415887519401064	pass	True	0.18347970354017987	0.2831972972972956	0.10940647934966381	no-call	True	0.36130677166582204	0.5299306967967077	2.3437185304200647e-05	pass	3	2	True	False
TJP3	True	False	False	False	True	0.29073144050519617	0.6559894736842107	0.0030341330250975938	pass	True	0.25267288972784074	0.4169783783783778	0.13129796953351183	no-call	True	0.23395423180382832	0.34100525419337124	0.0018712752646038045	pass	3	2	True	False
AMOTL2	True	False	False	False	True	-0.14405558155712442	-0.45549298245614045	0.027593759860384922	no-call	True	0.3653555273870897	0.49509459459459393	0.0122713321053664	pass	True	0.1452403415071537	0.16754192667638357	0.11722139172736039	no-call	3	1	False	False
CLDN16	True	True	False	False	True	0.23067987089151618	0.4418649122807018	0.045715668956803866	pass	True	0.2549562810372797	0.5416135135135152	0.06154664687826368	no-call	True	0.11239016022767143	0.24240173562721523	0.34893954410290773	no-call	3	1	False	False
CLDN23	True	True	False	False	True	0.2375371381161373	0.40417368421052635	0.07128295409387995	no-call	True	0.27075960381316844	0.4896513513513483	0.06566930880368725	no-call	True	0.2535786778942991	0.5462515125942389	0.0007475066661097696	pass	3	1	False	False
CLDN8	True	True	False	False	True	0.24704785580326696	0.5269824561403509	0.013117026209240979	pass	True	0.22728625295862942	1.1696513513513502	0.12140148556151842	no-call	True	0.15086767247540708	0.6324102866406438	0.09151666166771193	no-call	3	1	False	False
CLDN9	True	True	False	False	True	0.33905076823628866	0.8360859649122808	4.8355495739647046e-05	pass	True	0.2026206700679363	0.6706135135135138	0.2478140334643105	no-call	True	0.12840720959546734	0.19280542978646942	0.13258385731594138	no-call	3	1	False	False
FRMD4B	True	False	False	False	True	-0.24786186664014723	-0.6486578947368421	0.0017905540598131945	no-call	True	0.39925247887948956	0.4742783783783793	0.0038639027185813136	pass	True	-0.1278021649578314	-0.1182795447170939	0.35947148911746796	no-call	3	1	False	False
MARVELD2	True	False	False	False	True	0.1590472875540749	0.3661245614035087	0.07386822609589465	no-call	True	0.13897236046910796	0.14677027027027023	0.46493839742732657	no-call	True	0.3068122100502904	0.5455443570251912	5.186156695826176e-05	pass	3	1	False	False
MPP7	True	False	False	False	True	0.07192581174481628	0.09629122807017544	0.685594786822756	no-call	True	-0.003079149469496968	0.004286486486483554	0.9956508236777412	no-call	True	0.1999407430509532	0.4299137142142069	0.01099431463924608	pass	3	1	False	False
PARD3	True	True	False	True	True	0.06228937184800677	0.23681929824561399	0.29553120904779173	no-call	True	0.07955500963116911	0.04105135135135107	0.8749417170117137	no-call	True	0.2146759710472626	0.19453096487869992	0.019770352884973884	pass	3	1	False	False
PARD6A	True	True	False	False	True	0.23623031937148375	0.4680263157894736	0.027593759860384922	pass	True	-0.1719015567184407	-0.3267027027027014	0.26200972869402467	no-call	True	0.07833716684209843	0.11169355081889609	0.22634939951462812	no-call	3	1	False	False
POF1B	True	False	False	False	True	-0.009005022127194073	-0.10634385964912277	0.6773050752849024	no-call	True	0.21001332194296743	1.019345945945946	0.10750186053844868	no-call	True	0.1596418593167258	0.5682340494889733	0.03509318119223576	pass	3	1	False	False
RAP2B	True	False	False	False	True	-0.10200885087762916	-0.1647157894736842	0.49882956104794585	no-call	True	0.3029058375820428	0.4458999999999982	0.020552101458104335	pass	True	0.042597949397684305	0.0779140951863404	0.3413509403739066	no-call	3	1	False	False
STRN	True	False	False	False	True	-0.31434786932524494	-0.5726614035087719	0.005152156024962699	no-call	True	0.19000247981196589	0.2213243243243248	0.05068158827510419	no-call	True	0.1581635543773472	0.13405119404846388	0.01038800576791664	pass	3	1	False	False
TJP1	True	False	False	False	True	-0.2729749888120929	-0.5677824561403509	0.008320704105272882	no-call	True	0.2821342832269898	0.30210810810810607	0.02811265317860477	pass	True	0.09178745468012944	0.01879325841523105	0.8172660842153889	no-call	3	1	False	False
TJP2	True	False	False	False	True	-0.12118740987519269	-0.38963157894736844	0.0887148155941045	no-call	True	0.34114947318475475	0.42426756756756845	0.0038639027185813136	pass	True	0.05387028445934531	0.0739747745974082	0.5066733475816549	no-call	3	1	False	False
VAPA	True	False	False	False	True	0.3629496065273478	0.7671912280701754	0.0002486568095867916	pass	True	-0.14090018690106468	-0.182478378378379	0.3111009380939875	no-call	True	0.07377438176549322	0.03269546181667593	0.5187040684352452	no-call	3	1	False	False
YBX3	True	False	False	False	True	0.2597260205857491	0.5742228070175439	0.007602497650334466	pass	True	-0.20084670527417367	-0.16758918918919186	0.4336281434536541	no-call	True	-0.07918547684950554	-0.0633507147758845	0.4682052204372627	no-call	3	1	False	False
AMOTL1	True	False	False	False	True	-0.4657541058091658	-1.080982456140351	9.190437180253912e-08	no-call	True	0.019181522286663727	-0.04108648648648483	0.930924463800989	no-call	True	-0.08253401426844958	-0.1015715471176506	0.4388589790992304	no-call	3	0	False	False
AOC1	True	False	False	False	True	-0.13154633228881465	-0.1971824561403509	0.4179841930299711	no-call	True	-0.05570420328712231	-0.2760999999999987	0.7777577157606653	no-call	True	0.02382181331462061	0.14720305519820798	0.7174522070155253	no-call	3	0	False	False
APC	True	False	False	False	True	-0.4288414479896458	-0.9484403508771929	5.821048366769075e-07	no-call	True	0.11398448654324017	0.07159729729729847	0.5637564251262857	no-call	True	-0.12024118617857654	-0.07101721358841573	0.39087060776030974	no-call	3	0	False	False
BVES	True	False	False	False	True	-0.4283675600417682	-0.9103140350877192	1.3205259429029443e-05	no-call	True	-0.12120064558594137	-0.17301081081081016	0.46493839742732657	no-call	True	-0.33063454316270974	-0.37065054524506014	0.0001060660586136813	no-call	3	0	False	False
CDH5	True	False	False	False	True	-0.44760109368084183	-1.0785245614035088	3.1973549452270296e-07	no-call	True	-0.18229955643977602	-0.260272972972972	0.2378186566854447	no-call	True	-0.2761930009226411	-0.6149251429007041	5.606683468740321e-05	no-call	3	0	False	False
CLDN10	True	True	False	False	True	-0.006279042593644276	0.11793859649122804	0.6096938222654943	no-call	True	-0.009521490978928291	0.06602972972972854	0.9919349387774242	no-call	True	-0.055107403220147365	-0.3783644875748209	0.4426131798763926	no-call	3	0	False	False
CLDN11	True	True	False	False	True	-0.3873889832610907	-0.8220052631578947	9.980941505149473e-05	no-call	True	0.11458699631222556	0.3059027027027028	0.4051893543299227	no-call	True	-0.1667963562174314	-0.4274364976641962	0.04617916888366022	no-call	3	0	False	False
CLDN14	True	True	False	False	True	-0.09010210558176061	-0.1666263157894737	0.47999087822413916	no-call	True	-0.03607551423018527	-0.06512702702702766	0.9484493658790477	no-call	True	-0.16803035619144152	-0.2342447191283643	0.02945206763362237	no-call	3	0	False	False
CLDN15	True	True	False	False	True	-0.14613892894435881	-0.3157175438596492	0.17868924853540358	no-call	True	0.06804364928211468	0.11764054054053918	0.511402115376411	no-call	True	0.0073411043104232455	0.026627234925911125	0.7684843211208706	no-call	3	0	False	False
CLDN17	True	True	False	False	True	0.05258006636467792	0.23027719298245614	0.29553120904779173	no-call	True	0.06787129453902402	0.019662162162162163	0.5012598519573666	no-call	True	-0.042699829766220936	-0.12759072742874888	0.5187040684352452	no-call	3	0	False	False
CLDN18	True	True	False	False	True	-0.22149583654213204	-0.5829719298245614	0.008320704105272882	no-call	True	0.09902708652544621	0.554345945945947	0.44327719156583356	no-call	True	-0.004806570244175016	-0.4132006771619867	0.5126688039629895	no-call	3	0	False	False
CLDN19	True	True	False	False	True	-0.11668967084154017	-0.18637192982456138	0.4470253459884252	no-call	True	-0.18328377991566508	-0.2387054054054052	0.33071047375619766	no-call	True	0.03443608436318272	0.02464213006926652	0.8651722451228022	no-call	3	0	False	False
CLDN2	True	True	False	False	True	-0.06472328576400975	-0.2859	0.2391288676339027	no-call	True	0.0788860912435197	0.7269594594594588	0.453916687781877	no-call	True	-0.17884215040349305	-1.1658796702845322	0.0016013190799380461	no-call	3	0	False	False
CLDN20	True	True	False	False	True	-0.03709041963749664	0.03652631578947372	0.8979537640884578	no-call	True	-0.012704309231394519	0.0018432432432433643	0.9956508236777412	no-call	True	0.07297597234675711	0.1051960440909383	0.5468664688715178	no-call	3	0	False	False
CLDN22	True	True	False	False	True	-0.07106481009544507	-0.15655263157894736	0.4814853236539179	no-call	True				no-call	False				absent	2	0	False	False
CLDN24	True	False	False	False	True	-0.08769859002786297	-0.22413508771929827	0.29348866086009623	no-call	True	0.03141842772683843	0.21989459459459448	0.5230213954683149	no-call	False				absent	2	0	False	False
CLDN25	True	False	False	False	True	0.02790323763367432	0.2009719298245613	0.4213523302166449	no-call	True	0.06728021237224366	0.013283783783783795	0.9770088170530649	no-call	False				absent	2	0	False	False
CLDN34	True	False	False	False	True	0.004511090653247185	-0.03509649122807019	0.8979537640884578	no-call	True	0.01012015083005128	0.15102972972972983	0.7079096486060431	no-call	False				absent	2	0	False	False
CLDN5	True	True	False	False	True	-0.15874541139862522	-0.3684421052631579	0.11121014502159941	no-call	True	-0.11163082167323479	-0.3272405405405383	0.4033320743452749	no-call	True	-0.2711301703637285	-0.8058369357753854	5.973670172685753e-05	no-call	3	0	False	False
