gene	present_after_collapse
LCP2	True
LSP1	True
FYB	True
PLEK	True
HCK	True
IL10RA	True
LILRB1	True
NCKAP1L	True
LAIR1	True
NCF2	True
CYBB	True
PTPRC	True
IL7R	True
LAPTM5	True
CD53	True
EVI2B	True
SLA	True
ITGB2	True
GIMAP4	True
MYO1F	True
HCLS1	True
MNDA	True
IL2RG	True
CD48	True
AOAH	True
CCL5	True
LTB	True
GMFG	True
GIMAP6	True
GZMK	True
LST1	True
GPR65	True
LILRB2	True
WIPF1	True
CD37	True
BIN2	True
FCER1G	True
IKZF1	True
TYROBP	True
FGL2	True
FLI1	True
IRF8	True
ARHGAP15	False
SH2B3	True
TNFRSF1B	True
DOCK2	True
CD2	True
ARHGEF6	True
CORO1A	True
LY96	True
LYZ	True
ITGAL	True
TNFAIP3	True
RNASE6	True
TGFB1	True
PSTPIP1	True
CST7	True
RGS1	True
FGR	True
SELL	True
MICAL1	True
TRAF3IP3	True
ITGA4	True
MAFB	True
ARHGDIB	True
IL4R	True
RHOH	True
HLA-DPA1	True
NKG7	True
NCF4	True
LPXN	True
ITK	True
SELPLG	True
HLA-DPB1	True
CD3D	True
CD300A	True
IL2RB	True
ADCY7	True
PTGER4	True
SRGN	True
CD247	True
CCR7	True
MSN	True
ALOX5AP	True
PTGER2	True
RAC2	True
GBP2	True
VAV1	True
CLEC2B	True
P2RY14	True
NFKBIA	True
S100A9	True
IFI30	False
MFSD1	True
RASSF2	True
TPP1	True
RHOG	True
CLEC4A	True
GZMB	True
PVRIG	True
S100A8	True
CASP1	True
BCL2A1	True
HLA-E	True
KLRB1	True
GNLY	True
RAB27A	True
IL18RAP	True
TPST2	True
EMP3	True
GMIP	True
LCK	True
IL32	True
PTPRCAP	True
LGALS9	True
CCDC69	True
SAMHD1	True
TAP1	True
GBP1	True
CTSS	True
GZMH	True
ADAM8	True
GLRX	True
PRF1	True
CD69	True
HLA-B	True
HLA-DMA	True
CD74	True
KLRK1	False
PTPRE	True
HLA-DRA	True
VNN2	True
TCIRG1	True
RABGAP1L	True
CSTA	True
ZAP70	True
HLA-F	True
HLA-G	True
CD52	True
CD302	False
CD27	True
