cohort	pair	n	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	verdict_crude	verdict_adj	n_genes_in_score	genes_used	present	note
LUAD_adenocarcinoma	CLDN4 vs CD8A	127	-0.14952427821522307	0.09337864167692961	-0.3266705329627985	0.03164709878436908	-0.03905147287889117	0.6641804877304635	NO_EVIDENCE	NO_EVIDENCE	1	CD8A	True	
LUAD_adenocarcinoma	CLDN4 vs CD274	127	-0.0764904386951631	0.39269861924050303	-0.24692080548651935	0.10477808138373244	-0.029500226284758867	0.7429794098374342	NO_EVIDENCE	NO_EVIDENCE	1	CD274	True	
LUAD_adenocarcinoma	CLDN4 vs ImmuneScore	127	-0.19310672103487062	0.029614956336610664	-0.36483455660538056	-0.006991095725943417	-0.045962489222727616	0.6093118180657551	HOLDS	NO_EVIDENCE	137	LCP2,LSP1,FYB,PLEK,HCK,IL10RA,LILRB1,NCKAP1L,LAIR1,NCF2,CYBB,PTPRC,IL7R,LAPTM5,CD53,EVI2B,SLA,ITGB2,GIMAP4,MYO1F,HCLS1,MNDA,IL2RG,CD48,AOAH,CCL5,LTB,GMFG,GIMAP6,GZMK,LST1,GPR65,LILRB2,WIPF1,CD37,BIN2,FCER1G,IKZF1,TYROBP,FGL2,FLI1,IRF8,SH2B3,TNFRSF1B,DOCK2,CD2,ARHGEF6,CORO1A,LY96,LYZ,ITGAL,TNFAIP3,RNASE6,TGFB1,PSTPIP1,CST7,RGS1,FGR,SELL,MICAL1,TRAF3IP3,ITGA4,MAFB,ARHGDIB,IL4R,RHOH,HLA-DPA1,NKG7,NCF4,LPXN,ITK,SELPLG,HLA-DPB1,CD3D,CD300A,IL2RB,ADCY7,PTGER4,SRGN,CD247,CCR7,MSN,ALOX5AP,PTGER2,RAC2,GBP2,VAV1,CLEC2B,P2RY14,NFKBIA,S100A9,MFSD1,RASSF2,TPP1,RHOG,CLEC4A,GZMB,PVRIG,S100A8,CASP1,BCL2A1,HLA-E,KLRB1,GNLY,RAB27A,IL18RAP,TPST2,EMP3,GMIP,LCK,IL32,PTPRCAP,LGALS9,CCDC69,SAMHD1,TAP1,GBP1,CTSS,GZMH,ADAM8,GLRX,PRF1,CD69,HLA-B,HLA-DMA,CD74,PTPRE,HLA-DRA,VNN2,TCIRG1,RABGAP1L,CSTA,ZAP70,HLA-F,HLA-G,CD52,CD27	True	
LUAD_adenocarcinoma	CLDN4 vs TACSTD2	127	0.46187195350581167	4.607478504637215e-08	0.29925633460542933	0.6061919280344802	0.2867494063809964	0.0011326542339297864	OPPOSITE	OPPOSITE	1	TACSTD2	True	companion
LUAD_adenocarcinoma	CLDN4 vs epithelial mean-z	127	0.5430317304086989	4.229297880980715e-11	0.3926399151138807	0.6702231108235414			OPPOSITE	NO_EVIDENCE	6	EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7	True	companion
LUSC_squamous_extra	CLDN4 vs CD8A	42	-0.23976987278178433	0.12616551838164347	-0.5194490937399182	0.12104153713706824	-0.18186465847900177	0.25511593151911394	NO_EVIDENCE	NO_EVIDENCE	1	CD8A	True	
LUSC_squamous_extra	CLDN4 vs CD274	42	0.0501580098857467	0.7524201638515108	-0.2612093490399291	0.3439533274961571	-0.007704368388596398	0.9618699983364116	NO_EVIDENCE	NO_EVIDENCE	1	CD274	True	
LUSC_squamous_extra	CLDN4 vs ImmuneScore	42	-0.23215298598168704	0.13902918401810835	-0.51828580337548	0.10544633794297087	-0.0626792857454101	0.69704330844367	NO_EVIDENCE	NO_EVIDENCE	137	LCP2,LSP1,FYB,PLEK,HCK,IL10RA,LILRB1,NCKAP1L,LAIR1,NCF2,CYBB,PTPRC,IL7R,LAPTM5,CD53,EVI2B,SLA,ITGB2,GIMAP4,MYO1F,HCLS1,MNDA,IL2RG,CD48,AOAH,CCL5,LTB,GMFG,GIMAP6,GZMK,LST1,GPR65,LILRB2,WIPF1,CD37,BIN2,FCER1G,IKZF1,TYROBP,FGL2,FLI1,IRF8,SH2B3,TNFRSF1B,DOCK2,CD2,ARHGEF6,CORO1A,LY96,LYZ,ITGAL,TNFAIP3,RNASE6,TGFB1,PSTPIP1,CST7,RGS1,FGR,SELL,MICAL1,TRAF3IP3,ITGA4,MAFB,ARHGDIB,IL4R,RHOH,HLA-DPA1,NKG7,NCF4,LPXN,ITK,SELPLG,HLA-DPB1,CD3D,CD300A,IL2RB,ADCY7,PTGER4,SRGN,CD247,CCR7,MSN,ALOX5AP,PTGER2,RAC2,GBP2,VAV1,CLEC2B,P2RY14,NFKBIA,S100A9,MFSD1,RASSF2,TPP1,RHOG,CLEC4A,GZMB,PVRIG,S100A8,CASP1,BCL2A1,HLA-E,KLRB1,GNLY,RAB27A,IL18RAP,TPST2,EMP3,GMIP,LCK,IL32,PTPRCAP,LGALS9,CCDC69,SAMHD1,TAP1,GBP1,CTSS,GZMH,ADAM8,GLRX,PRF1,CD69,HLA-B,HLA-DMA,CD74,PTPRE,HLA-DRA,VNN2,TCIRG1,RABGAP1L,CSTA,ZAP70,HLA-F,HLA-G,CD52,CD27	True	
LUSC_squamous_extra	CLDN4 vs TACSTD2	42	0.2261567133943765	0.14982025274017316	-0.12381296466918519	0.5434744222972011	0.3623618501475982	0.01989921998655339	NO_EVIDENCE	OPPOSITE	1	TACSTD2	True	companion
LUSC_squamous_extra	CLDN4 vs epithelial mean-z	42	0.5823677173648814	5.2087097175879286e-05	0.30285870351210353	0.7832944396923965			OPPOSITE	NO_EVIDENCE	6	EPCAM,KRT8,KRT18,KRT19,CDH1,KRT7	True	companion
all_NSCLC_mixed	CLDN4 vs CD8A	181	-0.1181976402970878	0.11302773071314735	-0.26045351396779187	0.02773198729581297	-0.03710896963631776	0.6209030098928624	NO_EVIDENCE	NO_EVIDENCE	1	CD8A	True	
all_NSCLC_mixed	CLDN4 vs CD274	181	-0.10234958411753992	0.1703636634719173	-0.24887633636614567	0.041495199396498234	-0.06171609545355604	0.41049393775200366	NO_EVIDENCE	NO_EVIDENCE	1	CD274	True	
