histology	n
adenocarcinoma	127
squamous cell carcinoma	42
large cell carcinoma	7
adenosquamous carcinoma	2
NSClarge cell carcinoma-mixed	1
NSCLC-favor adenocarcinoma	1
squamous cell carcinoma X2	1
