gene	named_probe	named_in_matrix	n_probes_mapped	kept_maxmean_probe	kept_is_named	named_annot
CLDN4	201428_at	True	2	201428_at	True	CLDN4
CD8A	205758_at	True	1	205758_at	True	CD8A
CD274	223834_at	True	2	227458_at	False	CD274
TACSTD2	202286_s_at	True	4	202286_s_at	True	TACSTD2
