cohort	endpoint	n_Q4	n_Q1	median_Q4	median_Q1	U	p	rank_biserial_Q4_minus_Q1
LUAD_adenocarcinoma	CD8A	32	32	7.3526339705	7.538971942	409.0	0.1687339493267871	-0.201171875
LUAD_adenocarcinoma	CD274	32	32	5.5876817905	6.003670992	457.0	0.46430292722293665	-0.107421875
LUAD_adenocarcinoma	ImmuneScore	32	32	-0.11787748265571546	0.26059797919374267	348.0	0.028139241926435313	-0.3203125
LUSC_squamous_extra	CD8A	11	11	6.898136541	7.310918116	40.0	0.18908180596451596	-0.33884297520661155
LUSC_squamous_extra	CD274	11	11	6.278900372	5.64525547	80.0	0.21216467995625798	0.3223140495867769
LUSC_squamous_extra	ImmuneScore	11	11	-0.2153494372141989	-0.0009315495377737476	41.0	0.21216467995625798	-0.3223140495867769
all_NSCLC_mixed	CD8A	45	46	7.191740912	7.506823051	803.0	0.06611416255981353	-0.22415458937198063
all_NSCLC_mixed	CD274	45	46	5.687007882	6.1878777095	826.0	0.0979093492984928	-0.20193236714975848
all_NSCLC_mixed	ImmuneScore	45	46	-0.10003362381159107	0.17674836342439948	829.0	0.10283533046585233	-0.19903381642512075
