dataset	unit_id	compartment	slice	n_cells	median_lib	mean_lib	gene	sum_log1p	n_pos	sum_log1p_pos
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	CCR7	56.625294216247624	32	56.625294216247624
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	CD3D	1463.845083784473	530	1463.8450837844732
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	CD3E	1094.4310769683816	482	1094.4310769683816
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	CD4	25.26696954224916	16	25.266969542249157
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	CD8A	817.043244893058	361	817.043244893058
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	CD8B	691.8009559979381	320	691.8009559979382
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	CLDN4	28.237115071591074	16	28.237115071591074
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	CTLA4	168.3881695358236	89	168.3881695358236
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	CX3CR1	21.412272781352787	12	21.412272781352787
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	CXCL13	176.39780982740757	81	176.3978098274076
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	ENTPD1	16.352450326628635	11	16.352450326628635
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	EPCAM	40.73974149732446	23	40.73974149732445
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	FGFBP2	108.35120212241058	50	108.3512021224106
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	GNLY	507.83205335385236	163	507.8320533538524
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	GZMA	1473.3685603916024	518	1473.3685603916024
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	GZMB	537.8489995982798	224	537.8489995982798
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	GZMH	1061.1156114106661	393	1061.115611410666
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	HAVCR2	122.55814464900766	64	122.55814464900764
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	IFNG	685.1875206516172	270	685.1875206516171
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	IL7R	126.84519261635815	67	126.84519261635816
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	KLRD1	169.9922555417924	79	169.99225554179242
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	KLRF1	38.24548981696478	20	38.24548981696478
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	KRT18	101.6330964828869	58	101.6330964828869
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	KRT19	72.95026223149475	43	72.95026223149475
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	KRT8	54.30213768895703	32	54.30213768895703
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	LAG3	345.02896986998906	180	345.02896986998906
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	LEF1	55.325877330542674	35	55.32587733054267
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	NCAM1	1.7524497360579283	1	1.7524497360579283
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	NCR1	3.3423656346425963	2	3.3423656346425963
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	NKG7	1604.0774875295738	511	1604.077487529574
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	PDCD1	194.35605721295465	105	194.35605721295468
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	PRF1	408.49274346009906	208	408.49274346009906
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	PTPRC	850.8349113282568	401	850.8349113282568
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	SELL	92.94828763426648	52	92.94828763426648
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	TCF7	111.67044948576462	65	111.67044948576462
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	TIGIT	497.39752574972596	245	497.397525749726
GSE131907	BRONCHO_58	cd8	ALL	553	2155.0	2257.8933092224233	TOX	133.21804445058433	76	133.21804445058433
GSE131907	BRONCHO_58	cd8	UMI500	553	2155.0	2257.8933092224233	CCR7	56.625294216247624	32	56.625294216247624
GSE131907	BRONCHO_58	cd8	UMI500	553	2155.0	2257.8933092224233	CD3D	1463.845083784473	530	1463.8450837844732
GSE131907	BRONCHO_58	cd8	UMI500	553	2155.0	2257.8933092224233	CD3E	1094.4310769683816	482	1094.4310769683816
GSE131907	BRONCHO_58	cd8	UMI500	553	2155.0	2257.8933092224233	CD4	25.26696954224916	16	25.266969542249157
GSE131907	BRONCHO_58	cd8	UMI500	553	2155.0	2257.8933092224233	CD8A	817.043244893058	361	817.043244893058
