dataset	unit_id	n_cells_matrix	n_malignant	n_cldn4_pos	mal_CLDN4_pct_recomputed	mal_CLDN4_mean_log1p_raw
GSE123902	LX653	392	145	104	71.72413793103448	1.2524068271342224
GSE123902	LX661	4566	117	69	58.97435897435897	0.8576085684228482
GSE123902	LX666	1316	786	528	67.17557251908397	0.9923952117887153
GSE123902	LX675	3435	618	194	31.3915857605178	0.582960587751478
GSE123902	LX676	4014	147	62	42.17687074829932	0.831390019521496
GSE123902	LX255B	3886	228	80	35.08771929824562	0.4488016514639581
GSE123902	LX679	2017	497	215	43.25955734406438	0.5643712240448416
GSE123902	LX680	941	258	189	73.25581395348837	1.8590778846234401
GSE123902	LX681	1630	1207	764	63.29743164871582	1.1775350457817828
GSE123902	LX682	4092	421	79	18.764845605700714	0.46131823402558575
GSE123902	LX684	378	173	126	72.83236994219654	0.9118972941270771
GSE123902	LX699	2671	46	7	15.217391304347826	0.31411776431478144
GSE123902	LX701	788	90	10	11.11111111111111	0.1116109679423314
