dataset	unit_id	compartment	slice	n_cells	median_lib	mean_lib	gene	sum_log1p	n_pos	sum_log1p_pos
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	SELL	218.1396059184553	155	218.1396059184553
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	PTPRC	4971.967974586846	2153	4971.967974586846
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	EPCAM	135.20443655837346	99	135.20443655837346
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	GNLY	2547.2872886933064	802	2547.2872886933064
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	CD8A	3763.8010899868987	1974	3763.8010899868987
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	CD8B	2493.0302917787467	1383	2493.0302917787467
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	CTLA4	1180.9596020052402	687	1180.9596020052404
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	PDCD1	1070.697810924867	634	1070.6978109248673
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	CX3CR1	17.17258758588971	14	17.17258758588971
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	TIGIT	1734.5592712129953	928	1734.5592712129953
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	FGFBP2	208.80253917693193	106	208.8025391769319
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	CXCL13	1928.5370347254482	749	1928.5370347254482
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	LEF1	105.38364152902575	83	105.38364152902575
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	IL7R	2583.786203747405	1108	2583.786203747405
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	GZMA	4578.810589427251	1859	4578.81058942725
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	TCF7	389.57645536909064	265	389.5764553690906
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	HAVCR2	488.02391449244004	324	488.0239144924401
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	CLDN4	218.97416775810382	138	218.97416775810382
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	TOX	534.4744213403781	356	534.4744213403781
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	NCAM1	27.41638594378076	21	27.416385943780767
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	CD3E	3550.7600099055876	1804	3550.760009905587
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	CD3D	5381.308705617515	2271	5381.308705617515
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	PRF1	1477.7584817412935	818	1477.7584817412935
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	ENTPD1	377.2977505350459	264	377.2977505350459
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	LAG3	1363.0810610863243	797	1363.081061086324
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	CD4	97.67396909966185	102	97.67396909966185
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	KLRF1	78.26315713222246	55	78.26315713222247
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	KLRD1	1785.718671819744	956	1785.718671819744
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	KRT8	214.64488800991649	137	214.64488800991649
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	KRT18	269.3082194649171	173	269.3082194649171
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	IFNG	1423.3085207364281	709	1423.3085207364281
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	GZMH	2851.3077214719933	1307	2851.3077214719933
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	GZMB	4011.8183103490146	1560	4011.8183103490146
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	CCR7	771.7538753901085	456	771.7538753901085
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	KRT19	302.5963661993095	178	302.5963661993095
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	NKG7	5727.1975141850835	2116	5727.1975141850835
GSE189357	TD1	cd8	ALL	2471	2293.0	3770.5147713476326	NCR1	57.62281567865	41	57.62281567865
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	SELL	218.1396059184553	155	218.1396059184553
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	PTPRC	4971.967974586846	2153	4971.967974586846
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	EPCAM	135.20443655837346	99	135.20443655837346
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	GNLY	2547.2872886933064	802	2547.2872886933064
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	CD8A	3763.8010899868987	1974	3763.8010899868987
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	CD8B	2493.0302917787467	1383	2493.0302917787467
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	CTLA4	1180.9596020052402	687	1180.9596020052404
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	PDCD1	1070.697810924867	634	1070.6978109248673
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	CX3CR1	17.17258758588971	14	17.17258758588971
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	TIGIT	1734.5592712129953	928	1734.5592712129953
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	FGFBP2	208.80253917693193	106	208.8025391769319
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	CXCL13	1928.5370347254482	749	1928.5370347254482
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	LEF1	105.38364152902575	83	105.38364152902575
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	IL7R	2583.786203747405	1108	2583.786203747405
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	GZMA	4578.810589427251	1859	4578.81058942725
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	TCF7	389.57645536909064	265	389.5764553690906
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	HAVCR2	488.02391449244004	324	488.0239144924401
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	CLDN4	218.97416775810382	138	218.97416775810382
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	TOX	534.4744213403781	356	534.4744213403781
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	NCAM1	27.41638594378076	21	27.416385943780767
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	CD3E	3550.7600099055876	1804	3550.760009905587
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	CD3D	5381.308705617515	2271	5381.308705617515
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	PRF1	1477.7584817412935	818	1477.7584817412935
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	ENTPD1	377.2977505350459	264	377.2977505350459
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	LAG3	1363.0810610863243	797	1363.081061086324
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	CD4	97.67396909966185	102	97.67396909966185
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	KLRF1	78.26315713222246	55	78.26315713222247
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	KLRD1	1785.718671819744	956	1785.718671819744
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	KRT8	214.64488800991649	137	214.64488800991649
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	KRT18	269.3082194649171	173	269.3082194649171
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	IFNG	1423.3085207364281	709	1423.3085207364281
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	GZMH	2851.3077214719933	1307	2851.3077214719933
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	GZMB	4011.8183103490146	1560	4011.8183103490146
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	CCR7	771.7538753901085	456	771.7538753901085
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	KRT19	302.5963661993095	178	302.5963661993095
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	NKG7	5727.1975141850835	2116	5727.1975141850835
GSE189357	TD1	cd8	UMI500	2471	2293.0	3770.5147713476326	NCR1	57.62281567865	41	57.62281567865
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	SELL	51.8218606269873	44	51.8218606269873
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	PTPRC	1622.901205459802	723	1622.901205459802
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	EPCAM	50.1357266955876	35	50.1357266955876
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	GNLY	2547.2872886933064	802	2547.2872886933064
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	CD8A	1206.732702052082	661	1206.7327020520818
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	CD8B	749.9978261830552	433	749.9978261830552
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	CTLA4	314.96105235021395	197	314.96105235021395
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	PDCD1	275.170676656639	179	275.170676656639
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	CX3CR1	11.394747101501952	10	11.39474710150195
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	TIGIT	498.8837299268497	288	498.8837299268497
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	FGFBP2	145.6509712789341	73	145.65097127893407
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	CXCL13	440.5732277337414	184	440.5732277337415
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	LEF1	22.021616228702268	23	22.021616228702268
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	IL7R	995.2990332480465	427	995.2990332480465
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	GZMA	1450.4812120789547	605	1450.4812120789547
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	TCF7	119.23529480084137	88	119.23529480084139
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	HAVCR2	166.99980129859898	117	166.99980129859898
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	CLDN4	84.85237913562977	54	84.85237913562976
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	TOX	140.8118167522622	101	140.81181675226222
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	NCAM1	24.322458768271236	17	24.32245876827124
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	CD3E	1201.4145908470637	626	1201.4145908470637
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	CD3D	1702.7669216974314	738	1702.7669216974314
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	PRF1	648.0518474334924	353	648.0518474334925
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	ENTPD1	120.2528491405328	91	120.2528491405328
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	LAG3	481.41125018827506	302	481.41125018827506
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	CD4	35.3689258726058	39	35.3689258726058
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	KLRF1	56.2208595627841	39	56.2208595627841
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	KLRD1	869.7855465009285	473	869.7855465009285
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	KRT8	85.50558257540338	58	85.50558257540337
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	KRT18	102.5826293271356	65	102.58262932713559
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	IFNG	448.4877039349767	234	448.48770393497665
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	GZMH	1019.1974186987961	484	1019.1974186987961
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	GZMB	1659.7878103786825	627	1659.7878103786825
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	CCR7	157.5859880197004	111	157.5859880197004
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	KRT19	108.95333546025839	64	108.95333546025839
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	NKG7	1988.4146958079605	721	1988.4146958079602
GSE189357	TD1	cd8	GNLY_POS	802	2556.0	4488.339152119701	NCR1	28.497979333763382	23	28.49797933376338
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	SELL	64.78418323978605	41	64.78418323978603
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	PTPRC	1473.9627722684918	641	1473.9627722684918
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	EPCAM	30.635517138013576	19	30.635517138013572
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	GNLY	2331.914451317656	659	2331.914451317656
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	CD8A	0.0	0	0.0
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	CD8B	0.0	0	0.0
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	CTLA4	35.27381779327938	22	35.27381779327938
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	PDCD1	46.848309672523726	27	46.84830967252374
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	CX3CR1	96.6675939427883	56	96.6675939427883
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	TIGIT	242.23337253902653	130	242.2333725390265
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	FGFBP2	716.7306711592256	275	716.7306711592256
GSE189357	TD1	nk	ALL	822	1929.0	3693.6447688564476	CXCL13	14.473313244918716	9	14.473313244918714
