dataset	unit_id	compartment	slice	n_cells	median_lib	mean_lib	gene	sum_log1p	n_pos	sum_log1p_pos
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	CLDN4	0.0	0	0.0
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	EPCAM	1.6527254172162242	1	1.6527254172162242
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	KRT8	4.395879965980474	3	4.395879965980474
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	KRT18	9.645414109357889	10	9.645414109357889
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	KRT19	2.8809881426987953	2	2.8809881426987953
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	PTPRC	1344.1255071419819	515	1344.1255071419816
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	CD3D	914.0593904312211	481	914.059390431221
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	CD3E	1214.812611048193	498	1214.8126110481933
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	CD8A	879.4731327848449	373	879.4731327848448
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	CD8B	585.0136465918678	318	585.0136465918677
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	CD4	14.37537847321283	14	14.375378473212828
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	KLRD1	500.3239541205038	306	500.3239541205038
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	NCR1	31.3930963214315	31	31.3930963214315
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	KLRF1	64.48049417708687	58	64.48049417708687
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	NCAM1	24.545540537663925	25	24.545540537663925
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	GNLY	584.75621758889	193	584.75621758889
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	NKG7	1400.5072863759933	452	1400.507286375993
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	GZMB	456.4486284449034	228	456.4486284449034
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	PRF1	616.8557245208641	358	616.8557245208642
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	IFNG	262.7655657329883	176	262.7655657329883
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	GZMA	862.1756242766642	402	862.1756242766642
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	GZMH	623.604226302083	299	623.604226302083
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	PDCD1	48.820375268467004	43	48.82037526846702
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	HAVCR2	12.743724094268813	13	12.743724094268813
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	LAG3	300.300983237865	264	300.300983237865
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	TIGIT	161.5904795558389	138	161.5904795558389
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	TOX	155.62996031996073	140	155.6299603199608
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	CTLA4	40.15395294322656	39	40.153952943226564
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	ENTPD1	2.9852599711626064	3	2.9852599711626064
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	CXCL13	2.349877822931931	2	2.349877822931931
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	IL7R	706.0360449100133	327	706.0360449100133
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	TCF7	492.5350477030744	325	492.5350477030743
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	CCR7	200.07957676906568	141	200.07957676906568
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	SELL	332.29539155862693	202	332.295391558627
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	LEF1	221.17850415840851	168	221.17850415840851
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	CX3CR1	163.642323080105	132	163.64232308010497
GSE205335	P1063	cd8	ALL	524	7309.0	7228.757633587787	FGFBP2	337.4858034652738	185	337.4858034652739
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	CLDN4	0.0	0	0.0
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	EPCAM	1.6527254172162242	1	1.6527254172162242
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	KRT8	4.395879965980474	3	4.395879965980474
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	KRT18	9.645414109357889	10	9.645414109357889
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	KRT19	2.8809881426987953	2	2.8809881426987953
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	PTPRC	1344.1255071419819	515	1344.1255071419816
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	CD3D	914.0593904312211	481	914.059390431221
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	CD3E	1214.812611048193	498	1214.8126110481933
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	CD8A	879.4731327848449	373	879.4731327848448
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	CD8B	585.0136465918678	318	585.0136465918677
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	CD4	14.37537847321283	14	14.375378473212828
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	KLRD1	500.3239541205038	306	500.3239541205038
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	NCR1	31.3930963214315	31	31.3930963214315
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	KLRF1	64.48049417708687	58	64.48049417708687
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	NCAM1	24.545540537663925	25	24.545540537663925
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	GNLY	584.75621758889	193	584.75621758889
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	NKG7	1400.5072863759933	452	1400.507286375993
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	GZMB	456.4486284449034	228	456.4486284449034
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	PRF1	616.8557245208641	358	616.8557245208642
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	IFNG	262.7655657329883	176	262.7655657329883
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	GZMA	862.1756242766642	402	862.1756242766642
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	GZMH	623.604226302083	299	623.604226302083
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	PDCD1	48.820375268467004	43	48.82037526846702
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	HAVCR2	12.743724094268813	13	12.743724094268813
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	LAG3	300.300983237865	264	300.300983237865
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	TIGIT	161.5904795558389	138	161.5904795558389
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	TOX	155.62996031996073	140	155.6299603199608
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	CTLA4	40.15395294322656	39	40.153952943226564
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	ENTPD1	2.9852599711626064	3	2.9852599711626064
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	CXCL13	2.349877822931931	2	2.349877822931931
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	IL7R	706.0360449100133	327	706.0360449100133
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	TCF7	492.5350477030744	325	492.5350477030743
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	CCR7	200.07957676906568	141	200.07957676906568
GSE205335	P1063	cd8	UMI500	524	7309.0	7228.757633587787	SELL	332.29539155862693	202	332.295391558627
