label	dropped	rho	p	ci_lo	ci_hi	I2	k	N
cd8|effector_cosmx	GSE123902	0.0886559709255663	0.7832719844032019	-0.49639924737150787	0.6183290494039377	0.7398509311880881	3	50
cd8|effector_cosmx	GSE131907	0.13837665565288718	0.7061914844228696	-0.5261693609779857	0.6979916733412515	0.7407378137115574	3	42
cd8|effector_cosmx	GSE205335	0.22967087240458167	0.421411666790492	-0.32411524815011933	0.6662239939585619	0.5647829511351143	3	39
cd8|effector_cosmx	GSE189357	-0.1795887208292803	0.2338290091938534	-0.4466078250037666	0.11680394477185092	0.0	3	52
nk|effector_cosmx	GSE123902	0.07284856492010705	0.6528073226044848	-0.24019038283430835	0.37216327189694465	0.0	3	47
nk|effector_cosmx	GSE131907	0.18947478063882744	0.2855861352100354	-0.15887666106394108	0.4958731560590205	0.0	3	40
nk|effector_cosmx	GSE205335	0.13816155103661884	0.45397063788269676	-0.22119477485728822	0.4644839917386874	0.0	3	38
nk|effector_cosmx	GSE189357	0.16170822184995215	0.3021706006081256	-0.1457181936281783	0.44065512471309837	0.0	3	49
cd8|exhaustion	GSE123902	-0.22530226851471985	0.14215314887100652	-0.4894490237068328	0.07671459143345144	0.0	3	50
cd8|exhaustion	GSE131907	-0.2623083689760941	0.12285320157864249	-0.5439707665379667	0.07247915286736653	0.0	3	42
cd8|exhaustion	GSE205335	-0.09645616008734811	0.5961398104130303	-0.42567481007840774	0.25531329319359963	0.0	3	39
cd8|exhaustion	GSE189357	-0.18668900745181866	0.2154458784210458	-0.4524698474620609	0.10955135429033636	0.0	3	52
nk|exhaustion	GSE123902	-0.11710363804756371	0.46832782145412066	-0.409988469088226	0.1976738099897145	0.0	3	47
nk|exhaustion	GSE131907	-0.13160522968684513	0.46110909378381015	-0.4497600284358878	0.21618765617914146	0.0	3	40
nk|exhaustion	GSE205335	-0.03187293103638057	0.8636740584955883	-0.3763895499901918	0.32038773061102044	0.0	3	38
nk|exhaustion	GSE189357	-0.09210116984820448	0.55911642571678	-0.38188628299188027	0.21417241592503808	0.0	3	49
