dataset	unit_id	compartment	slice	n_cells	median_lib	mean_lib	gene	sum_log1p	n_pos	sum_log1p_pos
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	CLDN4	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	EPCAM	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	KRT8	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	KRT18	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	KRT19	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	PTPRC	10.272682391918075	4	10.272682391918075
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	CD3D	12.938631978265779	6	12.938631978265779
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	CD3E	13.677619489522906	6	13.677619489522906
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	CD8A	12.59349709876576	6	12.59349709876576
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	CD8B	10.151117990666672	4	10.151117990666672
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	CD4	1.983700234470687	1	1.983700234470687
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	KLRD1	7.548342019741512	3	7.548342019741512
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	KLRF1	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	GNLY	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	NKG7	6.518658312483506	3	6.518658312483506
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	GZMB	11.107961445444136	5	11.107961445444136
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	PRF1	5.364112084492728	2	5.364112084492728
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	IFNG	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	GZMA	8.892172884041253	3	8.892172884041253
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	GZMH	2.7269186854065928	1	2.7269186854065928
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	PDCD1	2.7269186854065928	1	2.7269186854065928
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	HAVCR2	2.0616225423999195	1	2.0616225423999195
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	LAG3	1.5148230196055466	1	1.5148230196055466
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	TIGIT	3.8841244930371763	2	3.8841244930371763
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	TOX	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	CTLA4	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	ENTPD1	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	CXCL13	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	IL7R	15.92927127703924	6	15.92927127703924
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	TCF7	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	CCR7	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	SELL	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	LEF1	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	CX3CR1	0.0	0	0.0
GSE123902	LX653	cd8	ALL	7	1595.0	1760.4285714285713	FGFBP2	0.0	0	0.0
GSE123902	LX653	cd8	UMI500	7	1595.0	1760.4285714285713	CLDN4	0.0	0	0.0
GSE123902	LX653	cd8	UMI500	7	1595.0	1760.4285714285713	EPCAM	0.0	0	0.0
GSE123902	LX653	cd8	UMI500	7	1595.0	1760.4285714285713	KRT8	0.0	0	0.0
GSE123902	LX653	cd8	UMI500	7	1595.0	1760.4285714285713	KRT18	0.0	0	0.0
GSE123902	LX653	cd8	UMI500	7	1595.0	1760.4285714285713	KRT19	0.0	0	0.0
