dataset	unit_id	n_cells_matrix	n_malignant	n_cldn4_pos	mal_CLDN4_pct_recomputed	mal_CLDN4_mean_log1p_raw
GSE205335	P1063	890	131	46	35.11450381679389	0.6928500047568636
GSE205335	P1006	2771	1282	951	74.18096723868955	1.4544199416751753
GSE205335	P1119	1747	1222	441	36.08837970540098	0.8679366284287893
GSE205335	P1015	571	291	121	41.580756013745706	1.0137949164303333
GSE205335	P1016	5722	5336	4410	82.64617691154423	1.6930493563274216
GSE205335	P1017	3421	2186	1406	64.31838975297347	1.5546208471745206
GSE205335	P1018	2352	1180	791	67.03389830508475	2.1044393337254506
GSE205335	P1025	1021	980	910	92.85714285714286	2.310694428602225
GSE205335	P1027	3449	1318	1029	78.07283763277694	2.1739978489395124
GSE205335	P1030	668	603	372	61.691542288557216	1.4841073595315695
GSE205335	P1037	3711	3671	3159	86.05284663579405	1.1972718181497537
GSE205335	P1056	2980	2386	1186	49.70662196144174	0.9966856921366045
GSE205335	P1062	796	188	85	45.212765957446805	1.379111871252045
GSE205335	P1072	742	406	239	58.86699507389162	1.472842638181157
GSE205335	P1076	1513	849	504	59.36395759717315	1.306213510413085
GSE205335	P1079	835	543	279	51.38121546961326	1.1764317688232504
GSE205335	P1084	1259	196	170	86.73469387755102	2.981590002184837
GSE205335	P1089	1139	1063	933	87.77046095954844	2.271827725937539
GSE205335	P1090	791	566	216	38.16254416961131	0.7449887665860461
GSE205335	P1115	3820	3769	3350	88.8829928362961	1.3679334731676371
GSE205335	P0031	1961	319	189	59.24764890282132	1.0321074000131345
GSE205335	P4001	650	27	13	48.148148148148145	0.8066909648545527
