dataset	unit_id	mal_CLDN4_pct	cldn4_quartile	n_cd8	n_nk	n_cd8nk	frac_nk
GSE123902	LX255B	35.0877192982456	Q2	104.0	238.0	342.0	0.695906432748538
GSE123902	LX653	71.7241379310345	Q4	7.0	9.0	16.0	0.5625
GSE123902	LX661	58.974358974359	Q3	719.0	262.0	981.0	0.2670744138634047
GSE123902	LX666	67.175572519084	Q3	53.0	44.0	97.0	0.4536082474226804
GSE123902	LX675	31.3915857605178	Q1	268.0	102.0	370.0	0.2756756756756757
GSE123902	LX676	42.1768707482993	Q2	803.0	143.0	946.0	0.1511627906976744
GSE123902	LX679	43.2595573440644	Q2	90.0	113.0	203.0	0.5566502463054187
GSE123902	LX680	73.2558139534884	Q4	85.0	45.0	130.0	0.34615384615384615
GSE123902	LX681	63.2974316487158	Q3	7.0	13.0	20.0	0.65
GSE123902	LX682	18.7648456057007	Q1	828.0	144.0	972.0	0.14814814814814814
GSE123902	LX684	72.8323699421965	Q4	19.0	6.0	25.0	0.24
GSE123902	LX699	15.2173913043478	Q1	1421.0	101.0	1522.0	0.06636005256241786
GSE123902	LX701	11.1111111111111	Q1	17.0	29.0	46.0	0.6304347826086957
GSE131907	BRONCHO_11	80.7881773399015	Q2	155.0	26.0	181.0	0.143646408839779
GSE131907	BRONCHO_58	72.1739130434783	Q2	553.0	133.0	686.0	0.19387755102040816
GSE131907	EBUS_06	71.1635750421585	Q2	170.0	100.0	270.0	0.37037037037037035
GSE131907	EBUS_10	84.4686648501362	Q3	319.0	34.0	353.0	0.09631728045325778
GSE131907	EBUS_12	88.3268482490272	Q3	33.0	22.0	55.0	0.4
GSE131907	EBUS_13	0.265957446808511	Q1	183.0	1.0	184.0	0.005434782608695652
GSE131907	EBUS_15	47.265625	Q1	114.0	151.0	265.0	0.569811320754717
GSE131907	EBUS_19	94.0092165898618	Q4	429.0	250.0	679.0	0.36818851251840945
GSE131907	EBUS_28	96.3362068965517	Q4	41.0	9.0	50.0	0.18
GSE131907	EBUS_49	49.1228070175439	Q1	370.0	331.0	701.0	0.47218259629101283
GSE131907	EBUS_51	85.3696498054475	Q3	95.0	496.0	591.0	0.8392554991539763
GSE131907	NS_02	58.5635359116022	Q1	83.0	432.0	515.0	0.8388349514563107
GSE131907	NS_03	93.1441208993734	Q4	19.0	61.0	80.0	0.7625
GSE131907	NS_04	89.3409275834011	Q4	19.0	19.0	38.0	0.5
GSE131907	NS_06	60.2409638554217	Q1	174.0	114.0	288.0	0.3958333333333333
GSE131907	NS_07	90.407204385278	Q4	6.0	37.0	43.0	0.8604651162790697
GSE131907	NS_12	86.3393810032017	Q3	2.0	8.0	10.0	0.8
GSE131907	NS_13	72.4112426035503	Q2	67.0	55.0	122.0	0.45081967213114754
GSE131907	NS_16	11.3924050632911	Q1	102.0	21.0	123.0	0.17073170731707318
GSE131907	NS_17	88.2194244604317	Q3	68.0	26.0	94.0	0.2765957446808511
GSE131907	NS_19	67.1523178807947	Q2	45.0	53.0	98.0	0.5408163265306123
GSE189357	TD1	56.1299176578225	Q3	2471.0	822.0	3293.0	0.2496204069237777
GSE189357	TD2	35.6255178127589	Q1	2260.0	682.0	2942.0	0.2318150917743032
GSE189357	TD3	48.0421686746988	Q3	1430.0	1268.0	2698.0	0.4699777613046701
GSE189357	TD4	30.3462321792261	Q1	1139.0	1004.0	2143.0	0.46850209986000935
GSE189357	TD5	36.8663594470046	Q2	2262.0	952.0	3214.0	0.29620410703173616
GSE189357	TD6	63.5012386457473	Q4	612.0	727.0	1339.0	0.542942494398805
GSE189357	TD7	36.6313309776207	Q1	241.0	476.0	717.0	0.6638772663877266
GSE189357	TD8	45.3385672227674	Q2	1641.0	1560.0	3201.0	0.4873477038425492
GSE189357	TD9	78.5641235426468	Q4	605.0	681.0	1286.0	0.5295489891135303
GSE205335	P0031	59.2476489028213	Q2	1419.0	223.0	1642.0	0.13580998781973203
GSE205335	P1006	74.1809672386895	Q3	1255.0	234.0	1489.0	0.15715245130960376
GSE205335	P1015	41.5807560137457	Q1	122.0	158.0	280.0	0.5642857142857143
GSE205335	P1016	82.6461769115442	Q4	336.0	50.0	386.0	0.12953367875647667
GSE205335	P1017	64.3183897529735	Q3	1033.0	202.0	1235.0	0.16356275303643725
GSE205335	P1018	67.0338983050847	Q3	1009.0	163.0	1172.0	0.13907849829351535
GSE205335	P1025	92.8571428571429	Q4	23.0	18.0	41.0	0.43902439024390244
GSE205335	P1027	78.0728376327769	Q3	1759.0	372.0	2131.0	0.17456593148756452
GSE205335	P1030	61.6915422885572	Q3	44.0	21.0	65.0	0.3230769230769231
GSE205335	P1037	86.0528466357941	Q4	15.0	25.0	40.0	0.625
GSE205335	P1056	49.7066219614417	Q2	479.0	115.0	594.0	0.1936026936026936
GSE205335	P1062	45.2127659574468	Q1	535.0	73.0	608.0	0.12006578947368421
GSE205335	P1063	35.1145038167939	Q1	524.0	235.0	759.0	0.3096179183135705
GSE205335	P1072	58.8669950738916	Q2	160.0	176.0	336.0	0.5238095238095238
GSE205335	P1076	59.3639575971731	Q2	430.0	234.0	664.0	0.35240963855421686
GSE205335	P1079	51.3812154696133	Q2	224.0	68.0	292.0	0.2328767123287671
GSE205335	P1084	86.734693877551	Q4	829.0	234.0	1063.0	0.22013170272812793
GSE205335	P1089	87.7704609595484	Q4	28.0	48.0	76.0	0.631578947368421
GSE205335	P1090	38.1625441696113	Q1	217.0	8.0	225.0	0.035555555555555556
GSE205335	P1115	88.8829928362961	Q4	48.0	3.0	51.0	0.058823529411764705
GSE205335	P1119	36.088379705401	Q1	480.0	45.0	525.0	0.08571428571428572
GSE205335	P4001	48.1481481481481	Q1	487.0	136.0	623.0	0.21829855537720708
