dataset	unit_id	n_cells_matrix	n_malignant	n_cldn4_pos	mal_CLDN4_pct_recomputed	mal_CLDN4_mean_log1p_raw
GSE131907	NS_13	1352	1352	979	72.41124260355029	0.9959480312401604
GSE131907	NS_04	1229	1229	1098	89.34092758340114	1.9523515591538418
GSE131907	NS_17	1112	1112	981	88.21942446043165	2.3008201233302157
GSE131907	EBUS_28	4640	4640	4470	96.33620689655173	2.197978326433922
GSE131907	NS_16	79	79	9	11.39240506329114	0.10313755860663223
GSE131907	NS_07	5108	5108	4618	90.40720438527799	1.5931307483262624
GSE131907	EBUS_10	367	367	310	84.46866485013624	1.9049734855942484
GSE131907	NS_19	755	755	507	67.1523178807947	1.0082934839931024
GSE131907	EBUS_51	1285	1285	1097	85.36964980544747	1.581328884787959
GSE131907	BRONCHO_58	460	460	332	72.17391304347827	1.4263533362235619
GSE131907	EBUS_13	376	376	1	0.26595744680851063	0.0018434765440424076
GSE131907	NS_12	2811	2811	2427	86.33938100320171	1.728830943634575
GSE131907	NS_03	2713	2713	2527	93.14412089937339	2.264933208146411
GSE131907	EBUS_06	1186	1186	844	71.16357504215851	1.3552293035869711
GSE131907	EBUS_15	256	256	121	47.265625	1.1294928392821784
GSE131907	NS_02	181	181	106	58.56353591160221	1.126727726322637
GSE131907	EBUS_19	217	217	204	94.00921658986175	2.4779035334230066
GSE131907	BRONCHO_11	203	203	164	80.78817733990148	1.8059599708830327
GSE131907	EBUS_12	257	257	227	88.32684824902724	2.3549040610356684
GSE131907	NS_06	83	83	50	60.24096385542169	1.434511918266367
GSE131907	EBUS_49	114	114	56	49.12280701754386	0.9512107328950752
