family	k	cohorts	n_patients	pooled_rho	spearman_p	I2	q4q1_k	n_compared	pooled_r_rb	q4q1_p	q4q1_I2	method
author_or_DRMref/tnk/mean	2	GSE207422+GSE205335	34	-0.1656489685826519	0.376327189077578	0.0	2	18	-0.5053234742458727	0.05391381636673767	0.0	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)
author_or_DRMref/tnk/pct	2	GSE207422+GSE205335	34	-0.52414410249355	0.0020710609852639746	0.0	2	18	-0.9994819315766814	0.18388968832003716	98.84922604652658	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)
