interaction_name	direction	pathway_name	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_cohorts	median_q1	median_q4	delta_median	mwu_u	p	r_rb
MDK_NCL	outgoing	MK	MDK	NCL	MDK	NCL	other	9	9	18	2	0.7040835618972778	1.3536185026168823	0.6495349407196045	81.0	0.00041229480206169127	1.0
MDK_ITGA4_ITGB1	outgoing	MK	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	9	8	17	2	0.46551942104542665	0.9873005471543752	0.5217811261089486	69.0	0.0005758946935417523	0.9166666666666667
CDH1_KLRG1	outgoing	CDH1	CDH1	KLRG1	CDH1	KLRG1	barrier|inhibitory	6	6	12	2	0.1970093064010143	0.3130294121801853	0.11602010577917102	34.0	0.008658008658008658	0.8888888888888888
NECTIN2_CD226	outgoing	NECTIN	NECTIN2	CD226	NECTIN2	CD226	barrier|inhibitory	7	5	12	2	0.1253830604255199	0.24133627861738205	0.11595321819186216	32.0	0.01767676767676768	0.8285714285714285
ICAM1_SPN	outgoing	ICAM	ICAM1	SPN	ICAM1	SPN	other	8	7	15	2	0.29212030954658985	0.4776180386543274	0.18549772910773754	47.0	0.028904428904428903	0.6785714285714286
CDH1_ITGAE_ITGB7	outgoing	CDH1	CDH1	ITGAE_ITGB7	CDH1	ITGAE|ITGB7	barrier|inhibitory	7	7	14	2	0.2291467930164836	0.37326026628775183	0.14411347327126822	41.0	0.03787878787878788	0.6734693877551021
ICAM1_ITGAL	outgoing	ICAM	ICAM1	ITGAL	ICAM1	ITGAL	other	8	6	14	2	0.2543892078101635	0.6019814312458038	0.34759222343564034	40.0	0.042624042624042624	0.6666666666666667
ICAM1_ITGAL_ITGB2	outgoing	ICAM	ICAM1	ITGAL_ITGB2	ICAM1	ITGAL|ITGB2	other	8	6	14	2	0.3924496734809897	0.6708264595450354	0.2783767860640457	40.0	0.042624042624042624	0.6666666666666667
GDF15_TGFBR2	outgoing	GDF	GDF15	TGFBR2	GDF15	TGFBR2	other	4	5	9	2	0.2005296587012708	0.4414106458425522	0.2408809871412814	18.0	0.06349206349206349	0.8
CLEC2B_KLRB1	outgoing	CLEC	CLEC2B	KLRB1	CLEC2B	KLRB1	other	6	3	9	2	0.25034026242792606	0.13234965037554502	-0.11799061205238104	2.0	0.09523809523809523	-0.7777777777777778
MIF_CD74_CD44	outgoing	MIF	MIF	CD74_CD44	MIF	CD44|CD74	other	6	7	13	2	1.9628808206692476	1.7116000627383174	-0.2512807579309302	10.0	0.13752913752913754	-0.5238095238095238
APP_SORL1	outgoing	APP	APP	SORL1	APP	SORL1	other	6	7	13	2	0.30808913335204124	0.4751212280243636	0.16703209467232233	31.0	0.18065268065268064	0.4761904761904763
COL6A1_CD44	outgoing	COLLAGEN	COL6A1	CD44	COL6A1	CD44	other	4	4	8	2	0.4359877835959196	0.6591408662497997	0.22315308265388012	13.0	0.2	0.625
THBS1_CD47	outgoing	THBS	THBS1	CD47	THBS1	CD47	other	3	5	8	2	0.20320808689575642	0.27239201683551073	0.06918392993975431	12.0	0.25	0.6000000000000001
PVR_TIGIT	outgoing	PVR	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	3	6	9	2	0.5262560360133648	0.3039613123983144	-0.22229472361505037	4.0	0.26190476190476186	-0.5555555555555556
LAMC2_ITGA1_ITGB1	outgoing	LAMININ	LAMC2	ITGA1_ITGB1	LAMC2	ITGB1|ITGA1	other	5	4	9	2	0.22826852487333657	0.3977732850717225	0.16950476019838592	15.0	0.2857142857142857	0.5
CD55_ADGRE5	outgoing	ADGRE	CD55	ADGRE5	CD55	ADGRE5	other	9	8	17	2	0.34666116535663605	0.5901540294289589	0.24349286407232285	47.0	0.3212669683257919	0.3055555555555556
LAMA3_CD44	outgoing	LAMININ	LAMA3	CD44	LAMA3	CD44	other	6	5	11	2	0.5743229971267283	0.601799602387473	0.02747660526074469	21.0	0.32900432900432897	0.3999999999999999
LAMB2_ITGA1_ITGB1	outgoing	LAMININ	LAMB2	ITGA1_ITGB1	LAMB2	ITGB1|ITGA1	other	4	4	8	2	0.2498456859440098	0.14053815319842067	-0.10930753274558913	4.0	0.34285714285714286	-0.5
MIF_CD74_CXCR4	outgoing	MIF	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	6	7	13	2	2.181856739056037	1.9030172861838643	-0.2788394528721727	14.0	0.36596736596736595	-0.33333333333333337
LAMB3_ITGA1_ITGB1	outgoing	LAMININ	LAMB3	ITGA1_ITGB1	LAMB3	ITGB1|ITGA1	other	5	4	9	2	0.29357360147761064	0.4203263906114918	0.12675278913388116	14.0	0.4126984126984127	0.3999999999999999
HLA-DQB1_CD4	outgoing	MHC-II	HLA-DQB1	CD4	HLA-DQB1	CD4	other	6	5	11	2	0.34843603731133044	0.4179244646802544	0.06948842736892397	20.0	0.42857142857142855	0.33333333333333326
NECTIN2_TIGIT	outgoing	NECTIN	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	9	7	16	2	0.33603224344551563	0.5553708672523499	0.21933862380683422	39.0	0.46975524475524477	0.23809523809523814
LAMB3_CD44	outgoing	LAMININ	LAMB3	CD44	LAMB3	CD44	other	9	7	16	2	0.5957274287939072	0.7003613859415054	0.10463395714759827	39.0	0.46975524475524477	0.23809523809523814
HLA-F_CD8A	outgoing	MHC-I	HLA-F	CD8A	HLA-F	CD8A	inhibitory	9	6	15	2	0.4694104641675949	0.8349577933549881	0.3655473291873932	33.0	0.5286713286713286	0.22222222222222232
