interaction_name	direction	pathway_name	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_cohorts	median_q1	median_q4	delta_median	mwu_u	p	r_rb
DHCR24_RORA	outgoing	other	DHCR24	RORA	DHCR24	RORA	other	3	3	6	1	0.58330437541008	0.945847749710083	0.36254337430000305	9.0	0.1	1.0
CD47_SIRPG	outgoing	other	CD47	SIRPG	CD47	SIRPG	inhibitory	3	3	6	1	0.5483183562755585	0.818662017583847	0.2703436613082886	9.0	0.1	1.0
ICAM1_SPN	outgoing	other	ICAM1	SPN	ICAM1	SPN	other	3	3	6	1	0.5304842703044415	0.7317123860120773	0.20122811570763588	9.0	0.1	1.0
ICAM1_ITGAL	outgoing	other	ICAM1	ITGAL	ICAM1	ITGAL	other	3	3	6	1	0.5991632752120495	1.0197365283966064	0.42057325318455696	8.0	0.2	0.7777777777777777
ICAM1_ITGAL+ITGB2	outgoing	other	ICAM1	ITGAL+ITGB2	ICAM1	ITGAL+ITGB2	other	3	3	6	1	0.5956353954970837	0.9000737369060516	0.30443834140896797	8.0	0.2	0.7777777777777777
CXCL14_CXCR4	outgoing	T_recruit_partial	CXCL14	CXCR4	CXCL14	CXCR4	other	3	3	6	1	1.233549028635025	1.7201655805110931	0.4866165518760681	7.0	0.4	0.5555555555555556
PPIA_BSG	outgoing	other	PPIA	BSG	PPIA	BSG	other	3	3	6	1	1.6317520886659622	1.8410671800374985	0.20931509137153625	7.0	0.4	0.5555555555555556
PTGES3_PTGER4	outgoing	other	PTGES3	PTGER4	PTGES3	PTGER4	other	3	3	6	1	0.6243738383054733	0.7765432298183441	0.1521693915128708	7.0	0.4	0.5555555555555556
NECTIN2_TIGIT	outgoing	other	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	3	3	6	1	0.7113644182682037	0.7909329533576965	0.0795685350894928	7.0	0.4	0.5555555555555556
CD55_ADGRE5	outgoing	other	CD55	ADGRE5	CD55	ADGRE5	other	3	3	6	1	0.5288035273551941	0.7297651767730713	0.2009616494178772	6.0	0.7	0.33333333333333326
LIPA_RORA	outgoing	other	LIPA	RORA	LIPA	RORA	other	3	3	6	1	0.39699265360832214	0.4414878189563751	0.04449516534805298	6.0	0.7	0.33333333333333326
HLA-C_CD8B	outgoing	MHC_I	HLA-C	CD8B	HLA-C	CD8B	other	3	3	6	1	1.61060830950737	1.6061380356550217	-0.004470273852348328	3.0	0.7	-0.33333333333333337
HLA-B_CD8B	outgoing	MHC_I	HLA-B	CD8B	HLA-B	CD8B	other	3	3	6	1	1.5495284497737885	1.3910682648420334	-0.15846018493175507	5.0	1.0	0.11111111111111116
HLA-A_CD8B	outgoing	MHC_I	HLA-A	CD8B	HLA-A	CD8B	other	3	3	6	1	1.7293188273906708	1.8703871369361877	0.14106830954551697	4.0	1.0	-0.11111111111111116
HLA-B_CD8A	outgoing	MHC_I	HLA-B	CD8A	HLA-B	CD8A	other	3	3	6	1	2.0089365243911743	1.911565124988556	-0.09737139940261841	4.0	1.0	-0.11111111111111116
F11R_ITGAL+ITGB2	outgoing	other	F11R	ITGAL+ITGB2	F11R	ITGAL+ITGB2	barrier	3	3	6	1	0.8160605132579803	0.7700511515140533	-0.046009361743927	4.0	1.0	-0.11111111111111116
APP_CD74	outgoing	other	APP	CD74	APP	CD74	other	3	3	6	1	1.780940681695938	1.7446495294570923	-0.036291152238845825	4.0	1.0	-0.11111111111111116
LGALS9_P4HB	outgoing	other	LGALS9	P4HB	LGALS9	P4HB	inhibitory	3	3	6	1	0.3835059255361557	0.4154997020959854	0.03199377655982971	4.0	1.0	-0.11111111111111116
HLA-C_CD8A	outgoing	MHC_I	HLA-C	CD8A	HLA-C	CD8A	other	3	3	6	1	2.070016384124756	2.092148721218109	0.02213233709335327	4.0	1.0	-0.11111111111111116
HLA-A_CD8A	outgoing	MHC_I	HLA-A	CD8A	HLA-A	CD8A	other	3	3	6	1	2.1887269020080566	2.1795047521591187	-0.009222149848937988	4.0	1.0	-0.11111111111111116
