interaction_name	direction	pathway_name	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_cohorts	median_q1	median_q4	delta_median	mwu_u	p	r_rb
MDK_NCL	outgoing	MK	MDK	NCL	MDK	NCL	other	9	9	18	2	0.4376315686776161	0.7572114745121888	0.31957990583457274	80.0	0.0005736335109885613	0.9753086419753085
ICAM1_SPN	outgoing	ICAM	ICAM1	SPN	ICAM1	SPN	other	8	7	15	2	0.06712808033170156	0.29900545368342574	0.23187737335172418	52.0	0.0037296037296037296	0.8571428571428572
ICAM1_ITGAL	outgoing	ICAM	ICAM1	ITGAL	ICAM1	ITGAL	other	8	6	14	2	0.05492795672522641	0.39312353328081306	0.33819557655558663	45.0	0.004662004662004662	0.875
MDK_ITGA4_ITGB1	outgoing	MK	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	9	8	17	2	0.2378031539393065	0.5389495605827956	0.30114640664348913	64.0	0.005512134923899629	0.7777777777777777
ICAM1_ITGAL_ITGB2	outgoing	ICAM	ICAM1	ITGAL_ITGB2	ICAM1	ITGAL|ITGB2	other	8	6	14	2	0.08301546456229464	0.4273845672273948	0.3443691026651002	44.0	0.007992007992007992	0.8333333333333333
MICA_NKG2D_HCST	outgoing	MHC-I	MICA	NKG2D_HCST	MICA	KLRK1|HCST	recruit	4	4	8	2	0.01030525201263315	0.08269973144764495	0.0723944794350118	16.0	0.02857142857142857	1.0
LAMB3_CD44	outgoing	LAMININ	LAMB3	CD44	LAMB3	CD44	other	9	7	16	2	0.1536349268296225	0.3250316056649055	0.17139667883528303	52.0	0.03111888111888112	0.6507936507936507
GDF15_TGFBR2	outgoing	GDF	GDF15	TGFBR2	GDF15	TGFBR2	other	4	5	9	2	0.016962020843787333	0.18711166555927	0.17014964471548266	19.0	0.031746031746031744	0.8999999999999999
NECTIN2_TIGIT	outgoing	NECTIN	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	9	7	16	2	0.1440125457126365	0.3672921280108833	0.2232795822982468	49.0	0.07115384615384615	0.5555555555555556
THBS1_CD47	outgoing	THBS	THBS1	CD47	THBS1	CD47	other	3	5	8	2	0.003092378179577099	0.0200647307312826	0.0169723525517055	14.0	0.07142857142857142	0.8666666666666667
LAMC2_CD44	outgoing	LAMININ	LAMC2	CD44	LAMC2	CD44	other	7	6	13	2	0.1458190708917931	0.27631628210870507	0.13049721121691196	34.0	0.07342657342657342	0.6190476190476191
LAMA5_CD44	outgoing	LAMININ	LAMA5	CD44	LAMA5	CD44	other	8	8	16	2	0.07099327660867764	0.17907954587782401	0.10808626926914637	49.0	0.08298368298368297	0.53125
CD55_ADGRE5	outgoing	ADGRE	CD55	ADGRE5	CD55	ADGRE5	other	9	8	17	2	0.15769070602601856	0.3007223170856139	0.14303161105959536	51.0	0.16717400246812014	0.41666666666666674
LAMC1_CD44	outgoing	LAMININ	LAMC1	CD44	LAMC1	CD44	other	6	8	14	2	0.05511519035972037	0.12961784122696765	0.07450265086724728	35.0	0.18115218115218118	0.45833333333333326
LAMC2_ITGA1_ITGB1	outgoing	LAMININ	LAMC2	ITGA1_ITGB1	LAMC2	ITGB1|ITGA1	other	5	4	9	2	0.0299171694216047	0.1396239951825469	0.10970682576094219	16.0	0.19047619047619047	0.6000000000000001
HLA-DOA_CD4	outgoing	MHC-II	HLA-DOA	CD4	HLA-DOA	CD4	other	4	3	7	2	0.01405137356753777	0.04295839129210945	0.028907017724571684	10.0	0.22857142857142856	0.6666666666666667
MIF_CD74_CD44	outgoing	MIF	MIF	CD74_CD44	MIF	CD44|CD74	other	6	7	13	2	0.8638267664885826	0.8037601042005396	-0.06006666228804303	12.0	0.23426573426573427	-0.4285714285714286
