dataset	unit_id	unit_type	tissue	n_cells	n_malignant	n_tnk	mal_CLDN4_pct	malig_def
GSE123902	LX255B	donor	METASTASIS	3886	228	1583	35.0877192982456	marker_malig
GSE123902	LX653	donor	PRIMARY	392	145	49	71.7241379310345	marker_malig
GSE123902	LX661	donor	PRIMARY	4566	117	3726	58.974358974359	marker_malig
GSE123902	LX666	donor	METASTASIS	1316	786	177	67.175572519084	marker_malig
GSE123902	LX675	donor	PRIMARY	3435	618	1336	31.3915857605178	marker_malig
GSE123902	LX676	donor	PRIMARY	4014	147	2606	42.1768707482993	marker_malig
GSE123902	LX679	donor	PRIMARY	2017	497	625	43.2595573440644	marker_malig
GSE123902	LX680	donor	PRIMARY	941	258	344	73.2558139534884	marker_malig
GSE123902	LX681	donor	METASTASIS	1630	1207	86	63.2974316487158	marker_malig
GSE123902	LX682	donor	PRIMARY	4092	421	2558	18.7648456057007	marker_malig
GSE123902	LX684	donor	PRIMARY	378	173	92	72.8323699421965	marker_malig
GSE123902	LX699	donor	METASTASIS	2671	46	2263	15.2173913043478	marker_malig
GSE123902	LX701	donor	METASTASIS	788	90	322	11.1111111111111	marker_malig
GSE131907	BRONCHO_11	sample	mLN	3178	203	809	80.7881773399015	author_malig
GSE131907	BRONCHO_58	sample	tL/B	2813	460	1546	72.1739130434783	author_malig
GSE131907	EBUS_06	sample	tL/B	2303	1186	611	71.1635750421585	author_malig
GSE131907	EBUS_10	sample	mLN	5144	367	1530	84.4686648501362	author_malig
GSE131907	EBUS_12	sample	mLN	3115	257	328	88.3268482490272	author_malig
GSE131907	EBUS_13	sample	mLN	3550	376	1150	0.265957446808511	author_malig
GSE131907	EBUS_15	sample	mLN	1105	256	479	47.265625	author_malig
GSE131907	EBUS_19	sample	mLN	2112	217	1427	94.0092165898618	author_malig
GSE131907	EBUS_28	sample	tL/B	5182	4640	232	96.3362068965517	author_malig
GSE131907	EBUS_49	sample	tL/B	1775	114	1126	49.1228070175439	author_malig
GSE131907	EBUS_51	sample	mLN	3275	1285	1143	85.3696498054475	author_malig
GSE131907	NS_02	sample	mBrain	2313	181	977	58.5635359116022	author_malig
GSE131907	NS_03	sample	mBrain	2990	2713	145	93.1441208993734	author_malig
GSE131907	NS_04	sample	mBrain	1904	1229	131	89.3409275834011	author_malig
GSE131907	NS_06	sample	mBrain	1070	83	383	60.2409638554217	author_malig
GSE131907	NS_07	sample	mBrain	5730	5108	166	90.407204385278	author_malig
GSE131907	NS_12	sample	mBrain	3182	2811	22	86.3393810032017	author_malig
GSE131907	NS_13	sample	mBrain	4845	1352	1780	72.4112426035503	author_malig
GSE131907	NS_16	sample	mBrain	1317	79	385	11.3924050632911	author_malig
GSE131907	NS_17	sample	mBrain	2409	1112	410	88.2194244604317	author_malig
GSE131907	NS_19	sample	mBrain	3300	755	370	67.1523178807947	author_malig
GSE205335	P0031	patient	Lung	6428	319	3824	59.2476489028213	author_malig
GSE205335	P1006	patient	Effusion,Lung	6090	1282	2998	74.1809672386895	author_malig
GSE205335	P1015	patient	LN	1195	291	473	41.5807560137457	author_malig
GSE205335	P1016	patient	Liver,LN	6924	5336	763	82.6461769115442	author_malig
GSE205335	P1017	patient	Liver,LN	6266	2186	2370	64.3183897529735	author_malig
GSE205335	P1018	patient	Bronchus	5029	1180	2546	67.0338983050847	author_malig
GSE205335	P1025	patient	LN	1222	980	128	92.8571428571429	author_malig
GSE205335	P1027	patient	LN	4600	1318	2619	78.0728376327769	author_malig
GSE205335	P1030	patient	LN	861	603	140	61.6915422885572	author_malig
GSE205335	P1037	patient	LN	4983	3671	611	86.0528466357941	author_malig
GSE205335	P1056	patient	Liver,LN	5103	2386	1354	49.7066219614417	author_malig
GSE205335	P1062	patient	LN	3057	188	1934	45.2127659574468	author_malig
GSE205335	P1063	patient	Bronchus,LN	4297	131	3144	35.1145038167939	author_malig
GSE205335	P1072	patient	LN	1273	406	586	58.8669950738916	author_malig
GSE205335	P1076	patient	LN	6975	849	2089	59.3639575971731	author_malig
GSE205335	P1079	patient	LN	1277	543	501	51.3812154696133	author_malig
GSE205335	P1084	patient	LN	3534	196	2350	86.734693877551	author_malig
GSE205335	P1089	patient	LN	1609	1063	272	87.7704609595484	author_malig
GSE205335	P1090	patient	LN	976	566	247	38.1625441696113	author_malig
GSE205335	P1115	patient	Liver	4397	3769	271	88.8829928362961	author_malig
GSE205335	P1119	patient	LN	2386	1222	621	36.088379705401	author_malig
GSE205335	P4001	patient	Lung	2308	27	1801	48.1481481481481	author_malig
GSE189357	TD1	patient	TUMOR	15216	2186	9915	56.1299176578225	marker_malig
GSE189357	TD2	patient	TUMOR	18064	1207	11334	35.6255178127589	marker_malig
GSE189357	TD3	patient	TUMOR	12658	664	6525	48.0421686746988	marker_malig
GSE189357	TD4	patient	TUMOR	11756	491	7096	30.3462321792261	marker_malig
GSE189357	TD5	patient	TUMOR	19079	1736	11055	36.8663594470046	marker_malig
GSE189357	TD6	patient	TUMOR	8999	1211	3392	63.5012386457473	marker_malig
GSE189357	TD7	patient	TUMOR	3507	849	1851	36.6313309776207	marker_malig
GSE189357	TD8	patient	TUMOR	15521	1019	7257	45.3385672227674	marker_malig
GSE189357	TD9	patient	TUMOR	17573	4889	4345	78.5641235426468	marker_malig
