dataset,unit_id,tissue,arm,mal_CLDN4_pct,mal_CLDN4_mean,frac_tnk
GSE123902,LX255B,METASTASIS,mid,35.0877192982456,0.448801651463958,0.407359752959341
GSE123902,LX653,PRIMARY,high,71.7241379310345,1.25240682713422,0.125
GSE123902,LX661,PRIMARY,mid,58.974358974359,0.857608568422848,0.816031537450723
GSE123902,LX666,METASTASIS,mid,67.175572519084,0.992395211788715,0.134498480243161
GSE123902,LX675,PRIMARY,mid,31.3915857605178,0.582960587751478,0.388937409024745
GSE123902,LX676,PRIMARY,mid,42.1768707482993,0.831390019521496,0.649227703039362
GSE123902,LX679,PRIMARY,mid,43.2595573440644,0.564371224044842,0.309866137828458
GSE123902,LX680,PRIMARY,high,73.2558139534884,1.85907788462344,0.365568544102019
GSE123902,LX681,METASTASIS,mid,63.2974316487158,1.17753504578178,0.052760736196319
GSE123902,LX682,PRIMARY,low,18.7648456057007,0.461318234025586,0.625122189638319
GSE123902,LX684,PRIMARY,high,72.8323699421965,0.911897294127077,0.243386243386243
GSE123902,LX699,METASTASIS,low,15.2173913043478,0.314117764314781,0.847248221639835
GSE123902,LX701,METASTASIS,low,11.1111111111111,0.111610967942331,0.408629441624365
GSE131907,BRONCHO_11,mLN,mid,80.7881773399015,1.80595997088303,0.254562617998741
GSE131907,BRONCHO_58,tL/B,mid,72.1739130434783,1.42635333622356,0.549591183789549
GSE131907,EBUS_06,tL/B,mid,71.1635750421585,1.35522930358697,0.26530612244898
GSE131907,EBUS_10,mLN,mid,84.4686648501362,1.90497348559425,0.297433903576983
GSE131907,EBUS_12,mLN,mid,88.3268482490272,2.35490406103567,0.10529695024077
GSE131907,EBUS_13,mLN,low,0.265957446808511,0.00184347654404241,0.323943661971831
GSE131907,EBUS_15,mLN,low,47.265625,1.12949283928218,0.433484162895928
GSE131907,EBUS_19,mLN,high,94.0092165898618,2.47790353342301,0.675662878787879
GSE131907,EBUS_28,tL/B,high,96.3362068965517,2.19797832643394,0.0447703589347742
GSE131907,EBUS_49,tL/B,low,49.1228070175439,0.951210732895075,0.634366197183099
GSE131907,EBUS_51,mLN,mid,85.3696498054475,1.58132888478796,0.349007633587786
GSE131907,NS_02,mBrain,low,58.5635359116022,1.12672772632264,0.422395157803718
GSE131907,NS_03,mBrain,high,93.1441208993734,2.26493320814642,0.048494983277592
GSE131907,NS_04,mBrain,high,89.3409275834011,1.95235155915384,0.0688025210084034
GSE131907,NS_06,mBrain,mid,60.2409638554217,1.43451191826637,0.357943925233645
GSE131907,NS_07,mBrain,high,90.407204385278,1.59313074832629,0.0289703315881326
GSE131907,NS_12,mBrain,mid,86.3393810032017,1.72883094363458,0.00691389063482087
GSE131907,NS_13,mBrain,mid,72.4112426035503,0.995948031240156,0.367389060887513
GSE131907,NS_16,mBrain,low,11.3924050632911,0.103137558606632,0.292331055429005
GSE131907,NS_17,mBrain,mid,88.2194244604317,2.30082012333022,0.170195101701951
GSE131907,NS_19,mBrain,mid,67.1523178807947,1.0082934839931,0.112121212121212
GSE205335,P0031,Lung,mid,59.2476489028213,1.03210740001313,0.594897324206596
GSE205335,P1006,"Effusion,Lung",mid,74.1809672386895,1.45441994167518,0.492282430213465
