accession	database	verified_url	species	tissue_or_cell	target_gene	perturbation	n_pert	n_ctrl	host_immune	processed_matrix	matrix_bytes	analyzed	reciprocal_testable	ifn_testable	ici_testable	status	caveats
GSE334497	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334497	Mus musculus	4T1 mammary tumour (BALB/c)	TACSTD2	CRISPR/KO (Trop2 knockout tumours)	5	5	immunocompetent	GSE334497_normalized_counts.csv.gz	1290000	yes	yes	yes	yes	ANALYZED	Library names split RESUB vs original and are partly confounded with genotype; PCA PC1 is not genotype- or prep-driven (genotype p=0.48 on PC1). No genome-wide genes survive BH q<0.1 (n=5 vs 5).
GSE289287	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289287	Homo sapiens	T-47D breast cancer xenograft (NRG mouse)	TACSTD2	CRISPR/KO (Trop-2 knockout)	4	3	immunodeficient (NRG: no T/B/NK)	GSE289287_DESeq2-Trop2KO_tumors_vs_WT.tsv.gz	1990000	yes	yes	yes	limited	ANALYZED	Host lacks adaptive and NK immunity so infiltration/ICI programmes cannot be read out. No in-vitro Trop-2 KO arm was deposited (only WT and DSG2 KO cell lines).
GSE15212	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE15212	Homo sapiens	SW480 colon adenocarcinoma	TACSTD2	siRNA (two independent oligos, 72 h)	6	9	in vitro	GSE15212_series_matrix.txt.gz	7800000	yes	yes	yes	limited	ANALYZED	RAW.tar (463 MB Affymetrix CEL) skipped in favour of the 7.5 MB series matrix. Two siRNAs give only modest transcriptome-wide concordance (Pearson r=0.218) so off-target effects exist; TACSTD2 itself is down with both oligos.
GSE207704	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207704	Homo sapiens	T47D and MCF7 breast cancer lines	CLDN4	CRISPR/Cas9 CDS deletion (CLDN4-/-)	2+2	2+2	in vitro	GSE207704_CLDN4_RNAseq.txt.gz	1080000	yes	yes	yes	no	ANALYZED	GEO published 8 GSM records but the only open processed file has 4 group-mean FPKM columns. Replicate-level p-values are not computable from public data. Residual CLDN4 FPKM is 48% (T47D) and 59% (MCF7) of WT.
GSE50927	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50927	Mus musculus	whole lung	CLDN4	germline Cldn4 knockout	1	1	immunocompetent	GSE50927_Cldn4lungWTvsKOgenes.csv.gz	700000	yes	yes	yes	yes	ANALYZED	ONLY public lung CLDN4 perturbation found. n=1 animal per group. No count matrix deposited; only unreplicated edgeR tables. P/FDR columns assume a dispersion and are not replicate-based evidence.
GSE22493	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22493	Homo sapiens	SKOV-3-IP-Luc ovarian cancer	CLDN4	siRNA lentivirus knockdown	3	3 (same arrays, 2-colour)	in vitro	GSE22493_series_matrix.txt.gz	300000	yes	no	yes	limited	ANALYZED	Reference arm is a CLDN4-overexpressing line, not parental. TACSTD2 and EPCAM are absent from GPL10555. Inter-array Pearson r of log-ratios is -0.18 / +0.20 / -0.16: the three arrays do not agree, so set-level inference is not trusted.
GSE289287_DSG2KO_cells	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289287	Homo sapiens	T-47D cells (2D)	DSG2	CRISPR/KO (junction comparator, NOT TACSTD2)	6	3	in vitro	GSE289287_DESeq2-DSG2KO_cells_vs_DSG2WT.tsv.gz	2000000	yes_as_comparator	n/a	yes	n/a	CONTROLLED_COMPARATOR	Analysed only as a desmosome-perturbation control. Genome-wide log2FC concordance with TACSTD2 KO xenografts is weakly negative (Pearson r=-0.085, n=12644 genes).
E-GEOD-334497	ArrayExpress	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-334497	Mus musculus	same as GSE334497	TACSTD2	same as GSE334497	5	5	immunocompetent	(GEO mirror)		no	yes	yes	yes	DUPLICATE_OF_GEO	ArrayExpress record of GSE334497; not re-downloaded.
E-GEOD-50927	ArrayExpress	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-50927	Mus musculus	same as GSE50927	CLDN4	same as GSE50927	1	1	immunocompetent	(GEO mirror)		no	yes	yes	yes	DUPLICATE_OF_GEO	ArrayExpress record of GSE50927; not re-downloaded.
E-GEOD-22493	ArrayExpress	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-22493	Homo sapiens	same as GSE22493	CLDN4	same as GSE22493	3	3	in vitro	(GEO mirror)		no	no	yes	limited	DUPLICATE_OF_GEO	ArrayExpress record of GSE22493; not re-downloaded.
GSE60885	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60885	Homo sapiens	trophoblast	CLDN4	none (CLDN4 is a discovered gene, not the perturbation)				GSE60885 methylation		no	n/a	n/a	n/a	EXCLUDED_NOT_A_PERTURBATION	Title mentions Claudin-4 because it was identified as a methylation hit, not because CLDN4 was knocked down.
GSE227698	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227698	Homo sapiens	breast cancer lines	G0S2	G0S2 perturbation; CLDN4 only in text				TXT		no	n/a	n/a	n/a	EXCLUDED_NOT_A_PERTURBATION	CLDN4 is mentioned in the summary, not targeted.
GSE26055	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26055	Homo sapiens	ovarian cancer	CLDN7	CLDN7 overexpression, not CLDN4				TXT		no	n/a	n/a	n/a	EXCLUDED_WRONG_GENE	Claudin-7 study.
GSE48443	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48443	Mus musculus	lung	CLDN18	Cldn18 knockout, not Cldn4				TXT		no	n/a	n/a	n/a	EXCLUDED_WRONG_GENE	The only other public lung claudin-KO transcriptome; gene is CLDN18.
GSE84742	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84742	Mus musculus	colonic crypt	HNF4A/HOPX/KLF4	transcription-factor KO; claudin barrier is a phenotype				TXT		no	n/a	n/a	n/a	EXCLUDED_NOT_A_PERTURBATION	Claudin programme is the readout, not the perturbation.
GSE302284	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302284	Homo sapiens	EGFR-mutant NSCLC residual tumour / cell lines	TACSTD2	TROP2 CAR-T / ADC targeting, not gene KD/KO	6		patient/xenograft	H5		no	n/a	n/a	n/a	EXCLUDED_NOT_GENE_PERTURBATION	TROP2 is the CAR/ADC target. No TACSTD2 KD/KO arm. H5 is scRNA-seq of residual disease after osimertinib.
GSE278664	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278664	Homo sapiens	HGSOC tumour biopsies	TACSTD2	sacituzumab govitecan (TROP2 ADC) pharmacology, not gene KD/KO	35			XLSX		no	n/a	n/a	n/a	EXCLUDED_NOT_GENE_PERTURBATION	Patient tumours stratified by BRCA status; TROP2 ADC is a drug, not a gene knockout.
GSE302981	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302981	Homo sapiens	PDAC lines	KRAS/ERK	ulixertinib vs DMSO; TACSTD2 only in text	8			TXT		no	n/a	n/a	n/a	EXCLUDED_NOT_A_PERTURBATION	IFN/EMT after MAPK inhibition. No TACSTD2 or CLDN4 KD/KO.
GSE303051	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303051	Homo sapiens	PDAC lines	KRAS	KRAS inhibitors vs vehicle; TACSTD2 only in text	30			TXT		no	n/a	n/a	n/a	EXCLUDED_NOT_A_PERTURBATION	Sister series of GSE302981.
E-MTAB-11466	ArrayExpress	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11466	Homo sapiens	CRC specimens	TACSTD2	TROP2+ cell sorting, not KD/KO				CEL		no	n/a	n/a	n/a	EXCLUDED_NOT_A_PERTURBATION	Expression profiling of TROP2-high cells, not a loss-of-function experiment.
E-MTAB-11382	ArrayExpress	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11382	Mus musculus	Apc-deficient intestinal adenoma	TACSTD2	Trop2+ cell sorting, not KD/KO						no	n/a	n/a	n/a	EXCLUDED_NOT_A_PERTURBATION	Same design as E-MTAB-11466 in mouse adenoma.
E-MTAB-11377	ArrayExpress	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11377	Mus musculus	Apc-deficient hyperplastic epithelium	TACSTD2	Trop2+ cell sorting, not KD/KO						no	n/a	n/a	n/a	EXCLUDED_NOT_A_PERTURBATION	Same design.
GSE106127	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106127	Homo sapiens	LINCS L1000 CGS	TACSTD2 / CLDN4	shRNA consensus signatures	0	0	in vitro	GSE106127_CGS_n33839x978.gctx.gz	136000000	no	n/a	n/a	n/a	MISSING_NOT_IN_LINCS	CGS metadata and sig_info were downloaded and searched. TACSTD2 and CLDN4 are not among the 4321 perturbagen names (EPCAM is). The 136 MB CGS matrix was therefore not downloaded.
GSE92742	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92742	Homo sapiens	LINCS L1000 Phase I	TACSTD2 / CLDN4	shRNA / OE / compounds	0	0	in vitro	Level5 COMPZ (skipped, >2 GB class)		no	n/a	n/a	n/a	MISSING_NOT_IN_LINCS	pert_info.txt.gz downloaded. No TACSTD2 or CLDN4 perturbagen. Level 5 matrix not fetched.
human_lung_CLDN4_KDKO	—	searched GEO + ArrayExpress 2026-08-16	Homo sapiens	lung / NSCLC	CLDN4	KD/KO/shRNA/siRNA/CRISPR	0	0		—		no	n/a	n/a	n/a	MISSING	Zero GEO hits for: CLDN4 AND lung AND (knockdown OR knockout OR shRNA OR siRNA OR CRISPR). No ArrayExpress lung CLDN4 KO series.
human_lung_TACSTD2_KDKO	—	searched GEO + ArrayExpress 2026-08-16	Homo sapiens	lung / NSCLC	TACSTD2	KD/KO/shRNA/siRNA/CRISPR	0	0		—		no	n/a	n/a	n/a	MISSING	GEO returns many TACSTD2-and-lung hits but all inspected titles/summaries are expression, ADC/CAR-T, or gene-list false positives. No true TACSTD2 KD/KO lung transcriptome was verified.
mouse_lung_Tacstd2_KO	—	searched GEO + ArrayExpress 2026-08-16	Mus musculus	lung	TACSTD2	knockout	0	0		—		no	n/a	n/a	n/a	MISSING	No verified mouse lung Tacstd2 knockout transcriptome. GSE50927 is Cldn4, not Tacstd2.
mouse_tumour_Cldn4_KO	—	searched GEO + ArrayExpress 2026-08-16	Mus musculus	syngeneic tumour	CLDN4	knockout	0	0		—		no	n/a	n/a	n/a	MISSING	No immunocompetent tumour Cldn4-KO RNA-seq was found. The only mouse Cldn4 KO transcriptome is naive/injured whole lung (GSE50927).
