input_list	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
comet_up	GO_Biological_Process_2023	Response To Endoplasmic Reticulum Stress (GO:0034976)	11/114	1.615218302266551e-08	2.6683406353443422e-05	0	0	11.372920493308843	204.04396198876836	PDIA3;BCAP31;JUN;XBP1;CEBPB;HSPA5;OS9;DDRGK1;CCDC47;ATF3;TMCO1
comet_up	GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	24/705	1.1680214513584923e-07	7.275972079140394e-05	0	0	3.9182460813441247	62.54611742590038	ITGB1;JUN;XBP1;TNFRSF12A;TSC22D1;HSPA5;ACTN4;CFLAR;RHOB;TJP1;KRT18;ERBB3;DDRGK1;BAG3;ERBB2;TNFSF10;TAX1BP1;CTSH;TMBIM6;SOX9;CALR;CTSD;SOX4;IER3
comet_up	GO_Biological_Process_2023	Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042)	4/6	1.3213024356792486e-07	7.275972079140394e-05	0	0	206.27083333333331	3267.2222662136155	DSP;CXADR;JUP;DSG2
comet_up	GO_Biological_Process_2023	Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888)	10/115	1.983490889683761e-07	8.191817374393933e-05	0	0	10.08653353814644	155.66786545762972	GOLGA2;RAB2A;BCAP31;TMED9;TMED10;KDELR1;LMAN2;YIF1A;SEC31A;TMED4
comet_up	GO_Biological_Process_2023	Maintenance Of Blood-Brain Barrier (GO:0035633)	6/29	3.230106597472046e-07	9.074543071006868e-05	0	0	27.159267734553776	405.9110225725149	ITGB1;TJP1;OCLN;CLDN3;LSR;F11R
comet_up	GO_Biological_Process_2023	Cell-Cell Junction Organization (GO:0045216)	8/68	3.295838887774892e-07	9.074543071006868e-05	0	0	14.002836879432625	208.9984305567401	DSP;TJP1;OCLN;CXADR;CDH1;CTNND1;DSG2;PKP3
comet_up	GO_Biological_Process_2023	Golgi Vesicle Transport (GO:0048193)	12/197	5.843413395350988e-07	0.00013790455613028332	0	0	6.916216216216216	99.26693351410034	GOLGA2;BCAP31;RAB2A;TMED9;TMED10;KDELR1;LMAN2;SURF4;GCC2;YIF1A;SEC31A;TMED4
comet_up	GO_Biological_Process_2023	Cellular Response To Organonitrogen Compound (GO:0071417)	9/105	9.26704396901884e-07	0.000191364457960239	0	0	9.880347593582888	137.2541449341964	XBP1;JUP;CDH1;AKAP9;CAPN2;CTNNA1;SOX9;EZR;ZFP36L1
comet_up	GO_Biological_Process_2023	Endomembrane System Organization (GO:0010256)	11/196	3.861446834460646e-06	0.0006427483704169862	0	0	6.305595325054784	78.59589504151344	GOLGA2;VMP1;RAB2A;TMED9;SYNGR2;TMED10;HOOK2;CSNK1A1;SURF4;SEC31A;TMED4
comet_up	GO_Biological_Process_2023	Positive Regulation Of Peptidase Activity (GO:0010952)	5/25	3.890728634485389e-06	0.0006427483704169862	0	0	25.895287958115183	322.5753779023263	PSENEN;CLDN3;DDRGK1;CTSH;PRSS22
comet_up	GO_Biological_Process_2023	Golgi Organization (GO:0007030)	9/130	5.50212072605531e-06	0.0007739394145683574	0	0	7.829009590312459	94.81225731117009	GOLGA2;RAB2A;VMP1;TMED9;TMED10;CSNK1A1;SURF4;GCC2;TMED4
comet_up	GO_Biological_Process_2023	Negative Regulation Of Programmed Cell Death (GO:0043069)	15/381	5.63148694635596e-06	0.0007739394145683574	0	0	4.40132234399058	53.1993863265222	XBP1;TSC22D1;HSPA5;CFLAR;TJP1;KRT18;ERBB3;DDRGK1;BAG3;ERBB2;TAX1BP1;CTSH;TMBIM6;SOX9;IER3
comet_up	GO_Biological_Process_2023	Positive Regulation Of Cellular Process (GO:0048522)	19/594	6.487128684957523e-06	0.0007739394145683574	0	0	3.5897912060918693	42.8825348747704	XBP1;SLC44A4;TSC22D1;EMP2;ZFP36L1;TJP1;SERTAD1;ERBB3;RAB25;EPCAM;DDRGK1;ERBB2;CTSH;HES1;SOX9;CALR;CD47;SOX4;EIF4G2
comet_up	GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	22/766	6.580713248275023e-06	0.0007739394145683574	0	0	3.239092819181807	38.64680653996697	JUN;XBP1;JUP;TSC22D1;STAT3;EMP2;RUNX1;ZFP36L1;TJP1;CLDN3;SERTAD1;ERBB3;RAB25;EPCAM;DDRGK1;ERBB2;CTSH;HES1;SOX9;CALR;CD47;SOX4
comet_up	GO_Biological_Process_2023	Establishment Of Endothelial Barrier (GO:0061028)	5/28	7.027294926468136e-06	0.0007739394145683574	0	0	22.514227179603918	267.14726168282266	TJP1;CLDN3;F11R;EZR;ICAM1
comet_up	GO_Biological_Process_2023	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	10/172	7.860101056821293e-06	0.0008115554341167985	0	0	6.51865126775521	76.6183437270161	ITGB1;CD164;ALCAM;CXADR;CDH1;CLDN7;PLXNB2;DSG2;PTPRF;ICAM1
comet_up	GO_Biological_Process_2023	Heterotypic Cell-Cell Adhesion (GO:0034113)	5/29	8.424034975464027e-06	0.0008186179870274455	0	0	21.57504363001745	252.09190648591155	ITGB1;DSP;CXADR;JUP;DSG2
comet_up	GO_Biological_Process_2023	Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073)	3/5	9.135465986823128e-06	0.0008384327672351004	0	0	153.9015544041451	1785.7730408303294	DSP;JUP;DSG2
comet_up	GO_Biological_Process_2023	Protein Localization To Cell-Cell Junction (GO:0150105)	4/15	1.1219649635112096e-05	0.00097551901037922	0	0	37.48674242424242	427.268037915259	DSP;TJP1;LSR;F11R
comet_up	GO_Biological_Process_2023	Positive Regulation Of Cell Migration (GO:0030335)	12/272	1.6302189798048193e-05	0.0013465608773187	0	0	4.902341137123746	54.04444365701088	TJP1;ITGB1;XBP1;CLDN3;CD151;HSPA5;RAB25;DDRGK1;STAT3;CTSH;SOX9;ACTN4
comet_up	GO_Biological_Process_2023	Desmosome Organization (GO:0002934)	3/6	1.8138925662795e-05	0.0014269288188065	0	0	102.5958549222798	1120.0851511827375	DSP;JUP;PKP3
comet_up	GO_Biological_Process_2023	Protein Localization To Membrane (GO:0072657)	10/192	2.051538367322874e-05	0.0015405188103715	0	0	5.796407893182087	62.56837166868804	TM9SF2;JUP;CDH1;BSG;EMP2;PKP3;F11R;ATP1B1;EZR;AGRN
comet_up	GO_Biological_Process_2023	Positive Regulation Of Angiogenesis (GO:0045766)	8/119	2.284724206739133e-05	0.0015520868619659	0	0	7.54954954954955	80.67962127620935	ITGB1;TJP1;XBP1;JUP;CTSH;EMP2;RUNX1;RHOB
comet_up	GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	16/482	2.290491660799462e-05	0.0015520868619659	0	0	3.688698140200286	39.41063732744262	ITGB1;XBP1;TSC22D1;HSPA5;CFLAR;TJP1;KRT18;ERBB3;DDRGK1;BAG3;ERBB2;TAX1BP1;CTSH;TMBIM6;SOX9;IER3
comet_up	GO_Biological_Process_2023	Positive Regulation Of Cell Population Proliferation (GO:0008284)	16/483	2.348799730578044e-05	0.0015520868619659	0	0	3.6806090887461336	39.231689644225504	XBP1;TSC22D1;EMP2;TJP1;SERTAD1;ERBB3;RAB25;EPCAM;DDRGK1;ERBB2;CTSH;HES1;SOX9;CALR;CD47;SOX4
comet_up	GO_Biological_Process_2023	Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	7/96	4.451454990534031e-05	0.0028283860170623	0	0	8.204327923429046	82.2048590265567	ITGB1;JUN;GDF15;APLP2;STAT3;SOX9;ZFP36L1
comet_up	GO_Biological_Process_2023	Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069)	3/8	5.0058009161677385e-05	0.0030628085605589	0	0	61.55129533678757	609.5011178222808	DSP;JUP;DSG2
comet_up	GO_Biological_Process_2023	Regulation Of Organelle Organization (GO:0033043)	7/100	5.784702889459004e-05	0.0034129747047808	0	0	7.849860613301473	76.59665135095463	TJP1;TMED9;AKAP9;SURF4;CAPN2;F11R;EZR
