gene	direction	mt_ribo	min_patient_delta	max_patient_delta	GSE123902__n_units	GSE123902__n_high	GSE123902__n_low	GSE123902__patient_delta	GSE123902__sign_up	GSE123902__sign_down	GSE123902__cell_delta	GSE123902__auc	GSE123902__pct_high	GSE123902__pct_low	GSE123902__stat_up	GSE123902__cut_up	GSE123902__stat_down	GSE123902__cut_down	GSE131907__n_units	GSE131907__n_high	GSE131907__n_low	GSE131907__patient_delta	GSE131907__sign_up	GSE131907__sign_down	GSE131907__cell_delta	GSE131907__auc	GSE131907__pct_high	GSE131907__pct_low	GSE131907__stat_up	GSE131907__cut_up	GSE131907__stat_down	GSE131907__cut_down	GSE205335__n_units	GSE205335__n_high	GSE205335__n_low	GSE205335__patient_delta	GSE205335__sign_up	GSE205335__sign_down	GSE205335__cell_delta	GSE205335__auc	GSE205335__pct_high	GSE205335__pct_low	GSE205335__stat_up	GSE205335__cut_up	GSE205335__stat_down	GSE205335__cut_down	GSE189357__n_units	GSE189357__n_high	GSE189357__n_low	GSE189357__patient_delta	GSE189357__sign_up	GSE189357__sign_down	GSE189357__cell_delta	GSE189357__auc	GSE189357__pct_high	GSE189357__pct_low	GSE189357__stat_up	GSE189357__cut_up	GSE189357__stat_down	GSE189357__cut_down	GSE123902__wilcoxon_p	GSE131907__wilcoxon_p	GSE205335__wilcoxon_p	GSE189357__wilcoxon_p
RPL21	down	True	-0.23019831	-0.075591974	12	1167	1167	-0.075591974	0.3333333333333333	0.6666666666666666	0.0360106866387619	0.4065279916351479	0.9777206512425022	0.8371893744644388	1.3805039781398379e-35	2116	3.509242967050086e-51	496	19	6076	6076	-0.23019831	0.1052631578947368	0.8947368421052632	-0.167990737647719	0.4268248715740623	0.9697169190256748	0.9637919684002634	0.0382194131133975	11748	6.48191217198409e-62	2130	21	7112	7112	-0.21850902	0.1428571428571428	0.8571428571428571	-0.120819317977896	0.449900400438556	0.952334083239595	0.9034026996625422	3.7315054799594175e-30	13198	1.282173368562545e-35	8935	9	3559	3559	-0.08591391	0.3333333333333333	0.6666666666666666	-0.1033515179674893	0.4303561502204124	0.9050295026692892	0.8482719865130655	1.3801469582478182e-13	6239	4.9432084640175605e-67	1088	0.23486328125	6.29425048828125e-05	0.0005879402160644531	0.1015625
RPS12	down	True	-0.17164648	-0.07304581	12	1167	1167	-0.07304581	0.4166666666666667	0.5833333333333334	0.0329387853415439	0.4188344277690766	0.976006855184233	0.8491859468723222	6.0491061567488944e-30	2130	4.926437884085667e-20	327	19	6076	6076	-0.17164648	0.1052631578947368	0.8947368421052632	-0.1296899373796369	0.4263302588975023	0.9739960500329164	0.9646148782093482	0.0015893626485169	11779	1.5527842461830126e-63	3065	21	7112	7112	-0.1424243	0.2857142857142857	0.7142857142857143	-0.0325372348174455	0.467625279000558	0.9744094488188976	0.935179977502812	2.1457607318466096e-30	13581	1.4854397339808948e-57	765	9	3559	3559	-0.15431619	0.4444444444444444	0.5555555555555556	-0.1860897740180238	0.4194637405606182	0.9688114638943524	0.9505479067153696	5.421392947616747e-05	6831	8.834978424574988e-37	658	0.31103515625	0.000705718994140625	0.010785579681396484	0.08203125
EEF1A1	down	False	-0.1855573	-0.050777685	12	1167	1167	-0.13478045	0.3333333333333333	0.6666666666666666	-0.0562243313181718	0.3846506580198533	0.988860325621251	0.897172236503856	2.7737453165228984e-24	2201	2.3358025756603093e-38	500	19	6076	6076	-0.1855573	0.1578947368421052	0.8421052631578947	-0.080449896433405	0.4427330210790596	0.987656352863726	0.9810730743910469	0.0001004070695173	11816	4.810201456553378e-33	4093	21	7112	7112	-0.103752136	0.3809523809523809	0.6190476190476191	0.0101164024556945	0.4844634529830284	0.9884701912260968	0.967941507311586	1.3315070668615536e-20	13651	3.270364422068381e-31	1844	9	3559	3559	-0.050777685	0.3333333333333333	0.6666666666666666	-0.0407610105542497	0.4439434283286731	0.9848271986513064	0.96234897443102	1.549980418081541e-09	6930	3.897606952074347e-56	1241	0.07568359375	0.0014190673828125	0.055529117584228516	0.1796875
RPS15A	down	True	-0.20353025	-0.046741117	12	1167	1167	-0.046741117	0.5	0.5	0.1069362541684877	0.4432743784552191	0.974293059125964	0.8577549271636675	3.4681154470012025e-26	2138	3.2452636431884447e-25	270	19	6076	6076	-0.18084534	0.1052631578947368	0.8947368421052632	-0.1286358628071617	0.4157333448255388	0.9736668861092824	0.9657669519420672	0.0063733085552009	11784	1.6628253600149134e-63	3802	21	7112	7112	-0.0983854	0.5238095238095238	0.4761904761904761	0.0020920093180554	0.4676249923290663	0.9760967379077616	0.9420697412823396	1.0172359835212936e-25	13640	2.2571332903212175e-35	2810	9	3559	3559	-0.20353025	0.1111111111111111	0.8888888888888888	-0.1806963111378219	0.4018554956187121	0.9505479067153696	0.9235740376510256	1.6404795956315e-06	6670	1.9039373951700906e-61	934	0.36669921875	0.0003223419189453125	0.29270124435424805	0.013671875
RPL13	down	True	-0.15781486	-0.045389354	12	1167	1167	-0.045389354	0.5833333333333334	0.4166666666666667	0.0584214092703581	0.4328377716539306	0.9914310197086548	0.9117395029991432	9.586267256130749e-22	2221	2.690576567136409e-16	815	19	6076	6076	-0.1191758	0.2105263157894736	0.7894736842105263	-0.0899619799624904	0.457087136018161	0.9874917709019092	0.9825543120473996	0.0120232481939413	11572	4.92981144311158e-40	1613	21	7112	7112	-0.09754244	0.4285714285714285	0.5714285714285714	-0.028978590409125	0.4695221644907575	0.9855174353205848	0.9617547806524184	4.6943595160485096e-21	13837	6.079570411062234e-21	7581	9	3559	3559	-0.15781486	0.2222222222222222	0.7777777777777778	-0.1534103936270843	0.4027543640573889	0.9789266647934812	0.9601011520089912	2.283299186634705e-06	6901	3.974140144858108e-67	1020	0.6044921875	0.010206222534179688	0.0785670280456543	0.01953125
RPL5	down	True	-0.18677452	-0.040712383	12	1167	1167	-0.040712383	0.4166666666666667	0.5833333333333334	0.0386148760793094	0.4549768740330526	0.9220222793487576	0.739502999143102	2.6930479610171518e-33	1939	1.7404006036266034e-29	271	19	6076	6076	-0.17626198	0.3157894736842105	0.6842105263157895	-0.1208450485461662	0.439109617545759	0.9203423304805792	0.9042132982225148	0.0008436363304871	11083	1.6960737542744122e-30	4607	21	7112	7112	-0.062333312	0.4761904761904761	0.5238095238095238	0.0285431107690983	0.4753196209198541	0.9462879640044994	0.8789370078740157	4.586949810847869e-47	12981	2.1941141685520685e-23	1121	9	3559	3559	-0.18677452	0.2222222222222222	0.7777777777777778	-0.1340472661484839	0.416680607660486	0.8982860354032032	0.8392806968249509	8.94679377324161e-14	6184	1.5959655344960975e-74	1635	0.28466796875	0.004726409912109375	0.29270124435424805	0.048828125
RPS27A	down	True	-0.36129367	-0.036914676	12	1167	1167	-0.036914676	0.4166666666666667	0.5833333333333334	0.0709199556827431	0.4098869291109628	0.9734361610968296	0.8251928020565553	8.527479853715233e-36	2099	1.927751870675761e-43	406	19	6076	6076	-0.18898308	0.1052631578947368	0.8947368421052632	-0.1442989842010877	0.4019811215063442	0.977287689269256	0.9702106649111256	0.0066816446341394	11795	4.520193478568024e-102	2732	21	7112	7112	-0.09758858	0.3333333333333333	0.6666666666666666	-0.0086179109628456	0.4612834334087035	0.9798931383577052	0.9423509561304836	1.3537993223442625e-32	13664	3.4996326213826267e-50	2457	9	3559	3559	-0.36129367	0.2222222222222222	0.7777777777777778	-0.389708654953556	0.3365587095579269	0.9485810620960944	0.9317223939308794	0.0015781580640971	6692	1.1297252623904432e-197	1537	0.3955078125	0.000133514404296875	0.05967092514038086	0.009765625
RPL3	down	True	-0.18237394	-0.036326554	12	1167	1167	-0.036326554	0.5	0.5	0.142720507402005	0.4478896591425586	0.9700085689802912	0.8097686375321337	2.1965912688045874e-38	2077	8.738438623984376e-36	327	19	6076	6076	-0.15416563	0.2105263157894736	0.7894736842105263	-0.1423819017872238	0.408833714685305	0.9590190915075708	0.946840026333114	0.0006861549517537	11574	2.3399748910980783e-79	3330	21	7112	7112	-0.110183194	0.3333333333333333	0.6666666666666666	-0.037134160743339	0.4650408564209985	0.9607705286839144	0.9124015748031497	3.630292243485164e-33	13322	4.5204682296766816e-30	5821	9	3559	3559	-0.18237394	0.1111111111111111	0.8888888888888888	-0.23171701202229	0.3853165295080772	0.9289126159033436	0.8999719022197247	7.4173916481188435e-06	6509	2.762924632190735e-100	1362	0.425048828125	0.004116058349609375	0.055529117584228516	0.005859375
RPL6	down	True	-0.15582433	-0.030557044	12	1167	1167	-0.0781652	0.4166666666666667	0.5833333333333334	0.0497644111445887	0.4433334875309221	0.9562982005141388	0.8140531276778064	9.607637819192635e-29	2066	1.4875796331329538e-31	372	19	6076	6076	-0.15582433	0.2105263157894736	0.7894736842105263	-0.1315861426972402	0.4154728605536801	0.955562870309414	0.9386109282422648	1.7280089440995128e-05	11509	2.619067652506953e-87	2459	21	7112	7112	-0.1410785	0.3333333333333333	0.6666666666666666	-0.0655779869382233	0.4484483104808046	0.9557086614173228	0.8969347581552306	2.9755728848389e-42	13173	4.177892858650559e-50	4940	9	3559	3559	-0.030557044	0.4444444444444444	0.5555555555555556	-0.0526239488604591	0.4467057188180363	0.8817083450407418	0.8125878055633605	2.767807600018968e-16	6030	4.717972403160888e-44	851	0.2119140625	0.0011997222900390625	0.05967092514038086	0.326171875
RPS2	down	True	-0.2368566	-0.023853784	12	1167	1167	-0.023853784	0.5	0.5	0.0992811411286265	0.4429406508166231	0.974293059125964	0.8577549271636675	3.4681154470012025e-26	2138	4.440959226545893e-24	344	19	6076	6076	-0.084593736	0.1578947368421052	0.8421052631578947	-0.1414937895758203	0.4275049098298879	0.9756418696510862	0.9670836076366032	0.0006387170235497	11095	8.074060272812218e-106	977	21	7112	7112	-0.2368566	0.4285714285714285	0.5714285714285714	-0.1226253202123106	0.4446493102169878	0.9728627671541056	0.9437570303712036	1.0797946915225938e-18	13628	6.197414055669082e-47	6342	9	3559	3559	-0.03907474	0.4444444444444444	0.5555555555555556	-0.0341085152769511	0.4532857626360471	0.9041865692610284	0.8415285192469795	4.865268835602383e-16	6210	5.350111870456972e-38	1282	0.6044921875	0.018033981323242188	0.044399261474609375	0.3671875
