input_list	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
down_3	GO_Biological_Process_2023	Peptide Biosynthetic Process (GO:0043043)	7/158	1.3344852919404876e-14	7.473117634866733e-13	0	0	919.7814569536424	29384.852047033877	EEF1A1;RPS15A;RPL3;RPL13;RPS3A;RPL26;RPS27A
down_3	GO_Biological_Process_2023	Macromolecule Biosynthetic Process (GO:0009059)	7/183	3.7975182727356256e-14	1.0633051163659753e-12	0	0	788.1363636363636	24354.86659306692	EEF1A1;RPS15A;RPL3;RPL13;RPS3A;RPL26;RPS27A
down_3	GO_Biological_Process_2023	Translation (GO:0006412)	7/234	2.17266921569407e-13	3.3376328873711426e-12	0	0	609.4933920704846	17771.39484724365	EEF1A1;RPS15A;RPL3;RPL13;RPS3A;RPL26;RPS27A
down_3	GO_Biological_Process_2023	Cytoplasmic Translation (GO:0002181)	6/93	2.384023490979388e-13	3.3376328873711426e-12	0	0	686.3793103448276	19949.488777441376	RPS15A;RPL3;RPL13;RPS3A;RPL26;RPS27A
down_3	GO_Biological_Process_2023	Gene Expression (GO:0010467)	7/296	1.1446001395143539e-12	1.2819521562560764e-11	0	0	477.2352941176471	13122.045307976256	EEF1A1;RPS15A;RPL3;RPL13;RPS3A;RPL26;RPS27A
down_3	GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	3/118	1.0971862290590363e-05	0.00010240404804551008	0	0	103.70608695652174	1184.341820896359	RPS15A;RPS3A;RPL26
down_3	GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	3/155	2.484719345385765e-05	0.0001987775476308612	0	0	78.3157894736842	830.3639704162192	RPS15A;RPS3A;RPL26
down_3	GO_Biological_Process_2023	Ribosomal Small Subunit Biogenesis (GO:0042274)	2/84	0.00048010630537338055	0.0033607441376136	0	0	80.9349593495935	618.4647354076805	RPS15A;RPS3A
down_3	GO_Biological_Process_2023	Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Transcription Of P21 Class Mediator (GO:1902162)	1/5	0.0019985634316589	0.0111919552172903	0	0	713.8571428571429	4436.855317641398	RPL26
down_3	GO_Biological_Process_2023	Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902255)	1/5	0.0019985634316589	0.0111919552172903	0	0	713.8571428571429	4436.855317641398	RPL26
down_3	GO_Biological_Process_2023	Regulation Of Chaperone-Mediated Autophagy (GO:1904714)	1/7	0.002797015027105	0.0142393492288984	0	0	475.8571428571428	2797.6605002155425	EEF1A1
down_3	GO_Biological_Process_2023	Modification-Dependent Macromolecule Catabolic Process (GO:0043632)	1/8	0.0031960315919264	0.0149148140956566	0	0	407.8571428571428	2343.484074395589	RPS27A
down_3	GO_Biological_Process_2023	Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:1902165)	1/13	0.0051890223794998	0.0223371021838509	0	0	237.8571428571429	1251.416370420653	RPL26
down_3	GO_Biological_Process_2023	Positive Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043517)	1/15	0.0059852428364459	0.0223371021838509	0	0	203.8571428571429	1043.434298452164	RPL26
down_3	GO_Biological_Process_2023	Cellular Response To Gamma Radiation (GO:0071480)	1/16	0.0063831440708516	0.0223371021838509	0	0	190.25714285714287	961.5775796687342	RPL26
down_3	GO_Biological_Process_2023	DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)	1/17	0.0067809060200976	0.0223371021838509	0	0	178.35714285714286	890.6521752159383	RPL26
down_3	GO_Biological_Process_2023	Positive Regulation By Host Of Viral Process (GO:0044794)	1/17	0.0067809060200976	0.0223371021838509	0	0	178.35714285714286	890.6521752159383	EEF1A1
down_3	GO_Biological_Process_2023	Modulation By Host Of Viral Genome Replication (GO:0044827)	1/21	0.0083705616816055	0.0258414291453472	0	0	142.65714285714284	682.3340060288631	EEF1A1
down_3	GO_Biological_Process_2023	Response To Gamma Radiation (GO:0010332)	1/22	0.0087676277457428	0.0258414291453472	0	0	135.85714285714286	643.5130349149837	RPL26
down_3	GO_Biological_Process_2023	Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571)	1/26	0.0103545017362565	0.0286689942958655	0	0	114.09714285714286	521.4620402892078	RPL26
down_3	GO_Biological_Process_2023	Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364)	1/27	0.0107508728609495	0.0286689942958655	0	0	109.7032967032967	497.25962914000377	EEF1A1
down_3	GO_Biological_Process_2023	Response To Epidermal Growth Factor (GO:0070849)	1/30	0.0119391531667426	0.0303905716971631	0	0	98.33990147783253	435.442406227662	EEF1A1
down_3	GO_Biological_Process_2023	DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)	1/36	0.0143119685548053	0.0348465321334391	0	0	81.45714285714286	345.92071940977723	RPL26
down_3	GO_Biological_Process_2023	Translational Elongation (GO:0006414)	1/42	0.0166797975569068	0.0389195276327826	0	0	69.51567944250871	284.56639751252425	EEF1A1
down_3	GO_Biological_Process_2023	Bone Development (GO:0060348)	1/44	0.0174679673184287	0.0391282467932804	0	0	66.27574750830564	268.2435666902731	RPL13
down_3	GO_Biological_Process_2023	Cellular Response To Ionizing Radiation (GO:0071479)	1/52	0.0206151221986894	0.0443862875785199	0	0	55.85714285714285	216.82236865801656	RPL26
down_3	GO_Biological_Process_2023	Ribosomal Large Subunit Biogenesis (GO:0042273)	1/54	0.0214005315110721	0.0443862875785199	0	0	53.74393530997305	206.6099344884028	RPL26
