gene_a	gene_b	GSE123902__p	GSE123902__fold	GSE123902__k	GSE123902__draw	GSE131907__p	GSE131907__fold	GSE131907__k	GSE131907__draw	GSE205335__p	GSE205335__fold	GSE205335__k	GSE205335__draw	GSE189357__p	GSE189357__fold	GSE189357__k	GSE189357__draw	concordant_4of4
ELF3	JUN	2.2417422780052346e-189	1.6739562624254474	842	1006	1.822009338116563e-204	1.3430257058575643	3187	4746	0.0	1.5003521953510213	3195	4259	0.0	1.5539135194307607	2839	3654	False
ELF3	SOX4	1.153019320376014e-196	1.6807881773399014	853	1015	8.470156404064535e-225	1.3487616727568006	3322	4926	0.0	1.5207198673928486	3211	4223	0.0	1.6541650217133834	2095	2533	False
ELF3	TACSTD2	1.5386637107203368e-165	1.7959183673469388	660	735	0.0	1.5590318772136953	2641	3388	0.0	1.6954003407155025	2488	2935	0.0	1.6451195862960568	2545	3094	True
ELF3	MUC1	1.911479851048491e-189	1.6579710144927535	858	1035	3.947880229347244e-241	1.2904052538843505	4028	6243	3.4636556550217e-311	1.6301470588235294	2217	2720	0.0	1.6181318681318682	2356	2912	False
ELF3	GPRC5A	8.403290235187e-170	1.715922107674685	749	873	3.8073544931213746e-221	1.433972602739726	2617	3650	0.0	1.7384615384615385	2147	2470	0.0	1.6431054461181924	2127	2589	False
ELF3	CLDN3	7.46008887287026e-197	1.8127340823970037	726	801	1.0804196873698726e-247	1.569183595247221	2047	2609	2.6893100385973e-310	1.5269936969032611	2786	3649	0.0	1.7574099407204742	1927	2193	True
ELF3	ZFP36L1	5.254451048011815e-178	1.711135611907387	776	907	9.736962260158044e-196	1.287299630086313	3654	5677	0.0	1.5536046820963023	2920	3759	0.0	1.5889328063241106	2613	3289	False
ELF3	KRT19	3.0819385863748373e-212	1.693050193050193	877	1036	3.5272314181717645e-214	1.4607843137254901	2384	3264	1.9089206664527233e-286	1.4945924558164072	2833	3791	0.0	1.6085994309200127	2544	3163	False
ELF3	RHOB	3.4700583660831636e-179	1.70620239390642	784	919	5.318407624519284e-190	1.383043922369765	2708	3916	1.718938625e-315	1.569155446756426	2564	3268	0.0	1.593005728067531	2642	3317	False
ELF3	EPCAM	1.9030962106166767e-220	1.7193675889328064	870	1012	3.3868771633727205e-228	1.3597994149603008	3254	4786	3.5e-323	1.5184033177812337	2929	3858	0.0	1.6709451575262544	2148	2571	False
ELF3	APLP2	1.845873359915682e-210	1.697265625	869	1024	6.481698427469402e-227	1.3223963133640553	3587	5425	0.0	1.5710750618641738	2857	3637	0.0	1.625	2353	2896	False
ELF3	SPINT2	1.1955618149603141e-213	1.6963249516441006	877	1034	4.538435984952707e-222	1.3520893669838643	3268	4834	0.0	1.5107393172055166	3341	4423	0.0	1.6567474048442907	2394	2890	False
ELF3	ATF3	2.1790479875736846e-158	1.7184115523465704	714	831	1.2248177622099129e-180	1.3998875140607423	2489	3556	0.0	1.6119144013880855	2787	3458	0.0	1.5988334413480234	2467	3086	False
ELF3	CLDN7	4.038558118925239e-189	1.7385474860335195	778	895	1.4583782029694717e-273	1.3976719576719576	3302	4725	0.0	1.6814449917898193	2560	3045	0.0	1.7303689687795647	1829	2114	False
ELF3	TM4SF1	4.200040191787752e-160	1.6803551609322975	757	901	8.191457208393533e-115	1.6394052044609666	882	1076	2.2203253443648516e-270	1.603831417624521	2093	2610	0.0	1.6743801652892563	2026	2420	True
ELF3	IER2	5.452126583146103e-165	1.7879194630872484	666	745	2.2633653915703246e-217	1.4319559228650138	2599	3630	0.0	1.5398743354277429	3186	4138	0.0	1.5566361556064072	2721	3496	False
ELF3	TMBIM6	2.6115036867441588e-207	1.6482320942883046	909	1103	2.3813957535934076e-223	1.323381227841015	3546	5359	0.0	1.5368724477540237	3199	4163	0.0	1.5963930348258706	2567	3216	False
ELF3	LGALS3BP	1.2761374033276185e-202	1.6704761904761904	877	1050	6.571151068567839e-174	1.3642115920020248	2695	3951	0.0	1.6325136612021858	2390	2928	0.0	1.608254887762491	2221	2762	False
ELF3	CEBPD	6.815761699863014e-184	1.6782077393075356	824	982	3.4872519504030357e-146	1.2820199552026064	3148	4911	0.0	1.542000516929439	2983	3869	0.0	1.602832512315271	2603	3248	False
JUN	SOX4	5.105453130473806e-137	1.5231316725978647	856	1124	3.067544223680046e-178	1.3488372093023255	2871	4257	0.0	1.3114921934988482	5124	7814	1.4261970754581604e-244	1.4571523841280427	2185	2999	False
JUN	TACSTD2	1.847836809261854e-132	1.6997389033942558	651	766	3.2145849698961424e-244	1.5315315315315314	2210	2886	0.0	1.6224357309789665	3124	3851	0.0	1.5789163722025912	2681	3396	True
