graph	min_n_present	n_testable	n_p_lt_0.05	n_SpatialFDR_lt_0.1	n_perfect_rank	min_p	min_SpatialFDR
GSE205335	5	361	14	2	2	1.4042654220543602e-24	2.0862534514020413e-22
GSE205335	6	228	6	0	0	0.0136973266153256	0.8874800445370381
GSE205335	8	58	2	0	0	0.01490266768623	0.8874800445370381
GSE205335	10	13	0	0	0	0.0889534181359626	0.9494130709426672
GSE205335	12	1	0	0	0	0.7954145018538978	0.9494130709426672
GSE205335	15	0	0	0	0		
GSE131907_tLung	5	210	17	3	3	1.4042654220543602e-24	7.733650458394151e-23
GSE131907_tLung	6	103	6	0	0	0.0136973266153256	0.4323792393704611
GSE131907_tLung	8	9	0	0	0	0.1017330374542647	0.8342441672938892
GSE131907_tLung	10	1	0	0	0	0.7009318849100584	0.9332209182681444
GSE131907_tLung	12	0	0	0	0		
GSE131907_tLung	15	0	0	0	0		
GSE131907_tumor_no_brain	5	713	48	5	5	1.4042654220543602e-24	1.6298190785780657e-22
GSE131907_tumor_no_brain	6	467	32	0	0	0.0025194724037946	0.2480398090803946
GSE131907_tumor_no_brain	8	161	17	0	0	0.0037047773275858	0.2900561115582314
GSE131907_tumor_no_brain	10	52	1	0	0	0.020842853610945	0.6512529401602589
GSE131907_tumor_no_brain	12	8	0	0	0	0.0512655897864915	0.769959264436903
GSE131907_tumor_no_brain	15	0	0	0	0		
harmony_tumor_no_brain_plus_GSE205335	5	2227	144	3	2	1.4042654220543602e-24	1.5987780300317546e-21
harmony_tumor_no_brain_plus_GSE205335	6	1990	120	1	0	4.256164416841797e-06	0.0036854011419706
harmony_tumor_no_brain_plus_GSE205335	8	1377	73	1	0	4.256164416841797e-06	0.0036854011419706
harmony_tumor_no_brain_plus_GSE205335	10	799	41	0	0	0.0004846973921063	0.1515908255585313
harmony_tumor_no_brain_plus_GSE205335	12	374	13	0	0	0.0004846973921063	0.1515908255585313
harmony_tumor_no_brain_plus_GSE205335	15	104	5	0	0	0.0012109185847591	0.1981220568801883
