graph	n_units	n_scored	n_cells_not_n	n_nhoods	n_testable	n_p_lt_0.05	n_SpatialFDR_lt_0.1	n_SpatialFDR_lt_0.1_excluding_perfect_rank	n_perfect_rank_testable	n_SpatialFDR_lt_0.05	min_SpatialFDR	min_p	n_BH_FDR_lt_0.1
GSE205335	22	22	80790	5651	361	14	2	0	2	2	2.0862534514020413e-22	1.4042654220543602e-24	2
GSE131907_tLung	11	10	42776	2998	210	17	3	0	3	3	7.733650458394151e-23	1.4042654220543602e-24	3
GSE131907_tumor_no_brain	22	21	76094	5290	713	48	5	0	5	5	1.6298190785780657e-22	1.4042654220543602e-24	5
