interaction_name	axis	family	thesis_expect	cohort	patient	split	n_mal	n_high	n_low	n_tnk	prob_high	prob_low	pval_high	pval_low	detected	delta
JAM1_ITGAL_ITGB2	F11R	barrier_inhibitory	high>low	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
NECTIN2_TIGIT	NECTIN2-TIGIT	barrier_inhibitory	high>low	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
CDH1_ITGAE_ITGB7	CDH1	barrier_inhibitory	high>low	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
CDH1_KLRG1	CDH1	barrier_inhibitory	high>low	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
LGALS9_HAVCR2	LGALS9	barrier_inhibitory	high>low	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
LGALS9_CD44	LGALS9	barrier_inhibitory	high>low	GSE123902	LX255B	q4q1	228	57	57	1583	0	3.16463975637605e-05	NA	0	TRUE	-3.16463975637605e-05
LGALS9_CD45	LGALS9	barrier_inhibitory	high>low	GSE123902	LX255B	q4q1	228	57	57	1583	0	0.0001025806507567	NA	0	TRUE	-0.0001025806507567
CXCL9_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
CXCL10_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
CCL5_CCR5	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
CCL5_CCR1	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
HLA-A_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
HLA-B_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
HLA-C_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX255B	q4q1	228	57	57	1583	0	0	NA	NA	FALSE	0
JAM1_ITGAL_ITGB2	F11R	barrier_inhibitory	high>low	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
NECTIN2_TIGIT	NECTIN2-TIGIT	barrier_inhibitory	high>low	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CDH1_ITGAE_ITGB7	CDH1	barrier_inhibitory	high>low	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CDH1_KLRG1	CDH1	barrier_inhibitory	high>low	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
LGALS9_HAVCR2	LGALS9	barrier_inhibitory	high>low	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
LGALS9_CD44	LGALS9	barrier_inhibitory	high>low	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
LGALS9_CD45	LGALS9	barrier_inhibitory	high>low	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CXCL9_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CXCL10_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CCL5_CCR5	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CCL5_CCR1	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
HLA-A_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
HLA-B_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
HLA-C_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX255B	median	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
JAM1_ITGAL_ITGB2	F11R	barrier_inhibitory	high>low	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
NECTIN2_TIGIT	NECTIN2-TIGIT	barrier_inhibitory	high>low	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CDH1_ITGAE_ITGB7	CDH1	barrier_inhibitory	high>low	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CDH1_KLRG1	CDH1	barrier_inhibitory	high>low	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
LGALS9_HAVCR2	LGALS9	barrier_inhibitory	high>low	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
LGALS9_CD44	LGALS9	barrier_inhibitory	high>low	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
LGALS9_CD45	LGALS9	barrier_inhibitory	high>low	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CXCL9_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CXCL10_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CCL5_CCR5	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
CCL5_CCR1	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
HLA-A_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
HLA-B_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
HLA-C_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX255B	pctpos	228	80	148	1583	NA	NA	NA	NA	FALSE	NA
JAM1_ITGAL_ITGB2	F11R	barrier_inhibitory	high>low	GSE123902	LX653	q4q1	145	36	36	49	0	0	NA	NA	FALSE	0
NECTIN2_TIGIT	NECTIN2-TIGIT	barrier_inhibitory	high>low	GSE123902	LX653	q4q1	145	36	36	49	0	0	NA	NA	FALSE	0
CDH1_ITGAE_ITGB7	CDH1	barrier_inhibitory	high>low	GSE123902	LX653	q4q1	145	36	36	49	0	0	NA	NA	FALSE	0
CDH1_KLRG1	CDH1	barrier_inhibitory	high>low	GSE123902	LX653	q4q1	145	36	36	49	0	0	NA	NA	FALSE	0
LGALS9_HAVCR2	LGALS9	barrier_inhibitory	high>low	GSE123902	LX653	q4q1	145	36	36	49	0.000437714818014886	0	0	NA	TRUE	0.000437714818014886
LGALS9_CD44	LGALS9	barrier_inhibitory	high>low	GSE123902	LX653	q4q1	145	36	36	49	0.0031117148520798	0	0	NA	TRUE	0.0031117148520798
LGALS9_CD45	LGALS9	barrier_inhibitory	high>low	GSE123902	LX653	q4q1	145	36	36	49	0.00346638982433441	0	0	NA	TRUE	0.00346638982433441
CXCL9_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX653	q4q1	145	36	36	49	0	0	NA	NA	FALSE	0
CXCL10_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX653	q4q1	145	36	36	49	0	0	NA	NA	FALSE	0
CCL5_CCR5	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX653	q4q1	145	36	36	49	0	0	NA	NA	FALSE	0
CCL5_CCR1	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX653	q4q1	145	36	36	49	0	0	NA	NA	FALSE	0
HLA-A_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX653	q4q1	145	36	36	49	0.0143083682534334	0.0132753017422698	0	0	TRUE	0.00103306651116352
HLA-B_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX653	q4q1	145	36	36	49	0.015309669876411	0.0137426241903985	0	0	TRUE	0.00156704568601241
HLA-C_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX653	q4q1	145	36	36	49	0.012848742810665	0.00996323157680577	0	0	TRUE	0.00288551123385922
JAM1_ITGAL_ITGB2	F11R	barrier_inhibitory	high>low	GSE123902	LX653	median	145	71	74	49	0	0	NA	NA	FALSE	0
NECTIN2_TIGIT	NECTIN2-TIGIT	barrier_inhibitory	high>low	GSE123902	LX653	median	145	71	74	49	0	0	NA	NA	FALSE	0
CDH1_ITGAE_ITGB7	CDH1	barrier_inhibitory	high>low	GSE123902	LX653	median	145	71	74	49	0	0	NA	NA	FALSE	0
CDH1_KLRG1	CDH1	barrier_inhibitory	high>low	GSE123902	LX653	median	145	71	74	49	0	0	NA	NA	FALSE	0
LGALS9_HAVCR2	LGALS9	barrier_inhibitory	high>low	GSE123902	LX653	median	145	71	74	49	0.000175062310275696	0.000132613081921998	0	0	TRUE	4.24492283536982e-05
LGALS9_CD44	LGALS9	barrier_inhibitory	high>low	GSE123902	LX653	median	145	71	74	49	0	0	NA	NA	FALSE	0
LGALS9_CD45	LGALS9	barrier_inhibitory	high>low	GSE123902	LX653	median	145	71	74	49	0.0014033175524954	0.00106692040109689	0	0	TRUE	0.000336397151398511
CXCL9_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX653	median	145	71	74	49	0	0	NA	NA	FALSE	0
CXCL10_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX653	median	145	71	74	49	0	0	NA	NA	FALSE	0
CCL5_CCR5	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX653	median	145	71	74	49	0	0	NA	NA	FALSE	0
CCL5_CCR1	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX653	median	145	71	74	49	0	0	NA	NA	FALSE	0
HLA-A_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX653	median	145	71	74	49	0.0112195154526547	0.0118412067679966	0	0	TRUE	-0.000621691315341927
HLA-B_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX653	median	145	71	74	49	0.0118969135493921	0.0125700452155852	0	0	TRUE	-0.000673131666193047
HLA-C_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX653	median	145	71	74	49	0.0102756698216512	0.00958528861805794	0	0	TRUE	0.000690381203593222
JAM1_ITGAL_ITGB2	F11R	barrier_inhibitory	high>low	GSE123902	LX653	pctpos	145	104	41	49	0	0	NA	NA	FALSE	0
NECTIN2_TIGIT	NECTIN2-TIGIT	barrier_inhibitory	high>low	GSE123902	LX653	pctpos	145	104	41	49	0	0	NA	NA	FALSE	0
CDH1_ITGAE_ITGB7	CDH1	barrier_inhibitory	high>low	GSE123902	LX653	pctpos	145	104	41	49	0	0	NA	NA	FALSE	0
CDH1_KLRG1	CDH1	barrier_inhibitory	high>low	GSE123902	LX653	pctpos	145	104	41	49	0	0	NA	NA	FALSE	0
LGALS9_HAVCR2	LGALS9	barrier_inhibitory	high>low	GSE123902	LX653	pctpos	145	104	41	49	0.000364800040628001	0	0	NA	TRUE	0.000364800040628001
LGALS9_CD44	LGALS9	barrier_inhibitory	high>low	GSE123902	LX653	pctpos	145	104	41	49	0	0	NA	NA	FALSE	0
LGALS9_CD45	LGALS9	barrier_inhibitory	high>low	GSE123902	LX653	pctpos	145	104	41	49	0.00290791464909457	0	0	NA	TRUE	0.00290791464909457
CXCL9_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX653	pctpos	145	104	41	49	0	0	NA	NA	FALSE	0
CXCL10_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX653	pctpos	145	104	41	49	0	0	NA	NA	FALSE	0
CCL5_CCR5	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX653	pctpos	145	104	41	49	0	0	NA	NA	FALSE	0
CCL5_CCR1	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX653	pctpos	145	104	41	49	0	0	NA	NA	FALSE	0
HLA-A_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX653	pctpos	145	104	41	49	0.0166483466928614	0.00595114161184346	0	0	TRUE	0.0106972050810179
HLA-B_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX653	pctpos	145	104	41	49	0.0175926398128297	0.00636283668909654	0	0	TRUE	0.0112298031237332
HLA-C_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	GSE123902	LX653	pctpos	145	104	41	49	0.0151880812520586	0.00437238605501054	0	0	TRUE	0.010815695197048
JAM1_ITGAL_ITGB2	F11R	barrier_inhibitory	high>low	GSE123902	LX661	q4q1	117	29	29	3726	0.000248641791881467	2.89828388239419e-05	0	0	TRUE	0.000219658953057525
NECTIN2_TIGIT	NECTIN2-TIGIT	barrier_inhibitory	high>low	GSE123902	LX661	q4q1	117	29	29	3726	0.000141539035804195	5.92766433288897e-05	0	0	TRUE	8.22623924753053e-05
CDH1_ITGAE_ITGB7	CDH1	barrier_inhibitory	high>low	GSE123902	LX661	q4q1	117	29	29	3726	0.000209127727042206	0	0	NA	TRUE	0.000209127727042206
CDH1_KLRG1	CDH1	barrier_inhibitory	high>low	GSE123902	LX661	q4q1	117	29	29	3726	0	0	NA	NA	FALSE	0
LGALS9_HAVCR2	LGALS9	barrier_inhibitory	high>low	GSE123902	LX661	q4q1	117	29	29	3726	0	0	NA	NA	FALSE	0
LGALS9_CD44	LGALS9	barrier_inhibitory	high>low	GSE123902	LX661	q4q1	117	29	29	3726	0	0	NA	NA	FALSE	0
LGALS9_CD45	LGALS9	barrier_inhibitory	high>low	GSE123902	LX661	q4q1	117	29	29	3726	0	0	NA	NA	FALSE	0
CXCL9_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX661	q4q1	117	29	29	3726	0	0	NA	NA	FALSE	0
CXCL10_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	GSE123902	LX661	q4q1	117	29	29	3726	0	0	NA	NA	FALSE	0
CCL5_CCR5	CCL5	ifn_recruit_mhci	low>high	GSE123902	LX661	q4q1	117	29	29	3726	0	0	NA	NA	FALSE	0
