sample,group,total_counts
Con_1,Control,9512880.0
Con_2,Control,7960963.0
Con_3,Control,9672001.0
Pem_1,Pembro,9469258.0
Pem_2,Pembro,8515710.0
Pem_3,Pembro,8310928.0
BJ_1,BJIKT,8237720.0
BJ_2,BJIKT,10195079.0
BJ_3,BJIKT,9757468.0
Combi_1,Combo,10940364.0
Combi_2,Combo,8835402.0
Combi_3,Combo,9675596.0
