dataset,subset,gene_x,gene_y,spearman_rho,approx_p,x_zeros,y_zeros,caveat
GSE260575,all_n12,TACSTD2,CD8A,NA,NA,12,5,bulk_cpm_not_nest
GSE260575,all_n12,TACSTD2,CD8B,NA,NA,12,11,bulk_cpm_not_nest
GSE260575,all_n12,TACSTD2,CD3D,NA,NA,12,9,bulk_cpm_not_nest
GSE260575,all_n12,CLDN4,CD8A,-0.2248,0.4824,0,5,bulk_cpm_not_nest
GSE260575,all_n12,CLDN4,CD8B,-0.3057,0.3339,0,11,bulk_cpm_not_nest
GSE260575,all_n12,CLDN4,CD3D,-0.4498,0.1424,0,9,bulk_cpm_not_nest
GSE260575,all_n12,CLDN4,PTPRC,0.2535,0.4266,0,3,bulk_cpm_not_nest
GSE260575,all_n12,KRT8,CD8A,-0.1305,0.686,0,5,bulk_cpm_not_nest
GSE260575,all_n12,EPCAM,CD8A,-0.2397,0.453,2,5,bulk_cpm_not_nest
GSE276724,all_n15,TACSTD2,CD8A,-0.2571,0.3549,0,0,bulk_cpm_not_nest
GSE276724,all_n15,TACSTD2,CD8B,-0.5250,0.04448,0,1,bulk_cpm_not_nest
GSE276724,all_n15,TACSTD2,CD3D,0.1500,0.5936,0,0,bulk_cpm_not_nest
GSE276724,all_n15,TACSTD2,PTPRC,0.0536,0.8496,0,0,bulk_cpm_not_nest
GSE276724,all_n15,CLDN4,CD8A,-0.3536,0.1961,0,0,bulk_cpm_not_nest
GSE276724,all_n15,CLDN4,CD8B,-0.4857,0.06643,0,1,bulk_cpm_not_nest
GSE276724,all_n15,CLDN4,CD3D,0.0000,1,0,0,bulk_cpm_not_nest
GSE276724,all_n15,CLDN4,PTPRC,-0.1357,0.6296,0,0,bulk_cpm_not_nest
GSE276724,all_n15,EPCAM,CD8A,-0.3536,0.1961,0,0,bulk_cpm_not_nest
GSE276724,all_n15,KRT8,CD8A,-0.4500,0.09236,0,0,bulk_cpm_not_nest
GSE276724,all_n15_resid_log1pEPCAM,TACSTD2,CD8A,-0.3000,0.2773,0,0,purity_residual_still_not_nest
GSE276724,all_n15_resid_log1pEPCAM,CLDN4,CD8A,-0.4714,0.07607,0,0,purity_residual_still_not_nest
GSE276724,all_n15_resid_log1pEPCAM,TACSTD2,CD8B,-0.5964,0.01893,0,0,purity_residual_still_not_nest
GSE276724,all_n15_resid_log1pEPCAM,CLDN4,CD8B,-0.4750,0.07357,0,0,purity_residual_still_not_nest
GSE276724,drop_epithelial_dropout_n14,TACSTD2,CD8A,-0.0857,0.7708,0,0,bulk_cpm_not_nest
GSE276724,drop_epithelial_dropout_n14,TACSTD2,CD8B,-0.4154,0.1397,0,1,bulk_cpm_not_nest
GSE276724,drop_epithelial_dropout_n14,TACSTD2,CD3D,0.4154,0.1397,0,0,bulk_cpm_not_nest
GSE276724,drop_epithelial_dropout_n14,TACSTD2,PTPRC,0.2967,0.303,0,0,bulk_cpm_not_nest
GSE276724,drop_epithelial_dropout_n14,CLDN4,CD8A,-0.2044,0.4833,0,0,bulk_cpm_not_nest
GSE276724,drop_epithelial_dropout_n14,CLDN4,CD8B,-0.3670,0.1967,0,1,bulk_cpm_not_nest
GSE276724,drop_epithelial_dropout_n14,CLDN4,CD3D,0.2308,0.4273,0,0,bulk_cpm_not_nest
GSE276724,drop_epithelial_dropout_n14,CLDN4,PTPRC,0.0637,0.8286,0,0,bulk_cpm_not_nest
GSE276724,drop_epithelial_dropout_n14,EPCAM,CD8A,-0.2044,0.4833,0,0,bulk_cpm_not_nest
GSE276724,drop_epithelial_dropout_n14,KRT8,CD8A,-0.3231,0.2599,0,0,bulk_cpm_not_nest
GSE276724,drop_epithelial_dropout_n14_resid_log1pEPCAM,TACSTD2,CD8A,-0.0989,0.7366,0,0,purity_residual_still_not_nest
GSE276724,drop_epithelial_dropout_n14_resid_log1pEPCAM,CLDN4,CD8A,-0.3670,0.1967,0,0,purity_residual_still_not_nest
GSE276724,drop_epithelial_dropout_n14_resid_log1pEPCAM,TACSTD2,CD8B,-0.6396,0.01378,0,0,purity_residual_still_not_nest
GSE276724,drop_epithelial_dropout_n14_resid_log1pEPCAM,CLDN4,CD8B,-0.3890,0.1692,0,0,purity_residual_still_not_nest
