interaction_name	pathway_name	annotation	direction	ligand	receptor	ligand_genes	receptor_genes	ligand_class	prob_high	prob_low	delta_prob	pval_high	pval_low	sig_high	sig_low	contrast	dataset	kept_split
CD8A_CEACAM5	CEACAM	Cell-Cell Contact	incoming	CD8A	CEACAM5	CD8A	CEACAM5	other	0.0922679369975124	0.0	0.0922679369975124	0.0099009900990099	1.0	True	False	incoming	GSE148071	median (eligible 25)
GZMA_PARD3	PARs	Secreted Signaling	incoming	GZMA	PARD3	GZMA	PARD3	other	0.2851499613268907	0.2306942847000467	0.054455676626844	0.0099009900990099	1.0	True	False	incoming	GSE148071	median (eligible 25)
SEMA4D_PLXNB2	SEMA4	Cell-Cell Contact	incoming	SEMA4D	PLXNB2	SEMA4D	PLXNB2	other	0.0079245609751345	0.0039427644563456	0.0039817965187889	0.0099009900990099	1.0	True	False	incoming	GSE148071	median (eligible 25)
CD6_ALCAM	CD6	Cell-Cell Contact	incoming	CD6	ALCAM	CD6	ALCAM	other	0.0022850525319139	0.0019063116768205	0.0003787408550934	0.0099009900990099	1.0	True	False	incoming	GSE148071	median (eligible 25)
MIF_CD74_CD44	MIF	Secreted Signaling	incoming	MIF	CD74_CD44	MIF	CD44|CD74	other	0.0026230438205383	0.0024957106733327	0.0001273331472056	0.0396039603960396	1.0	True	False	incoming	GSE148071	median (eligible 25)
MIF_ACKR3	MIF	Secreted Signaling	incoming	MIF	ACKR3	MIF	ACKR3	other	0.0	9.420267529078248e-05	-9.420267529078248e-05	1.0	0.0099009900990099	False	True	incoming	GSE148071	median (eligible 25)
CD46_JAG1	CD46	Cell-Cell Contact	incoming	CD46	JAG1	CD46	JAG1	other	0.0037432786390372	0.0078767021080452	-0.004133423469008	1.0	0.0099009900990099	False	True	incoming	GSE148071	median (eligible 25)
TNF_TNFRSF1A	TNF	Secreted Signaling	incoming	TNF	TNFRSF1A	TNF	TNFRSF1A	attack	0.0332784048693466	0.0424202575435548	-0.0091418526742082	1.0	0.0099009900990099	False	True	incoming	GSE148071	median (eligible 25)
SPP1_ITGAV_ITGB1	SPP1	Secreted Signaling	incoming	SPP1	ITGAV_ITGB1	SPP1	ITGAV|ITGB1	other	0.0324149670809001	0.042889063608524	-0.0104740965276238	1.0	0.0099009900990099	False	True	incoming	GSE148071	median (eligible 25)
CD99_CD99	CD99	Cell-Cell Contact	incoming	CD99	CD99	CD99	CD99	other	0.3082781489652595	0.3188559252228923	-0.0105777762576327	0.99009900990099	0.0198019801980198	False	True	incoming	GSE148071	median (eligible 25)
PPIA_BSG	CypA	Secreted Signaling	incoming	PPIA	BSG	PPIA	BSG	other	0.4911393948809363	0.5045585958091164	-0.0134192009281801	0.99009900990099	0.0198019801980198	False	True	incoming	GSE148071	median (eligible 25)
SPP1_CD44	SPP1	Secreted Signaling	incoming	SPP1	CD44	SPP1	CD44	other	0.0684595645174767	0.0848305712263572	-0.0163710067088805	1.0	0.0099009900990099	False	True	incoming	GSE148071	median (eligible 25)
CD96_NECTIN1	CD96	Cell-Cell Contact	incoming	CD96	NECTIN1	CD96	NECTIN1	other	0.098547818290769	0.1360725841319348	-0.0375247658411657	1.0	0.0099009900990099	False	True	incoming	GSE148071	median (eligible 25)
LGALS9_CD45	GALECTIN	Secreted Signaling	outgoing	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	0.0950989355171285	0.0	0.0950989355171285	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
MDK_NCL	MK	Secreted Signaling	outgoing	MDK	NCL	MDK	NCL	other	0.7334560575644592	0.6698899671842016	0.0635660903802576	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
