interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_class	delta_prob_148071	delta_prob_207422	mean_delta	min_abs_delta	prob_high_148071	prob_low_148071	prob_high_207422	prob_low_207422	pval_high_148071	pval_high_207422	kept_split_148071	kept_split_207422	both_sig_same_dir
CD8A_CEACAM5	incoming	CEACAM	Cell-Cell Contact	CD8A	CEACAM5	other	0.0922679369975124	0.2518795693529972	0.1720737531752548	0.0922679369975124	0.0922679369975124	0.0	0.2859893876066307	0.0341098182536334	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
GZMA_PARD3	incoming	PARs	Secreted Signaling	GZMA	PARD3	other	0.054455676626844	0.0240499895984112	0.0392528331126276	0.0240499895984112	0.2851499613268907	0.2306942847000467	0.5925801054679362	0.568530115869525	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
SEMA4D_PLXNB2	incoming	SEMA4	Cell-Cell Contact	SEMA4D	PLXNB2	other	0.0039817965187889	0.0467038118941156	0.025342804206452248	0.0039817965187889	0.0079245609751345	0.0039427644563456	0.3441564036451306	0.297452591751015	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
CD6_ALCAM	incoming	CD6	Cell-Cell Contact	CD6	ALCAM	other	0.0003787408550934	0.0224832865218535	0.01143101368847345	0.0003787408550934	0.0022850525319139	0.0019063116768205	0.387341299379822	0.3648580128579685	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
TNF_TNFRSF1A	incoming	TNF	Secreted Signaling	TNF	TNFRSF1A	attack	-0.0091418526742082	-0.0016105075579048	-0.0053761801160565	0.0016105075579048	0.0332784048693466	0.0424202575435548	0.0132321779180342	0.0148426854759391	1.0	1.0	median (eligible 25)	median_post (12 post)	True
NECTIN2_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	barrier|inhibitory	0.019893610677786	0.0957974792749735	0.05784554497637975	0.019893610677786	0.0337343064250932	0.0138406957473072	0.3822893481702409	0.2864918688952674	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
MDK_NCL	outgoing	MK	Secreted Signaling	MDK	NCL	other	0.0635660903802576	0.0231283579556706	0.0433472241679641	0.0231283579556706	0.7334560575644592	0.6698899671842016	0.6930177627030887	0.669889404747418	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
MDK_ITGA4_ITGB1	outgoing	MK	Secreted Signaling	MDK	ITGA4_ITGB1	other	0.0578937077915394	0.0265937879062221	0.04224374784888075	0.0265937879062221	0.2854935838468997	0.2275998760553603	0.5338672981805612	0.5072735102743391	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
ICAM1_ITGAL_ITGB2	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL_ITGB2	other	0.0094119519045204	0.054220655072533	0.0318163034885267	0.0094119519045204	0.0576537835789382	0.0482418316744178	0.1524446026896865	0.0982239476171534	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
CD55_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	CD55	ADGRE5	other	0.0194098447955669	0.0423962792727892	0.03090306203417805	0.0194098447955669	0.0772397597511771	0.0578299149556101	0.3357899621498365	0.2933936828770472	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
ICAM1_ITGAL	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL	other	0.0060070909606088	0.0521398413079292	0.029073466134269	0.0060070909606088	0.0361087728263259	0.0301016818657171	0.145866871487261	0.0937270301793317	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
ICAM1_SPN	outgoing	ICAM	Cell-Cell Contact	ICAM1	SPN	other	0.0062929914389808	0.0434952900954043	0.02489414076719255	0.0062929914389808	0.0378855639374536	0.0315925724984728	0.1193265068991679	0.0758312168037636	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
HLA-E_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8A	inhibitory	0.0305226506338512	0.0081399925454898	0.0193313215896705	0.0081399925454898	0.2841340545834986	0.2536114039496474	0.8223421376135707	0.8142021450680809	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
HLA-F_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8A	inhibitory	0.0172463698122109	0.01273029013125	0.014988329971730451	0.01273029013125	0.0509429430841463	0.0336965732719353	0.59397670978288	0.5812464196516299	0.0099009900990099	0.0495049504950495	median (eligible 25)	median_post (12 post)	True
JAM1_ITGAL_ITGB2	outgoing	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	barrier	0.0124967365519384	0.0109260756071272	0.011711406079532801	0.0109260756071272	0.0810226081576971	0.0685258716057587	0.6991537160592977	0.6882276404521704	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
CXCL16_CXCR6	outgoing	CXCL	Secreted Signaling	CXCL16	CXCR6	recruit	0.0021754371041226	0.0193057617337562	0.0107405994189394	0.0021754371041226	0.0030517312892881	0.0008762941851655	0.1448394996635509	0.1255337379297946	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
HLA-E_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8B	inhibitory	0.0055196678719886	0.0134956874321261	0.00950767765205735	0.0055196678719886	0.0397088127438022	0.0341891448718136	0.4477865792472148	0.4342908918150887	0.0099009900990099	0.0099009900990099	median (eligible 25)	median_post (12 post)	True
HLA-F_CD8B	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8B	inhibitory	0.0019412764748714	0.0083986658127575	0.00516997114381445	0.0019412764748714	0.0055611188681433	0.0036198423932718	0.2039990181230093	0.1956003523102518	0.0099009900990099	0.0495049504950495	median (eligible 25)	median_post (12 post)	True
IGFBP3_TMEM219	outgoing	IGFBP	Secreted Signaling	IGFBP3	TMEM219	other	-0.0062433206387979	-0.0096359309529552	-0.007939625795876551	0.0062433206387979	0.0252687679835696	0.0315120886223675	0.0123830206353049	0.0220189515882601	1.0	1.0	median (eligible 25)	median_post (12 post)	True
ITGAV_ITGB1_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	ITGAV_ITGB1	ADGRE5	other	-0.0101401217004439	-0.0091733300246057	-0.0096567258625248	0.0091733300246057	0.0313351022321145	0.0414752239325584	0.3107417042581072	0.3199150342827129	1.0	0.9702970297029704	median (eligible 25)	median_post (12 post)	True
PPIA_BSG	outgoing	CypA	Secreted Signaling	PPIA	BSG	other	-0.0080259063668796	-0.0160129976568225	-0.012019452011851051	0.0080259063668796	0.1585048503226015	0.1665307566894811	0.5306440173045823	0.5466570149614048	1.0	1.0	median (eligible 25)	median_post (12 post)	True
MIF_CD74_CXCR4	outgoing	MIF	Secreted Signaling	MIF	CD74_CXCR4	other	-0.0637388677069691	-0.0090967153390686	-0.03641779152301885	0.0090967153390686	0.1933607110022923	0.2570995787092615	0.0	0.0090967153390686	1.0	1.0	median (eligible 25)	median_post (12 post)	True
MIF_CD74_CD44	outgoing	MIF	Secreted Signaling	MIF	CD74_CD44	other	-0.0732184448552566	-0.0061761322369416	-0.0396972885460991	0.0061761322369416	0.240412717554067	0.3136311624093237	0.0	0.0061761322369416	1.0	1.0	median (eligible 25)	median_post (12 post)	True
LAMA3_CD44	outgoing	LAMININ	ECM-Receptor	LAMA3	CD44	other	-0.0261537900554719	-0.0600735155689902	-0.04311365281223105	0.0261537900554719	0.0	0.0261537900554719	0.1568249066539005	0.2168984222228907	1.0	1.0	median (eligible 25)	median_post (12 post)	True
