interaction_name	pathway_name_148071	annotation_148071	direction	ligand_148071	receptor_148071	ligand_genes_148071	receptor_genes_148071	ligand_class_148071	prob_high_148071	prob_low_148071	delta_prob_148071	pval_high_148071	pval_low_148071	sig_high_148071	sig_low_148071	contrast_148071	dataset_148071	kept_split_148071	pathway_name_207422	annotation_207422	ligand_207422	receptor_207422	ligand_genes_207422	receptor_genes_207422	ligand_class_207422	prob_high_207422	prob_low_207422	delta_prob_207422	pval_high_207422	pval_low_207422	sig_high_207422	sig_low_207422	contrast_207422	dataset_207422	kept_split_207422	in_148071	in_207422	same_sign	both_sig_same_dir	pathway_name	annotation	ligand	receptor	ligand_class	contrast	mean_delta	min_abs_delta
NECTIN2_TIGIT	NECTIN	Cell-Cell Contact	outgoing	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	0.0337343064250932	0.0138406957473072	0.019893610677786	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	0.3822893481702409	0.2864918688952674	0.0957974792749735	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	barrier|inhibitory	outgoing	0.05784554497637975	0.019893610677786
MDK_NCL	MK	Secreted Signaling	outgoing	MDK	NCL	MDK	NCL	other	0.7334560575644592	0.6698899671842016	0.0635660903802576	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	0.6930177627030887	0.669889404747418	0.0231283579556706	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	MK	Secreted Signaling	MDK	NCL	other	outgoing	0.0433472241679641	0.0231283579556706
MDK_ITGA4_ITGB1	MK	Secreted Signaling	outgoing	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	0.2854935838468997	0.2275998760553603	0.0578937077915394	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	MK	Secreted Signaling	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	0.5338672981805612	0.5072735102743391	0.0265937879062221	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	MK	Secreted Signaling	MDK	ITGA4_ITGB1	other	outgoing	0.04224374784888075	0.0265937879062221
ICAM1_ITGAL_ITGB2	ICAM	Cell-Cell Contact	outgoing	ICAM1	ITGAL_ITGB2	ICAM1	ITGAL|ITGB2	other	0.0576537835789382	0.0482418316744178	0.0094119519045204	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	ICAM	Cell-Cell Contact	ICAM1	ITGAL_ITGB2	ICAM1	ITGAL|ITGB2	other	0.1524446026896865	0.0982239476171534	0.054220655072533	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	ICAM	Cell-Cell Contact	ICAM1	ITGAL_ITGB2	other	outgoing	0.0318163034885267	0.0094119519045204
CD55_ADGRE5	ADGRE	Cell-Cell Contact	outgoing	CD55	ADGRE5	CD55	ADGRE5	other	0.0772397597511771	0.0578299149556101	0.0194098447955669	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	0.3357899621498365	0.2933936828770472	0.0423962792727892	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	ADGRE	Cell-Cell Contact	CD55	ADGRE5	other	outgoing	0.03090306203417805	0.0194098447955669
ICAM1_ITGAL	ICAM	Cell-Cell Contact	outgoing	ICAM1	ITGAL	ICAM1	ITGAL	other	0.0361087728263259	0.0301016818657171	0.0060070909606088	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	ICAM	Cell-Cell Contact	ICAM1	ITGAL	ICAM1	ITGAL	other	0.145866871487261	0.0937270301793317	0.0521398413079292	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	ICAM	Cell-Cell Contact	ICAM1	ITGAL	other	outgoing	0.029073466134269	0.0060070909606088
ICAM1_SPN	ICAM	Cell-Cell Contact	outgoing	ICAM1	SPN	ICAM1	SPN	other	0.0378855639374536	0.0315925724984728	0.0062929914389808	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	ICAM	Cell-Cell Contact	ICAM1	SPN	ICAM1	SPN	other	0.1193265068991679	0.0758312168037636	0.0434952900954043	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	ICAM	Cell-Cell Contact	ICAM1	SPN	other	outgoing	0.02489414076719255	0.0062929914389808
HLA-E_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-E	CD8A	HLA-E	CD8A	inhibitory	0.2841340545834986	0.2536114039496474	0.0305226506338512	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	MHC-I	Cell-Cell Contact	HLA-E	CD8A	HLA-E	CD8A	inhibitory	0.8223421376135707	0.8142021450680809	0.0081399925454898	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	MHC-I	Cell-Cell Contact	HLA-E	CD8A	inhibitory	outgoing	0.0193313215896705	0.0081399925454898
HLA-F_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-F	CD8A	HLA-F	CD8A	inhibitory	0.0509429430841463	0.0336965732719353	0.0172463698122109	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	MHC-I	Cell-Cell Contact	HLA-F	CD8A	HLA-F	CD8A	inhibitory	0.59397670978288	0.5812464196516299	0.01273029013125	0.0495049504950495	0.9603960396039604	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	MHC-I	Cell-Cell Contact	HLA-F	CD8A	inhibitory	outgoing	0.014988329971730451	0.01273029013125
JAM1_ITGAL_ITGB2	JAM	Cell-Cell Contact	outgoing	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	0.0810226081576971	0.0685258716057587	0.0124967365519384	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	0.6991537160592977	0.6882276404521704	0.0109260756071272	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	barrier	outgoing	0.011711406079532801	0.0109260756071272
