family	cohort	definition	n	rho	p	k	I2	ci95_lo	ci95_hi	method	n_deposited	n_eligible	note	stouffer_p	stouffer_z	fixed_rho	Q	tau2
primary_cellchat	GSE148071	marker_epi_mean vs TNK/all; eligible ≥25/25	25	0.18923076923076923	0.364968831611586	1	0.0	-0.222546920975591	0.5437135188367124	Spearman (patient unit)	42.0	25.0	putative malignant = epithelium					
primary_cellchat	GSE207422	marker_epi_mean vs TNK/all; post ≥25/25	12	0.034965034965034975	0.9140933424107599	1	0.0	-0.5499809757197732	0.5968969090708286	Spearman (patient unit)	15.0	12.0	12 post; 3 pre excluded in given CellChat					
primary_cellchat	GSE148071+GSE207422	marker_epi_mean vs TNK/all; eligible ≥25/25	37	0.14505593437650724	0.41600341665730367	2	0.0	-0.203077194575366	0.4606316412549912	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	57.0	37.0	DL RE; include 207422	0.4114702669795518	0.8213090273360878	0.14505593437650724	0.15655425508107107	0.0
cellchat_among_epi_tnk	GSE148071	marker_epi_mean vs TNK/(epi+TNK); ≥25/25	25	-0.024615384615384615	0.9070239485424344	1	0.0	-0.415709382967705	0.3741612577809129	Spearman (patient unit)								
cellchat_among_epi_tnk	GSE207422	marker_epi_mean vs TNK/(epi+TNK); post ≥25/25	12	0.14685314685314685	0.6487957097846665	1	0.0	-0.46636168998930155	0.6647383719296428	Spearman (patient unit)								
cellchat_among_epi_tnk	GSE148071+GSE207422	marker_epi_mean vs TNK/(epi+TNK); ≥25/25	37	0.025467277361822797	0.8872170780115018	2	0.0	-0.31542064812534615	0.36053367768128564	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)				0.8831266880377449	0.14700675562687784	0.025467277361822797	0.19015092209424786	0.0
given_tisch_drmref	GSE148071	TISCH locked eligible ≥20/20; CLDN4_epi_mean vs n_TNK/n_cells	25	0.13538461538461538	0.5187661950161317	1	0.0	-0.2744337391811345	0.5035825807866554	Spearman (patient unit)	42.0	25.0	given Q4 extract; 3 epithelial-like inside 25					
given_tisch_malignant	GSE148071	TISCH eligible and Malignant only	22	0.07961603613777528	0.7246926801743929	1	0.0	-0.3538779437469026	0.48495270719388267	Spearman (patient unit)		22.0						
given_tisch_drmref	GSE207422	author DRMref malignant mean vs frac_tnk; n=12 post	12	-0.09090909090909093	0.7787253962454419	1	0.0	-0.6318527237852697	0.5095875999008436	Spearman (patient unit)	15.0	12.0	given combo table; author malignant					
given_tisch_drmref	GSE148071+GSE207422	TISCH locked + author DRMref (given extracts)	37	0.07009180302884387	0.6958743898462569	2	0.0	-0.27458819993506517	0.39881021309485626	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)			sensitivity; mixed malignant definition	0.6949283635937373	0.3921757459255793	0.07009180302884387	0.3302286627212754	0.0
