interaction_name	pathway_name	annotation	direction	ligand	receptor	ligand_genes	receptor_genes	ligand_class	prob_high	prob_low	delta_prob	pval_high	pval_low	sig_high	sig_low	contrast	dataset	kept_split
CD8A_CEACAM5	CEACAM	Cell-Cell Contact	incoming	CD8A	CEACAM5	CD8A	CEACAM5	other	0.2859893876066307	0.0341098182536334	0.2518795693529972	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
SEMA4D_PLXNB2	SEMA4	Cell-Cell Contact	incoming	SEMA4D	PLXNB2	SEMA4D	PLXNB2	other	0.3441564036451306	0.297452591751015	0.0467038118941156	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
CD99_CD99	CD99	Cell-Cell Contact	incoming	CD99	CD99	CD99	CD99	other	0.691807742812046	0.6544762015078545	0.0373315413041915	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
GZMA_F2RL1	PARs	Secreted Signaling	incoming	GZMA	F2RL1	GZMA	F2RL1	other	0.0734454451566037	0.0424803989851067	0.030965046171497	0.0099009900990099	0.99009900990099	True	False	incoming	GSE207422	median_post (12 post)
GZMA_PARD3	PARs	Secreted Signaling	incoming	GZMA	PARD3	GZMA	PARD3	other	0.5925801054679362	0.568530115869525	0.0240499895984112	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
HLA-DPB1_CD4	MHC-II	Cell-Cell Contact	incoming	HLA-DPB1	CD4	HLA-DPB1	CD4	other	0.0229437392440087	0.0	0.0229437392440087	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
CD6_ALCAM	CD6	Cell-Cell Contact	incoming	CD6	ALCAM	CD6	ALCAM	other	0.387341299379822	0.3648580128579685	0.0224832865218535	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
CD96_NECTIN1	CD96	Cell-Cell Contact	incoming	CD96	NECTIN1	CD96	NECTIN1	other	0.5497079714590081	0.5279398992052279	0.0217680722537801	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
HLA-DPA1_CD4	MHC-II	Cell-Cell Contact	incoming	HLA-DPA1	CD4	HLA-DPA1	CD4	other	0.0215596682218445	0.0	0.0215596682218445	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
HLA-DRA_CD4	MHC-II	Cell-Cell Contact	incoming	HLA-DRA	CD4	HLA-DRA	CD4	other	0.0211578779984328	0.0	0.0211578779984328	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
HLA-DRB1_CD4	MHC-II	Cell-Cell Contact	incoming	HLA-DRB1	CD4	HLA-DRB1	CD4	other	0.019804001133793	0.0	0.019804001133793	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
IFNG_IFNGR1_IFNGR2	IFN-II	Secreted Signaling	incoming	IFNG	IFNGR1_IFNGR2	IFNG	IFNGR1|IFNGR2	attack	0.1599044975175707	0.14524301838423	0.0146614791333406	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
HLA-DQA1_CD4	MHC-II	Cell-Cell Contact	incoming	HLA-DQA1	CD4	HLA-DQA1	CD4	other	0.0108094018897568	0.0	0.0108094018897568	0.0099009900990099	1.0	True	False	incoming	GSE207422	median_post (12 post)
