signature	n_requested	n_present	present_genes	missing_genes
TACSTD2	1	1	TACSTD2	
Salcher_TRN	38	38	AGO4,ARG1,CCR3,CCRL2,CYP4F3,DDIT3,ERGIC1,FLOT1,FLOT2,FRAT2,HIF1A,IRAK2,LRP10,MAFF,MAP1LC3B2,MCOLN1,MGAM,MMP25,MSRB1,NBN,NDEL1,NFE2,NOD2,PADI4,PBX2,PHOSPHO1,PI3,PLAU,PPIF,RASGRP4,REPS2,SULT1B1,TGM3,TOM1,TSEN34,UBR5-AS1,XKR8,ZNF267	
Salcher_TAN	18	18	CCR3,CCRL2,DDIT3,FLOT1,HIF1A,IRAK2,MAFF,MAP1LC3B2,MCOLN1,NBN,NOD2,PI3,PLAU,PPIF,TGM3,TOM1,UBR5-AS1,ZNF267	
Salcher_NAN	20	20	AGO4,ARG1,CYP4F3,ERGIC1,FLOT2,FRAT2,LRP10,MGAM,MMP25,MSRB1,NDEL1,NFE2,PADI4,PBX2,PHOSPHO1,RASGRP4,REPS2,SULT1B1,TSEN34,XKR8	
Salcher_major_neutrophils	17	17	AC012368.1,ADGRE3,ADGRG3,BTNL8,CMTM2,CXCR1,CXCR2,CYP4F3,FCGR3B,KATNBL1,LINC00528,LINC01506,MBD6,MGAM,NFE4,PROK2,TNFRSF10C	
Leader_IgG_plasma	10	10	IGHG3,IGHG4,IGHG1,MZB1,FAM92B,SPAG4,DERL3,JSRP1,TBCEL,LINC01485	
Leader_SPP1_mac	4	4	SLC2A5,SPP1,CCL7,HAMP	
Leader_T_activated	8	8	CXCL13,ZBED2,GNG4,KRT86,TNFRSF9,LAYN,GZMB,KIR2DL4	
Leader_B	2	2	GAPT,CTB-133G6.1	
Leader_AM	10	10	AKR1C3,RSPO3,MCEMP1,RND3,HP,FOLR3,GPD1,GS1-600G8.5,PCOLCE2,CAMP	
Leader_cDC2	10	10	CCL17,CD1B,CD1C,CD1E,PLD4,TRPC6,CLEC10A,FCER1A,PLA1A,CFP	
Leader_AZU1_mac	10	10	CEACAM8,AZU1,PKP2,RETN,LYZ,ELANE,ATP6AP1L,RP6-159A1.4,THBS1,CFD	
Leader_cDC1	9	9	P2RY14,DNASE1L3,PTGER3,CST3,BATF3,CPVL,RGS18,SERPINF2,LGALS2	
