cell_type	n_cells	detected_cells	detected_fraction	mean_census_normalized_expression	mean_when_detected
pulmonary alveolar type 1 cell	7230	5407	0.747856	0.001150	0.001538
club cell	2689	2103	0.782075	0.000683	0.000873
malignant cell	91528	51011	0.557327	0.000562	0.001009
epithelial cell of lung	28763	15850	0.551055	0.000394	0.000715
pulmonary alveolar type 2 cell	47999	20753	0.432363	0.000157	0.000363
neutrophil	19368	801	0.041357	0.000036	0.000871
macrophage	114381	3633	0.031762	0.000007	0.000228
plasma cell	35538	1080	0.030390	0.000007	0.000234
CD8-positive, alpha-beta T cell	160394	1949	0.012151	0.000006	0.000531
CD4-positive, alpha-beta T cell	199444	2086	0.010459	0.000006	0.000538
B cell	69007	724	0.010492	0.000005	0.000464
alveolar macrophage	147293	2844	0.019308	0.000005	0.000246
