leukocyte_quartile	tacstd2_quartile	n	TACSTD2_log2tpm_mean	LCAM_mean	TRN_mean	leukocyte_fraction_mean
Q1_low	Q1_low	61	5.110205	-0.000023	-0.106439	0.113761
Q1_low	Q2	63	7.038613	-0.402107	-0.042670	0.123788
Q1_low	Q3	61	7.755148	-0.152481	0.004318	0.116696
Q1_low	Q4_high	63	8.886259	-0.114894	0.037058	0.113081
Q2	Q1_low	50	5.288647	0.164382	-0.128891	0.241556
Q2	Q2	66	7.049868	-0.157915	-0.003965	0.244956
Q2	Q3	61	7.787085	-0.160129	0.055975	0.249185
Q2	Q4_high	70	8.814091	-0.137913	0.076529	0.244030
Q3	Q1_low	66	5.398013	0.056508	-0.156182	0.346261
Q3	Q2	51	7.105283	0.024314	0.091061	0.343533
Q3	Q3	66	7.819573	-0.054580	0.088006	0.343903
Q3	Q4_high	64	8.944366	0.100729	0.103259	0.346557
Q4_high	Q1_low	71	5.696641	0.215221	-0.163331	0.500886
Q4_high	Q2	66	7.075526	0.229605	0.010711	0.493272
Q4_high	Q3	59	7.806900	0.290865	0.073845	0.495666
Q4_high	Q4_high	51	8.838072	0.169475	0.108280	0.479250
