cell_type	disease	n_cells	detected_cells	detected_fraction	mean_census_normalized_expression	mean_when_detected
CD4-positive, alpha-beta T cell	lung adenocarcinoma	141108	1426	0.010106	0.000005	0.000521
CD4-positive, alpha-beta T cell	squamous cell lung carcinoma	23666	369	0.015592	0.000008	0.000486
CD4-positive, alpha-beta T cell	non-small cell lung carcinoma	20292	206	0.010152	0.000008	0.000750
CD4-positive, alpha-beta T cell	normal	10558	72	0.006819	0.000004	0.000562
CD4-positive, alpha-beta T cell	chronic obstructive pulmonary disease	3820	13	0.003403	0.000002	0.000450
CD8-positive, alpha-beta T cell	lung adenocarcinoma	102272	1200	0.011733	0.000006	0.000506
CD8-positive, alpha-beta T cell	squamous cell lung carcinoma	24400	416	0.017049	0.000008	0.000486
CD8-positive, alpha-beta T cell	non-small cell lung carcinoma	16281	252	0.015478	0.000012	0.000758
CD8-positive, alpha-beta T cell	normal	11879	63	0.005303	0.000002	0.000446
CD8-positive, alpha-beta T cell	chronic obstructive pulmonary disease	5562	18	0.003236	0.000001	0.000415
epithelial cell of lung	lung adenocarcinoma	19408	11151	0.574557	0.000423	0.000736
epithelial cell of lung	normal	3856	2087	0.541234	0.000360	0.000666
epithelial cell of lung	non-small cell lung carcinoma	3541	2048	0.578368	0.000375	0.000649
epithelial cell of lung	squamous cell lung carcinoma	1111	301	0.270927	0.000224	0.000827
epithelial cell of lung	chronic obstructive pulmonary disease	847	263	0.310508	0.000189	0.000610
macrophage	lung adenocarcinoma	61225	2486	0.040604	0.000009	0.000224
macrophage	normal	22629	323	0.014274	0.000003	0.000222
macrophage	squamous cell lung carcinoma	14922	520	0.034848	0.000009	0.000245
macrophage	non-small cell lung carcinoma	13001	278	0.021383	0.000005	0.000234
macrophage	chronic obstructive pulmonary disease	2604	26	0.009985	0.000002	0.000205
malignant cell	lung adenocarcinoma	43217	29001	0.671055	0.000507	0.000755
malignant cell	squamous cell lung carcinoma	33234	18144	0.545947	0.000728	0.001333
malignant cell	non-small cell lung carcinoma	13562	2952	0.217667	0.000327	0.001501
malignant cell	normal	1373	864	0.629279	0.000648	0.001029
malignant cell	chronic obstructive pulmonary disease	142	50	0.352113	0.000260	0.000739
neutrophil	squamous cell lung carcinoma	10452	619	0.059223	0.000055	0.000926
neutrophil	lung adenocarcinoma	7937	172	0.021671	0.000015	0.000671
neutrophil	non-small cell lung carcinoma	808	2	0.002475	0.000003	0.001214
neutrophil	normal	166	8	0.048193	0.000043	0.000894
neutrophil	chronic obstructive pulmonary disease	5	0	0.000000	0.000000	0.000000
plasma cell	lung adenocarcinoma	20556	793	0.038578	0.000007	0.000177
plasma cell	non-small cell lung carcinoma	8172	90	0.011013	0.000006	0.000501
plasma cell	squamous cell lung carcinoma	5357	174	0.032481	0.000011	0.000350
plasma cell	normal	1083	20	0.018467	0.000004	0.000225
plasma cell	chronic obstructive pulmonary disease	370	3	0.008108	0.000003	0.000398
