endpoint	n_Q4	n_Q1	median_Q4	median_Q1	delta_Q4_minus_Q1	rank_biserial	rb_ci95	p
CD8A	15	15	7.56	8.93	-1.38	-0.72	-0.95 to -0.43	7.8e-04
CD8A_resid_purity	15	15	-3.99	2.28	-6.27	-0.32	-0.70 to +0.08	0.15
ImmuneScore	15	15	5062	6648	-1585	-0.50		0.020
GEP18	15	15	-0.398	0.061	-0.460	-0.51		0.018
