cohort	n	median	mean	q25	q75	min	max	n_lt_neg0.5	n_lt_neg1	n_gt_0	release	matrix	n_expression_public	expression_median_log2TPM1	n_expression_ge_1	n_both	n_expr_ge1_and_chronos_gt_neg0.5	lineage_source
lung_cell_lines	126	0.04730662378672555	0.03415974240194301	-0.03702259950324955	0.10907972419833292	-0.2944077449381274	0.3939579674136731	0	0	84	24Q4	CRISPRGeneEffect	214.0	6.462706296306497	197.0	123.0	115.0	
lung_cell_lines	126	0.18400426129102126	0.17516639458570313	0.08726328549346446	0.2730269159318195	-0.2182762749781558	0.6053295246782139	0	0	104	26Q1	gene_effect						24Q4 Model.csv
NSCLC	98	0.0437272641054409	0.029117518142759688	-0.045263459246757426	0.10101717738281682	-0.2781924117019274	0.3939579674136731	0	0	63	24Q4	CRISPRGeneEffect	143.0	7.283273598920621	135.0	95.0	90.0	
NSCLC	98	0.18142024253232186	0.16815725279611346	0.08726328549346446	0.2724354100006634	-0.2182762749781558	0.6037174389043123	0	0	79	26Q1	gene_effect						24Q4 Model.csv
LUAD	53	0.0551016152821143	0.044511472576775894	0.01282784792578	0.1109505025585806	-0.2781924117019274	0.2504223426381799	0	0	40	24Q4	CRISPRGeneEffect	80.0	7.469725175623902	77.0	51.0	49.0	
LUAD	53	0.2099165907986521	0.1901537813390894	0.1075178530729521	0.2781046260752913	-0.2182762749781558	0.4939017237162945	0	0	46	26Q1	gene_effect						24Q4 Model.csv
LUSC	21	-0.0374336925490491	-0.05432342107454049	-0.1310533563768256	0.0437426575606673	-0.2405728046794342	0.0927674471486981	0	0	7	24Q4	CRISPRGeneEffect	27.0	7.23035674505615	25.0	20.0	18.0	
LUSC	21	0.1178053772293595	0.057718836396127265	-0.0368254683028457	0.1523142758041254	-0.1725663752221796	0.2950665432814903	0	0	12	26Q1	gene_effect						24Q4 Model.csv
other_NSCLC	24	0.078177312443936	0.0681333572494449	-0.04443864516901095	0.14832566842643333	-0.2554603870262458	0.3939579674136731	0	0	16	24Q4	CRISPRGeneEffect	36.0	6.252661400181944	33.0	24.0	23.0	
other_NSCLC	24	0.2501801892514582	0.2162151999470295	0.09558389135770783	0.29378699781428524	-0.1987713077702853	0.6037174389043123	0	0	21	26Q1	gene_effect						24Q4 Model.csv
SCLC_NET	26	0.0594458801607709	0.04431508812145169	-0.008514889565899526	0.12031191048259633	-0.2944077449381274	0.380935755211277	0	0	19	24Q4	CRISPRGeneEffect	60.0	6.047447430195237	55.0	26.0	23.0	
SCLC_NET	26	0.189279906362988	0.19613238591361484	0.09294991318563273	0.2915162441659252	-0.0834052166688713	0.6053295246782139	0	0	23	26Q1	gene_effect						24Q4 Model.csv
other_lung	2	0.1492092367483124	0.1492092367483124	0.13588330185733324	0.16253517163929154	0.1225573669663541	0.1758611065302707	0	0	2	24Q4	CRISPRGeneEffect	11.0	1.782408564927373	7.0	2.0	2.0	
other_lung	2	0.246056455012745	0.246056455012745	0.21421236775684732	0.2779005422686427	0.1823682805009496	0.3097446295245404	0	0	2	26Q1	gene_effect						24Q4 Model.csv
