ModelID	CellLineName	StrippedCellLineName	ModelType	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	OncotreeCode	CLDN4_Chronos_24Q4	CLDN4_ExpressionPublic_log2TPM1	CLDN4_Chronos_26Q1	group	is_NSCLC
ACH-000355	NCI-H82	NCIH82	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	-0.2944077449381274	0.722466024471091	-0.0834052166688713	SCLC_NET	False
ACH-000515	HCC-33	HCC33	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	-0.289579861829761	3.114367024952	-0.0028918578581332	SCLC_NET	False
ACH-000945	NCI-H650	NCIH650	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.2781924117019274	1.15704371014558	-0.2182762749781558	LUAD	True
ACH-000662	COR-L23	CORL23	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC	-0.2554603870262458	7.970911158577129	-0.1987713077702853	other_NSCLC	True
ACH-000395	NCI-H520	NCIH520	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.2405728046794342	3.063502942306158	-0.1725663752221796	LUSC	True
ACH-000871	NCI-H510	NCIH510	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	-0.2360743772993523	8.014578464922891	0.1520282637675386	SCLC_NET	False
ACH-000481	NCI-H2170	NCIH2170	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.2300104898587981	8.974787405160122	-0.1299356969827589	LUSC	True
ACH-000916	NCI-H1573	NCIH1573	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.2026442145557763	8.778898476008376	-0.0035391601538531	LUAD	True
ACH-002156	LC-1-sq	LC1SQ	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.1962369895076483		-0.1593099877968873	LUSC	True
ACH-002522	SNU-2292	SNU2292	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.1835081870890937	1.5459683691052926	-0.1362298219749254	LUAD	True
ACH-000454	HCC-95	HCC95	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.1784381421419836	7.283273598920621	0.1227199118977811	LUSC	True
ACH-002526	SNU-1327	SNU1327	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.1674733349176446	6.617798025902778	-0.129578616559072	LUAD	True
ACH-000894	NCI-H1869	NCIH1869	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.1555511554227038	8.397845735630698	-0.0023938643303184	LUSC	True
ACH-000442	RERF-LC-Sq1	RERFLCSQ1	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.1310533563768256	5.204766750654613	-0.0885526009744856	LUSC	True
ACH-001137	NCI-H1993	NCIH1993	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.1282562257163493		-0.011921350524821	LUAD	True
ACH-001075	NCI-H292	NCIH292	Cell Line	Lung	Non-Small Cell Lung Cancer	Mucoepidermoid Carcinoma of the Lung	LUMEC	-0.1236007263823109	8.258141995893771	0.0056926602961566	other_NSCLC	True
ACH-000390	LUDLU-1	LUDLU1	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.1121918642917709	8.913009056991898	-0.0881718489629656	LUSC	True
ACH-000840	HCC-366	HCC366	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	LUAS	-0.1032922379425477	1.835924074254375	-0.0716352895899306	other_NSCLC	True
ACH-000781	NCI-H2023	NCIH2023	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.0925996897299185	1.599317793698226	0.0810546972431492	LUAD	True
ACH-000585	EPLC-272H	EPLC272H	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.0862221462791625	7.23035674505615	-0.0287295145754264	LUSC	True
ACH-000900	NCI-H23	NCIH23	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.0860423670871378	1.292781749227846	0.2526687904623249	LUAD	True
ACH-000921	NCI-H157-DM	NCIH157DM	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.0814651874247607	0.765534746362977	0.0086690164023487	LUSC	True
ACH-000434	NCI-H1915	NCIH1915	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC	-0.0683415240726493	1.6182386555954549	0.0980285188062145	other_NSCLC	True
ACH-000912	NCI-H2286	NCIH2286	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	-0.0669380091589499	0.9411063109464316	0.0035519768930618	SCLC_NET	False
ACH-000416	NCI-H838	NCIH838	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.0618777367423335	0.5459683691052926	0.0652622376562171	LUAD	True
ACH-000463	NCI-H460	NCIH460	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC	-0.0522029622018941	4.671859468247477	0.0200443122297588	other_NSCLC	True
ACH-000035	NCI-H1650	NCIH1650	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC	-0.0516606087302142	7.974471952285043	-0.0145266826908781	other_NSCLC	True
ACH-000261	RERF-LC-AI	RERFLCAI	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.0471685521642095	3.125981653854716	-0.0368254683028457	LUSC	True
ACH-000264	Calu-6	CALU6	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.0453877172456699	3.5360529002402097	0.08693437765389	LUAD	True
ACH-000869	NCI-H1568	NCIH1568	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.04489068525002	8.339627347580395	-0.0108591360416166	LUAD	True
ACH-000929	NCI-H2110	NCIH2110	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC	-0.0420313239819432	8.915401388260412	0.1352321183440286	other_NSCLC	True
ACH-000843	HARA	HARA	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.0374336925490491	3.2078928516413328	0.1888845509966347	LUSC	True
ACH-003012	A549_CRAF_KD	A549CRAFKD	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.0357893203658509	1.8439838440483265	0.1912549981753719	LUAD	True
ACH-000695	COR-L47	CORL47	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	-0.0355538851819594	4.310340120612151	0.1122073268686492	SCLC_NET	False
ACH-000747	NCI-H1703	NCIH1703	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.0223623546672229	0.8718436485093178	0.1523142758041254	LUSC	True
ACH-000176	LOU-NH91	LOUNH91	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.017977526938199	7.581953750848818	0.1178053772293595	LUSC	True
ACH-000769	LK-2	LK2	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	-0.0175422127178223	2.541019153133559	0.1242191651118141	LUSC	True
ACH-000514	NCI-H1092	NCIH1092	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	-0.0152778473196557	5.560409266362118	0.2037650351548286	SCLC_NET	False
ACH-000143	HCC2429	HCC2429	Cell Line	Lung	Non-Small Cell Lung Cancer	NUT Carcinoma of the Lung	NUTCL	-0.0143044195744003	0.4750848829487829	0.1495118260237266	other_NSCLC	True
ACH-000698	DMS 53	DMS53	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	-0.0129548541781518	8.729212856911676	-0.0678920011442891	SCLC_NET	False
ACH-000872	HCC515	HCC515	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.006507395038314	4.513490745588118	0.2145104505851061	LUAD	True
ACH-000677	SW 1573	SW1573	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	-0.0016944553926316	3.056583528366368	0.1471162593829179	LUAD	True
ACH-000700	NCI-H2882	NCIH2882	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	0.0034265714192633	3.817623257511431	0.2950665432814903	LUSC	True
ACH-000866	NCI-H1048	NCIH1048	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0048050042708573	2.780310099043376	0.0355432179318956	SCLC_NET	False
ACH-000800	NCI-H446	NCIH446	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0087125215428457	0.7048719644563528	0.3353244294023517	SCLC_NET	False
ACH-000901	HCC-1359	HCC1359	Cell Line	Lung	Non-Small Cell Lung Cancer	Giant Cell Carcinoma of the Lung	GCLC	0.0093280043025058	2.867896463992655	0.0882500090121878	other_NSCLC	True
ACH-000414	NCI-H1944	NCIH1944	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.01282784792578	5.127633279725874	0.2488715752091795	LUAD	True
ACH-000589	NCI-H1437	NCIH1437	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0134532230042848	7.278356528010724	0.1396468999040601	LUAD	True
ACH-001549	Lu-135	LU135	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0143965620423007	7.003152448666922	0.0508367066891297	SCLC_NET	False
