gene	median_24Q4_all_models	median_26Q1_all_models
AAMP (14)	-1.1845096756741915	-0.8260997130284817
AARS1 (16)	-2.0109480075934068	-2.174463170121931
AATF (26574)	-0.8574681841426381	-0.6108328304173717
ABCB7 (22)	-1.260519016008561	-1.0960350983260043
ABCE1 (6059)	-2.155421960257385	-1.872692638812344
ABCF1 (23)	-0.8826615540649738	-0.877355974401726
ABT1 (29777)	-1.1595791423770314	-0.7135525158307523
ACIN1 (22985)	-0.6630924622816119	-0.6255939595609314
ACO2 (50)	-0.6902247481791712	-0.5198845365252492
ACTG1 (71)	-0.6872021691413803	-0.6000244087911033
ACTL6A (86)	-1.5820072637091815	-1.4231924583324786
ACTR10 (55860)	-1.5269577282474178	-1.0823814114726829
