release	release_date	filename	url_present
DepMap Public 26Q1	2026-04-01	CRISPRGeneEffect.csv	no
DepMap Public 26Q1	2026-04-01	Model.csv	no
DepMap Public 26Q1	2026-04-01	OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv	no
DepMap Public 25Q3	2025-09-25	CRISPRGeneEffect.csv	no
DepMap Public 25Q3	2025-09-25	Model.csv	no
DepMap Public 25Q3	2025-09-25	OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv	no
DepMap Public 25Q2	2025-06-27	CRISPRGeneEffect.csv	no
DepMap Public 25Q2	2025-06-27	Model.csv	no
DepMap Public 25Q2	2025-06-27	OmicsExpressionProteinCodingGenesTPMLogp1.csv	no
DepMap Public 25Q2	2025-06-27	OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv	no
DepMap Public 24Q4	2024-12-16	CRISPRGeneEffect.csv	yes
DepMap Public 24Q4	2024-12-16	OmicsExpressionProteinCodingGenesTPMLogp1.csv	yes
DepMap Public 24Q4	2024-12-16	Model.csv	yes
DepMap Public 24Q2	2024-05-22	CRISPRGeneEffect.csv	yes
DepMap Public 24Q2	2024-05-22	OmicsExpressionProteinCodingGenesTPMLogp1.csv	yes
DepMap Public 24Q2	2024-05-22	Model.csv	yes
DepMap Public 23Q4	2023-11-20	CRISPRGeneEffect.csv	yes
DepMap Public 23Q4	2023-11-20	OmicsExpressionProteinCodingGenesTPMLogp1.csv	yes
DepMap Public 23Q4	2023-11-20	Model.csv	yes
DepMap Public 23Q2	2023-05-08	CRISPRGeneEffect.csv	yes
DepMap Public 23Q2	2023-05-08	OmicsExpressionProteinCodingGenesTPMLogp1.csv	yes
DepMap Public 23Q2	2023-05-08	Model.csv	yes
DepMap Public 22Q4	2022-12-01	CRISPRGeneEffect.csv	yes
DepMap Public 22Q4	2022-12-01	OmicsExpressionProteinCodingGenesTPMLogp1.csv	yes
Proteomics	2020-01-27	protein_quant_current_normalized.csv	yes
Harmonized Public Proteomics 26Q1	2026-03-01	harmonized_Sanger_MS_2022.csv	no
Harmonized Public Proteomics 26Q1	2026-03-01	harmonized_MS_CCLE_Gygi.csv	no
Harmonized Public Proteomics 26Q1	2026-03-01	harmonized_RPPA_CCLE.csv	no
Harmonized Public Proteomics 26Q1	2026-03-01	uniprot_hugo_entrez_id_mapping.csv	no
Harmonized Public Proteomics 26Q1	2026-03-01	harmonized_Olink_2023_best_dilution.csv	no
Harmonized Public Proteomics 24Q4	2024-11-13	harmonized_MS_CCLE_Gygi.csv	no
Harmonized Public Proteomics 24Q4	2024-11-13	uniprot_hugo_entrez_id_mapping.csv	no
Harmonized Public Proteomics 24Q4	2024-11-13	harmonized_RPPA_CCLE.csv	no
