series	unit_id	unit	cldn4	cldn4_log2p1	tnk_mean	tnk_mean_log2p1	n_tnk_genes	group	arm	rep	tnk_z	cldn4_z	tnk_note
GSE246922	KP_1	CD45neg_tumor	8.63580012447764	3.268404468045499	8.283056211615811	3.214446830265084	16	parental	parental	1	-1.4720425174729326	-2.0337245101241077	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	KP_2	CD45neg_tumor	9.42888968200698	3.382513663528331	8.419397281204908	3.235512971733905	16	parental	parental	2	1.5214945405559355	0.6375243937629852	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	KP_3	CD45neg_tumor	9.53781385633167	3.3975036956613764	8.315356553327575	3.2194860689579223	16	parental	parental	3	-0.7559575242343	0.9884348242081366	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	KPy_1	CD45neg_tumor	9.45979491911061	3.386782660422257	8.315493925885605	3.219522392656427	16	chronic_IFNG	chronic_IFNG	1	-0.7507958605419194	0.737459839152341	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	KPy_2	CD45neg_tumor	9.46200325559986	3.387087218958467	8.299645952981004	3.2170755223651235	16	chronic_IFNG	chronic_IFNG	2	-1.098500583974437	0.7445894280744092	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	KPy_3	CD45neg_tumor	9.13603232829155	3.341421125878833	8.310341337211463	3.218726613831553	16	chronic_IFNG	chronic_IFNG	3	-0.8638774804380379	-0.3244348566698607	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	ResKP2_1	CD45neg_tumor	9.30732543489828	3.3655981228036946	8.352827253621435	3.2246967602000325	16	1st_relapse	ICB_relapse	1	-0.015508811578983386	0.2415386063937253	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	ResKP2_2	CD45neg_tumor	9.33946150597274	3.370089144863913	8.340869845774188	3.2231158955818424	16	1st_relapse	ICB_relapse	2	-0.24015255211793396	0.3466715687718182	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	ResKP2_3	CD45neg_tumor	9.95699304816431	3.453780025511872	8.293322034791558	3.2157630194348163	16	1st_relapse	ICB_relapse	3	-1.285009640056736	2.3058403478544918	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	ResResKP_1	CD45neg_tumor	9.14634124416426	3.342887682348084	8.418049588376775	3.233157393936917	16	2nd_relapse	ICB_relapse	1	1.1867626467827306	-0.2901033784362391	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	ResResKP_2	CD45neg_tumor	9.2108696874071	3.352033844577612	8.424621068321045	3.234171374815394	16	2nd_relapse	ICB_relapse	2	1.3308511757782389	-0.07599551686538245	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	ResResKP_3	CD45neg_tumor	8.99097985769881	3.3206261761678393	8.421941018258611	3.2337017585940355	16	2nd_relapse	ICB_relapse	3	1.2641178556887807	-0.8112359982153466	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	ResKPlate_1	CD45neg_tumor	8.9789154902689	3.3188830318121205	8.399087505994316	3.2309730510565995	16	late_relapse	ICB_relapse	1	0.8763635464372597	-0.8520422840701206	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	ResKPlate_2	CD45neg_tumor	8.97856321895697	3.3188321015235576	8.374071293664095	3.227660595719485	16	late_relapse	ICB_relapse	2	0.40565761201667466	-0.853234540986163	CD45- sort; T/NK genes are leak, not a T/NK fraction
GSE246922	ResKPlate_3	CD45neg_tumor	9.00576684760898	3.3227598353290912	8.350004493223617	3.2240782347312664	16	late_relapse	ICB_relapse	3	-0.10340240684541258	-0.7612879228508113	CD45- sort; T/NK genes are leak, not a T/NK fraction
