series	model	contrast	metric	n_ctrl	n_treat	mean_ctrl	mean_treat	delta	welch_t	welch_p	mwu_u	mwu_p
GSE114601	KP GEMM Kras/Trp53 nodules	anti-PD1 vs Vehicle	Cldn4_log2p1	2	2	6.167477623650712	4.844519558241576	-1.3229580654091366	-1.793362000754051	0.32294967829505283	0.0	0.3333333333333333
GSE114601	KP GEMM Kras/Trp53 nodules	anti-PD1 vs Vehicle	T/NK	2	2	0.42263882607617703	0.6050138978874553	0.18237507181127827	1.4456661171787062	0.37529300983969904	4.0	0.3333333333333333
GSE114601	KP GEMM Kras/Trp53 nodules	JQ1 vs Vehicle	Cldn4_log2p1	2	2	6.167477623650712	6.078292101245456	-0.08918552240525646	-0.07710701312879967	0.9509909526877619	2.0	1.0
GSE114601	KP GEMM Kras/Trp53 nodules	JQ1 vs Vehicle	T/NK	2	2	0.42263882607617703	0.40872993506260574	-0.01390889101357129	-0.0834910408888741	0.9411514025492073	1.0	0.6666666666666666
GSE114601	KP GEMM Kras/Trp53 nodules	anti-PD1+JQ1 vs Vehicle	Cldn4_log2p1	2	2	6.167477623650712	7.298512429878495	1.1310348062277829	2.6916235592289994	0.22356020385374367	4.0	0.3333333333333333
GSE114601	KP GEMM Kras/Trp53 nodules	anti-PD1+JQ1 vs Vehicle	T/NK	2	2	0.42263882607617703	0.3829513779889073	-0.039687448087269706	-0.1458488455365942	0.901259026893065	2.0	1.0
GSE157880	HKP1 orthotopic lung, 0 Gy	PD-1 vs IgG at 0 Gy (pooled 3-4 mice/library)	Cldn4_log2p1	3	2	2.5564071672511357	2.232176077619101	-0.32423108963203484	-0.8547816406935627	0.4702351315089394	2.0	0.8
GSE157880	HKP1 orthotopic lung, 0 Gy	PD-1 vs IgG at 0 Gy (pooled 3-4 mice/library)	T/NK	3	2	4.2590766742037856	3.8587614163194432	-0.4003152578843423	-1.1653061499171158	0.33512869318259186	2.0	0.8
GSE169194	KPM GEMM (Kras/p53/Msh2) total viable tumor cells	A2V+aPD-1 vs IgG (no PD-1 monotherapy)	Cldn4_log2p1	3	3	4.579829729262211	3.871278689993877	-0.7085510392683338	-0.9032742789388815	0.43554442009930716	3.0	0.7
GSE169194	KPM GEMM (Kras/p53/Msh2) total viable tumor cells	A2V+aPD-1 vs IgG (no PD-1 monotherapy)	T/NK	3	3	4.449769254786503	4.603024836623278	0.1532555818367749	0.2143352930890661	0.8444986096512498	5.0	1.0
GSE133604	KP GEMM lung 10x (WT)	Ctrl+PD-1 vs Ctrl (n=1 vs 1)	Cldn4_log2p1	1	1	0.020578007814753614	0.005865102639296188	-0.014712905175457426				
GSE133604	KP GEMM lung 10x (WT)	Ctrl+PD-1 vs Ctrl (n=1 vs 1)	T/NK	1	1	0.20508506842016933	0.24947248697160868	0.04438741855143935				
