series	subset	n	rho	p
GSE114601	all_8_nodules	8	-0.4047619047619048	0.3198886412288163
GSE114601	Vehicle+PD1_n4	4	-1.0	0.0
GSE157880	0Gy_only	5	-0.7	0.1881204043741873
GSE157880	all_doses	16	-0.4676470588235294	0.06776085019015383
GSE169194	IgG_total	3	-0.5	0.6666666666666666
GSE169194	all_total	9	-0.8166666666666667	0.0072247852463587885
GSE246922	all_CD45neg_NOT_TNK	15	-0.23928571428571427	0.3903793119202356
