series	unit_id	unit	arm	genotype	n_cells_deposited	n_cells_umi200	n_epi	n_tnk	tnk_fraction	cldn4	cldn4_log2p1	epi_cldn4_pct_pos	tnk_mean_log2p1	epi_minus_tnk_cldn4
GSE133604	Ctrl	10x_library	control	KP WT	6074	6074	320	2863	0.4713533091866974	0.014263588098336989	0.020578007814753614	0.015625	0.20508506842016933	0.014263588098336989
GSE133604	Ctrl+PD-1	10x_library	PD-1	KP WT	6683	6683	341	3486	0.5216220260362113	0.0040653793581228465	0.005865102639296188	0.005865102639296188	0.24947248697160868	0.0040653793581228465
GSE133604	Asf1a-KO	10x_library	control	KP Asf1a-KO	6362	6362	398	1847	0.29031751021691293	0.005224727491657879	0.007537688442211055	0.005025125628140704	0.09411186509425058	0.005224727491657879
GSE133604	Asf1a-KO+PD-1	10x_library	PD-1	KP Asf1a-KO	6094	6094	351	2785	0.45700689202494255	0.01050962807439868	0.015162188304522399	0.008547008547008548	0.16370128233789227	0.010260742192689543
