program	tf	n_targets_used	n_targets_abc	n	mean_high	mean_low	delta_mean	n_high_gt_low	W	p	thin	status
IFN	STAT1	1091.0	1091.0	52.0	0.17506398461185968	0.12926636994458163	0.045797614667278067	50.0	21.0	1.176453647587144e-09	False	ok
IFN	STAT2	104.0	104.0	52.0	0.20963570317969873	0.15376923562815556	0.05586646755154316	50.0	90.0	4.8960965551297974e-08	False	ok
IFN	IRF1	79.0	79.0	52.0	0.21728652701354945	0.15544321559942686	0.06184331141412258	50.0	78.0	2.631673994724112e-08	False	ok
IFN	IRF2	74.0	74.0	52.0	0.2750143041977516	0.21269105661373872	0.062323247584012836	50.0	50.0	5.90875946718203e-09	False	ok
IFN	IRF3	70.0	70.0	52.0	0.20589657844259188	0.17212259139005953	0.033773987052532345	48.0	109.0	1.277730414095138e-07	False	ok
IFN	IRF7											not_scored
IFN	IRF8	8.0	8.0	52.0	0.09372886947284524	0.0591623535211301	0.03456651595171514	48.0	13.0	7.447552938613255e-10	False	ok
IFN	IRF9	46.0	46.0	52.0	0.240792871094667	0.1746040963782714	0.0661887747163956	50.0	24.0	1.3946165949027779e-09	False	ok
IFN	STAT3	173.0	173.0	52.0	0.30169105529785156	0.2082046723136535	0.09348638298419806	52.0	0.0	3.503864964208263e-10	False	ok
MHC	RFX5	87.0	87.0	52.0	0.31567242168463194	0.26676635874005467	0.04890606294457729	48.0	82.0	3.2408955603613266e-08	False	ok
TJ	GRHL2	74.0	74.0	52.0	0.29544129165319294	0.17330916885000008	0.12213212280319287	52.0	0.0	3.503864964208263e-10	False	ok
TJ	KLF4	48.0	48.0	52.0	0.29531713474828464	0.22538577063152423	0.0699313641167604	52.0	0.0	3.503864964208263e-10	False	ok
TJ	ELF3	52.0	52.0	52.0	0.23261524321368107	0.14717693225695536	0.0854383109567257	52.0	0.0	3.503864964208263e-10	False	ok
TJ	TFAP2A	126.0	126.0	52.0	0.19605031322974426	0.13500748202204704	0.061042831207697205	52.0	0.0	3.503864964208263e-10	False	ok
keratin	TP63	86.0	86.0	52.0	0.14685499510512903	0.08349400174875672	0.0633609933563723	52.0	0.0	3.503864964208263e-10	False	ok
keratin	KLF5	78.0	78.0	52.0	0.41839913020913416	0.2480891521733541	0.1703099780357801	52.0	0.0	3.503864964208263e-10	False	ok
keratin	SOX2	391.0	391.0	52.0	0.10609547507304412	0.07341733571285239	0.03267813936019173	52.0	0.0	3.503864964208263e-10	False	ok
