tf	n_targets_used	n_targets_abc	n_repressor	weight_l1
AHR	44	44	3	44.0
AR	218	218	16	218.0
ARID2	30	30	0	30.0
ARID3A	25	25	0	25.0
ARNT	63	63	0	63.0
ASCL1	51	51	2	51.0
ATF1	88	88	2	88.0
ATF2	63	63	1	63.0
ATF3	48	48	6	48.0
ATF4	108	108	1	108.0
ATF6	10	10	0	10.0
ATF7	27	27	0	27.0
BACH1	84	84	7	84.0
BACH2	49	49	1	49.0
BATF	47	47	0	47.0
BCL11A	36	36	0	36.0
BCL6	45	45	9	45.0
BHLHE22	21	21	0	21.0
BHLHE40	57	57	0	57.0
BMAL1	20	20	0	20.0
CDX2	53	53	2	53.0
CEBPA	961	961	21	961.0
CEBPB	89	89	3	89.0
CEBPD	69	69	3	69.0
CEBPE	6	6	3	6.0
CEBPG	44	44	0	44.0
CLOCK	50	50	1	50.0
CREB1	116	116	5	116.0
CREB3	24	24	0	24.0
CREB3L1	21	21	1	21.0
CREM	52	52	9	52.0
CTCF	940	940	41	940.0
CTCFL	51	51	0	51.0
CUX1	40	40	2	40.0
DEAF1	8	8	0	8.0
DUX4	36	36	0	36.0
E2F1	689	689	16	689.0
E2F2	22	22	0	22.0
E2F3	14	14	0	14.0
E2F4	726	726	25	726.0
E2F5	13	13	1	13.0
E2F6	68	68	6	68.0
E2F7	30	30	2	30.0
EBF1	72	72	0	72.0
EGR1	968	968	29	968.0
EHF	20	20	0	20.0
ELF1	49	49	0	49.0
ELF3	52	52	0	52.0
ELF5	20	20	0	20.0
ELK1	113	113	3	113.0
ELK4	13	13	0	13.0
EOMES	21	21	0	21.0
EPAS1	79	79	2	79.0
ERG	89	89	6	89.0
ESR1	726	726	45	726.0
ESR2	72	72	3	72.0
ESRRA	66	66	2	66.0
ETS1	937	937	18	937.0
ETS2	31	31	1	31.0
ETV1	28	28	0	28.0
ETV4	57	57	3	57.0
ETV6	6	6	0	6.0
FLI1	106	106	4	106.0
FOS	840	840	12	840.0
FOSL1	53	53	4	53.0
FOSL2	79	79	0	79.0
FOXA1	830	830	11	830.0
FOXA2	49	49	1	49.0
FOXJ2	34	34	0	34.0
FOXK1	7	7	0	7.0
FOXK2	50	50	0	50.0
FOXL2	20	20	4	20.0
FOXM1	83	83	6	83.0
FOXO1	121	121	12	121.0
FOXO3	39	39	5	39.0
FOXO4	14	14	0	14.0
FOXP1	355	355	4	355.0
FOXP2	34	34	2	34.0
GABPA	51	51	0	51.0
GATA1	66	66	4	66.0
GATA2	665	665	11	665.0
GATA3	750	750	20	750.0
GATA4	10	10	1	10.0
GATA6	52	52	1	52.0
GFI1B	29	29	1	29.0
GLI1	7	7	2	7.0
GLI2	16	16	5	16.0
GRHL2	74	74	0	74.0
HBP1	39	39	2	39.0
HES1	6	6	3	6.0
HHEX	11	11	0	11.0
HIC1	7	7	7	7.0
HIF1A	256	256	8	256.0
HINFP	14	14	0	14.0
HMBOX1	26	26	0	26.0
HNF1A	29	29	0	29.0
HNF1B	37	37	0	37.0
HNF4A	896	896	23	896.0
HNF4G	55	55	0	55.0
HOXA9	22	22	0	22.0
HOXB13	41	41	2	41.0
HOXB7	5	5	0	5.0
HSF1	87	87	2	87.0
IKZF1	38	38	1	38.0
IRF1	79	79	6	79.0
IRF2	74	74	1	74.0
IRF3	70	70	1	70.0
IRF4	66	66	1	66.0
IRF8	8	8	2	8.0
IRF9	46	46	1	46.0
JUN	190	190	7	190.0
JUNB	52	52	0	52.0
JUND	76	76	3	76.0
KDM5B	17	17	1	17.0
KLF1	48	48	0	48.0
KLF13	30	30	0	30.0
KLF3	13	13	0	13.0
KLF4	48	48	5	48.0
KLF5	78	78	1	78.0
KLF6	50	50	1	50.0
KLF9	67	67	0	67.0
KMT2A	58	58	2	58.0
KMT2B	8	8	0	8.0
LEF1	54	54	3	54.0
LHX2	10	10	0	10.0
LYL1	82	82	0	82.0
MAF	38	38	0	38.0
MAFB	52	52	2	52.0
MAFF	42	42	0	42.0
MAFG	36	36	0	36.0
MAFK	50	50	0	50.0
MAX	55	55	2	55.0
MAZ	71	71	0	71.0
MBD1	43	43	1	43.0
MBD2	31	31	2	31.0
MEF2A	100	100	3	100.0
MEF2B	35	35	0	35.0
MEF2C	68	68	2	68.0
MEIS1	51	51	1	51.0
MEIS2	60	60	0	60.0
MITF	644	644	4	644.0
MNT	55	55	0	55.0
MXI1	72	72	0	72.0
MYB	64	64	6	64.0
MYBL2	27	27	0	27.0
MYC	453	453	38	453.0
MYCN	63	63	2	63.0
MYOD1	45	45	0	45.0
NANOG	46	46	5	46.0
NCOA1	20	20	0	20.0
NCOA2	18	18	0	18.0
NCOA3	22	22	0	22.0
NEUROD1	32	32	0	32.0
NFATC1	34	34	0	34.0
NFATC2	10	10	2	10.0
NFE2	47	47	0	47.0
NFE2L1	29	29	0	29.0
NFE2L2	69	69	1	69.0
NFIC	106	106	5	106.0
NFKB1	248	248	17	248.0
NFKB2	62	62	1	62.0
NFYA	67	67	1	67.0
NFYB	73	73	0	73.0
NR1H2	13	13	0	13.0
NR1H3	12	12	0	12.0
NR1H4	8	8	1	8.0
NR1I2	5	5	0	5.0
NR2C2	86	86	0	86.0
NR2F1	66	66	6	66.0
NR2F2	84	84	11	84.0
NR2F6	32	32	1	32.0
NR3C1	77	77	6	77.0
NR4A1	42	42	1	42.0
NR5A1	13	13	0	13.0
NR5A2	30	30	0	30.0
NRF1	76	76	0	76.0
ONECUT1	54	54	0	54.0
OTX2	24	24	0	24.0
PAX5	53	53	4	53.0
PAX6	43	43	3	43.0
PAX8	11	11	1	11.0
PBX2	44	44	1	44.0
PBX3	51	51	0	51.0
PDX1	49	49	2	49.0
PGR	78	78	3	78.0
PKNOX1	34	34	1	34.0
POU2F1	64	64	5	64.0
POU2F2	84	84	0	84.0
POU4F2	28	28	0	28.0
POU5F1	68	68	2	68.0
PPARA	38	38	10	38.0
PPARG	107	107	17	107.0
PRDM1	41	41	4	41.0
PRDM14	300	300	2	300.0
PROX1	25	25	2	25.0
RARA	120	120	8	120.0
RARB	5	5	1	5.0
RARG	8	8	1	8.0
RBPJ	60	60	2	60.0
REL	24	24	3	24.0
RELA	241	241	27	241.0
RELB	72	72	2	72.0
REST	67	67	18	67.0
RFX1	39	39	2	39.0
RFX2	20	20	0	20.0
RFX5	87	87	1	87.0
RUNX1	369	369	11	369.0
RUNX2	64	64	3	64.0
RUNX3	99	99	6	99.0
RXRA	79	79	4	79.0
RXRB	6	6	0	6.0
RXRG	7	7	0	7.0
SATB1	9	9	0	9.0
SIX2	39	39	0	39.0
SIX5	25	25	0	25.0
SMAD1	17	17	0	17.0
SMAD3	95	95	5	95.0
SMAD4	75	75	6	75.0
SMAD5	11	11	0	11.0
