accession	mouse	group	n_cells	n_epithelial	n_tnk	n_immune	frac_epithelial	frac_tnk	frac_immune	mean_Cldn4_all	mean_Cldn4_epithelial	pct_Cldn4_pos_epithelial	mean_tnk_score	mean_ifn_epithelial
GSE179501	CM2260	Restored	4279	388	1521	3160	0.0906753914465997	0.35545688244917	0.738490301472307	0.006893562015175	0.0707898074511002	0.0515463917525773	-0.00732686936285951	0.238098746409594
GSE179501	CM2319	Restored	4807	637	1332	3198	0.132515082171833	0.277095901809861	0.665279800291242	0.00475212477946752	0.0343525956660676	0.0251177394034537	-0.0756748597605853	0.285334629835305
GSE179501	CM2324	Non-Restored	6598	665	1659	3959	0.100788117611397	0.251439830251591	0.600030312215823	0.00472958039218478	0.0436782725500111	0.0255639097744361	-0.0788887212768943	0.254608786359353
GSE179501	CM2328	Non-Restored	4615	1208	886	2549	0.261755146262189	0.191982665222102	0.552329360780065	0.0142712108202145	0.050931284181937	0.0306291390728477	-0.118749181602804	0.219404209980796
GSE201247	ATTAC_1	WT_ATTAC	12187	612	2505	5441	0.050217444818249	0.205546894231558	0.44645934192172	0.000384121406403534	0.00764916271215664	0.0147058823529412	-0.00261743752890977	-0.00149134935187093
GSE201247	Kras_2	Kras	16302	1002	2454	7439	0.0614648509385351	0.150533676849466	0.456324377377009	0.00170143650983507	0.00802613839391428	0.00998003992015968	-0.00943251800564644	0.0389996819325607
GSE201247	ATTAC_Kras_3	ATTAC_Kras	12898	795	2554	5885	0.0616374631725849	0.198015196154443	0.456272290277562	0.000767541085537228	0.00888933107589729	0.0113207547169811	-0.0098856603473137	-0.049805268901818
GSE201247	ATTAC_4	WT_ATTAC	10281	375	1725	4904	0.0364750510650715	0.167785234899329	0.476996401128295	0.00023685423080258	0.00193710184086578	0.00533333333333333	-0.00892549747069111	0.00857232121972694
GSE201247	Kras_5	Kras	8140	424	1220	3493	0.0520884520884521	0.14987714987715	0.429115479115479	0.00020543841425482	0.0019201884800538	0.00471698113207547	-0.000518225553297982	0.0027850155113282
GSE201247	ATTAC_Kras_6	ATTAC_Kras	9872	295	1030	5130	0.0298824959481361	0.104335494327391	0.519651539708266	0.000233459121900814	0.0053536323739675	0.00677966101694915	0.000265716578165221	0.0287998386831565
GSE266323	d10_1	Malat1_CRISPRa	9905	960	2293	7531	0.0969207470974255	0.231499242806663	0.760323069156991	0.0318351459599552	0.297274618813459	0.188541666666667	-0.00277296646902597	0.112231073499928
GSE266323	d10_2	Malat1_CRISPRa	4729	715	1133	3621	0.151194755762318	0.239585536054134	0.765700993867625	0.0590756363261391	0.369775770217612	0.234965034965035	-0.00178954282193609	0.120460507823667
GSE266323	dTom_1	Tomato_control	8379	1374	2060	6214	0.163981382026495	0.245852727055735	0.741615944623463	0.106105544309396	0.612754978845951	0.427947598253275	-0.012042261845664	-0.00522760565041542
GSE266323	dTom_2	Tomato_control	6909	868	3263	5809	0.125633232016211	0.47228253003329	0.8407873787813	0.0427681525028002	0.299377202674659	0.21889400921659	-0.0788673574396543	0.0688553744216913
