unit	unit_col	animal	n_mouseID	genotype	week	timesimple	n_cells	n_tumors	Cldn4_mean	Cldn4_pct_pos	IFN_module	MHC_module	TJ_module	IFN_tpm	MHC_tpm	TJ_tpm	Epcam_mean	Ptprc_pct_pos	any_tnk_marker_pct
K_12w_ND_m1	animal	K_12w_ND_m1	1	K	12w	04_K_12w_ND	155	1	4.86109334428915	0.606451612903226	0.102578370032772	0.277381946448512	0.239902150501628	1.5445077135222	3.27741449056392	2.15140720052297	7.13350205255813	0.0129032258064516	0.0193548387096774
K_12w_ND_m2	animal	K_12w_ND_m2	1	K	12w	04_K_12w_ND	141	1	1.70356861236215	0.24113475177305	0.0937215283070097	0.261629562803806	0.206272164850224	1.40337775380973	2.9400920291712	1.87954103134027	5.89748935679322	0	0
K_12w_ND_m3	animal	K_12w_ND_m3	1	K	12w	04_K_12w_ND	159	1	1.61405143805444	0.276729559748428	0.166196655780146	0.47050166855128	0.235248154836931	1.7344061439282	3.87391328946922	2.08588797122055	6.39597324447092	0.0251572327044025	0.0314465408805031
K_2w_ND_m3	animal	K_2w_ND_m3	1	K	2w	02_KorKP_early_ND	58	1	2.42626198959433	0.396551724137931	0.227532932994305	0.635862226992138	0.268568634413761	2.0720528632209	4.7972285329594	2.3266915203439	6.11116426700646	0.189655172413793	0.241379310344828
K_2w_ND_m4	animal	K_2w_ND_m4	1	K	2w	02_KorKP_early_ND	31	1	0.586584633323472	0.161290322580645	0.110614328427251	0.390647513491509	0.229612999724675	1.58615774628335	3.66423308306936	2.08404980879569	5.75906634990304	0.032258064516129	0.032258064516129
K_2w_ND_m5	animal	K_2w_ND_m5	1	K	2w	02_KorKP_early_ND	22	1	0.903235259057236	0.181818181818182	0.105142380310501	0.35704843554173	0.205303040335934	1.46067295769827	3.35566177136734	1.88989938935011	5.61542695272591	0	0
K_30w_ND_m1	animal	K_30w_ND_m1	1	K	30w	05_K_30w_ND	193	1	0.713106592125781	0.124352331606218	0.100464870641484	0.245122533169736	0.200769799264992	1.49193138614452	3.02487264615588	1.92957534719589	6.2093261854602	0.0259067357512953	0.0414507772020725
K_30w_ND_m2	animal	K_30w_ND_m2	1	K	30w	05_K_30w_ND	206	1	2.21603578308939	0.383495145631068	0.0995433744870642	0.219399926141449	0.22097146228427	1.50486642491101	3.0142158916716	2.02709868671734	6.39546050449082	0.0388349514563107	0.0776699029126214
K_30w_ND_m3	animal	K_30w_ND_m3	1	K	30w	05_K_30w_ND	106	1	3.04332946347475	0.462264150943396	0.0844184581801741	0.165476936813754	0.238425146375612	1.49597791030984	2.88191920606505	2.15749163841019	6.74538926453535	0.0377358490566038	0.0471698113207547
KP_12w_ND_m1	animal	KP_12w_ND_m1	1	KP	12w	06_KP_12w_ND	131	1	4.01241680925921	0.687022900763359	0.0145311532187872	-0.101562148241224	0.223356152643766	1.54589526938434	2.5138229225848	2.42355272877896	7.58630167746501	0.00763358778625954	0.0458015267175573
