mouse	dataset	gsm	genotype	treatment	digest	n_cells	n_epi	n_tnk	frac_tnk	frac_epi	frac_sftpc	frac_ptprc	Cldn4_all_mean	Cldn4_all_pctpos	Cldn4_epi_mean	Cldn4_epi_pctpos	IFN_epi_mean	MHC_epi_mean	tnk_usable	epi_usable	tnk_exclude_reason
GSE154977_KP_30w_Cis72_m5	GSE154977	GSM4685283	KP	Cis72	AT2_lineage_FACS	2065	2057	1	0.000484261501210654	0.996125907990315	1	0.00290556900726392	0.541081127682419	56.1743341404358	0.541458326041076	56.1011181332037	0.0475286899925955	0.482604419663067	FALSE	TRUE	not mixed digest (GSE154977 AT2-lineage / tumor-state FACS; T/NK is design no-go)
GSE154977_KP_30w_Cis72_m6	GSE154977	GSM4685284	KP	Cis72	AT2_lineage_FACS	999	995	0	0	0.995995995995996	1	0.004004004004004	0.833026375582651	63.5635635635636	0.831524667840181	63.4170854271357	0.0778924023612555	0.536778462198163	FALSE	TRUE	not mixed digest (GSE154977 AT2-lineage / tumor-state FACS; T/NK is design no-go)
GSE154977_KP_30w_ND_m3	GSE154977	GSM4685281	KP	ND	AT2_lineage_FACS	3945	3897	0	0	0.987832699619772	1	0.0073510773130545	0.314966772236136	35.9695817490494	0.316547252397002	36.0533743905568	0.0391579288552033	0.437064741007474	FALSE	TRUE	not mixed digest (GSE154977 AT2-lineage / tumor-state FACS; T/NK is design no-go)
GSE154977_KP_30w_ND_m4	GSE154977	GSM4685282	KP	ND	AT2_lineage_FACS	4008	3980	0	0	0.993013972055888	1	0.00698602794411178	0.631391935066419	59.7804391217565	0.632187207630041	59.7989949748744	0.0530494608899281	0.446674507355982	FALSE	TRUE	not mixed digest (GSE154977 AT2-lineage / tumor-state FACS; T/NK is design no-go)
GSE165641_KL1	GSE165641	GSM5047302	KL	untreated	mixed	4199	207	97	0.0231007382710169	0.049297451774232	0.162181471778995	0.740414384377233	0.0762279116254395	4.73922362467254	1.0900192331585	64.7342995169082	0.148008418351513	0.380150063461759	TRUE	TRUE	
GSE165641_KL2	GSE165641	GSM5047303	KL	untreated	mixed	2494	160	253	0.101443464314354	0.0641539695268645	0.544506816359262	0.628708901363272	0.041757989625118	3.92943063352045	0.568335834161649	51.25	0.081660915560419	0.615513717222064	TRUE	TRUE	
GSE180963_K	GSE180963	GSM5481386	K	untreated	mixed	6696	28	3634	0.542712066905615	0.0041816009557945	0.764635603345281	0.82810633213859	0.000113838407593479	0.0149342891278375	0.0272236420444978	3.57142857142857	0.124025393918636	0.826989423703901	TRUE	TRUE	
GSE180963_KL	GSE180963	GSM5481387	KL	untreated	mixed	7564	174	3818	0.504759386567953	0.0230037017451084	0.777498677948176	0.822712850343733	0.0031704817967401	0.330512956107879	0.0977711867088512	9.77011494252874	0.261441989227157	1.69651149629535	TRUE	TRUE	
