cohort,endpoint,q_n,q_n_Q1,q_n_Q4,q_median_Q1_CLDN4low,q_median_Q4_CLDN4high,q_delta_Q1_minus_Q4,q_mannwhitney_p,q_purity,q_mut,q_krt18_19,q_krt_triad
OV,log10_mutation_count,284,71,71,1.919078092376074,1.792391689498254,0.12668640287782007,0.008856128033744179,0.012094781044156944,,,
OV,gsva_cNHEJ_core,421,105,106,-0.0685846180395947,-0.09769992716884887,0.02911530912925417,0.87545542941039,0.8293811449617999,0.364987576325574,,
OV,gsva_STING_proximal,421,105,106,-0.052681971956850204,0.018151407523072774,-0.07083337947992298,0.018163512826489932,0.034060990251370424,0.0708554572520568,,
OV,gsva_IFN_alpha,421,105,106,-0.1639604351090425,-0.02471893978213549,-0.13924149532690702,0.11211639596742053,0.04035328084804235,0.37304879575440814,,
OV,gsva_IFN_gamma,421,105,106,-0.11763835221057231,0.01609497748123065,-0.13373332969180296,0.15836398598144652,0.039302585174768055,0.364987576325574,,
OV,gsva_APM,421,105,106,-0.06877910191941938,-0.059617724182435924,-0.009161377736983459,0.47120495907320126,0.38794496913412474,0.8006663959196809,,
OV,CD8A,421,105,106,2.5816404803375264,2.299466374336618,0.2821741060009084,0.08633783906907279,0.4200497408712209,0.360043036013809,,
OV,MCP_CD8_T,421,105,106,0.7726458030926925,0.59984127267062,0.17280453042207244,0.004734308928443389,0.04035328084804235,0.0708554572520568,,
LUAD,log10_mutation_count,506,126,127,2.2866795194689997,2.374748346010104,-0.08806882654110426,0.07053207813532945,0.2748088204833869,,0.14475736832699115,0.14559070570599272
LUAD,gsva_cNHEJ_core,516,129,129,-0.23254960975223093,-0.0050221340030283945,-0.22752747574920254,0.00022051928776207266,0.0009873151455955173,0.0005601777438861637,0.010046944794723924,0.015791174153089976
LUAD,gsva_STING_proximal,516,129,129,-0.3209857444655588,0.12270625456457024,-0.443691999030129,1.067084028501013e-12,1.778168460401863e-14,3.8440690358479234e-14,3.885586919899774e-06,4.387474860505131e-06
LUAD,gsva_IFN_alpha,516,129,129,-0.18005650502548975,0.12588175079285419,-0.30593825581834394,3.6049449434778185e-05,2.6227831900803e-07,3.700679593078617e-05,0.14475736832699115,0.16425818551923596
LUAD,gsva_IFN_gamma,516,129,129,-0.09665323954659416,0.0629452861225851,-0.15959852566917926,0.009890094822258774,1.2494814342571885e-05,0.005233754686509482,0.4787934624427775,0.5554605805219153
LUAD,gsva_APM,516,129,129,-0.12830153114866294,-0.04520058481318129,-0.08310094633548165,0.8924883577102785,0.29198827763822766,0.7857317326852608,0.17446923725715854,0.16425818551923596
LUAD,CD8A,516,129,129,3.934941038703303,3.745022149037264,0.1899188896660391,0.006466315667801577,0.2748088204833869,0.019451956680422582,0.14475736832699115,0.13129182642580267
LUAD,MCP_CD8_T,516,129,129,1.4697297192523544,1.2404364570778694,0.22929326217448498,0.00305061053109416,0.2748088204833869,0.019451956680422582,0.14475736832699115,0.14559070570599272
